DATE,VALUE
1996-01-01,80.46
1996-02-01,80.85
1996-03-01,81.25
1996-04-01,81.47
1996-05-01,81.71
1996-06-01,81.8
1996-07-01,81.71
1996-08-01,81.74
1996-09-01,81.95
1996-10-01,82.02
1996-11-01,82.08
1996-12-01,82.3
1997-01-01,82.69
1997-02-01,84.63
1997-03-01,84.86
1997-04-01,84.93
1997-05-01,85.25
1997-06-01,85.41
1997-07-01,85.42
1997-08-01,85.66
1997-09-01,85.99
1997-10-01,86.08
1997-11-01,86.28
1997-12-01,86.46
1998-01-01,86.53
1998-02-01,86.87
1998-03-01,87.13
1998-04-01,87.39
1998-05-01,87.62
1998-06-01,87.58
1998-07-01,87.45
1998-08-01,87.52
1998-09-01,87.73
1998-10-01,87.76
1998-11-01,87.81
1998-12-01,87.98
1999-01-01,87.91
1999-02-01,88.15
1999-03-01,88.41
1999-04-01,88.53
1999-05-01,88.65
1999-06-01,88.63
1999-07-01,88.48
1999-08-01,88.5
1999-09-01,88.65
1999-10-01,88.73
1999-11-01,88.88
1999-12-01,89.06
2000-01-01,88.95
2000-02-01,89.19
2000-03-01,89.35
2000-04-01,89.57
2000-05-01,89.66
2000-06-01,89.75
2000-07-01,89.72
2000-08-01,89.83
2000-09-01,90.03
2000-10-01,90.17
2000-11-01,90.3
2000-12-01,90.75
2001-01-01,90.6
2001-02-01,90.86
2001-03-01,91.41
2001-04-01,91.99
2001-05-01,92.41
2001-06-01,92.61
2001-07-01,92.45
2001-08-01,92.52
2001-09-01,92.77
2001-10-01,93.03
2001-11-01,93.13
2001-12-01,93.65
2002-01-01,93.71
2002-02-01,93.88
2002-03-01,94.33
2002-04-01,94.63
2002-05-01,94.85
2002-06-01,94.86
2002-07-01,94.68
2002-08-01,94.72
2002-09-01,94.95
2002-10-01,95.16
2002-11-01,95.24
2002-12-01,95.67
2003-01-01,95.35
2003-02-01,95.62
2003-03-01,96.09
2003-04-01,96.48
2003-05-01,96.61
2003-06-01,96.7
2003-07-01,96.48
2003-08-01,96.58
2003-09-01,96.95
2003-10-01,97.17
2003-11-01,97.28
2003-12-01,97.6
2004-01-01,97.32
2004-02-01,97.58
2004-03-01,98.04
2004-04-01,98.45
2004-05-01,98.65
2004-06-01,98.77
2004-07-01,98.51
2004-08-01,98.56
2004-09-01,98.73
2004-10-01,98.91
2004-11-01,98.97
2004-12-01,99.48
2005-01-01,98.92
2005-02-01,99.16
2005-03-01,99.66
2005-04-01,99.91
2005-05-01,100.21
2005-06-01,100.19
2005-07-01,99.86
2005-08-01,99.97
2005-09-01,100.2
2005-10-01,100.44
2005-11-01,100.54
2005-12-01,100.94
2006-01-01,100.29
2006-02-01,100.58
2006-03-01,101.05
2006-04-01,101.46
2006-05-01,101.7
2006-06-01,101.8
2006-07-01,101.55
2006-08-01,101.69
2006-09-01,102.06
2006-10-01,102.35
2006-11-01,102.48
2006-12-01,102.88
2007-01-01,102.35
2007-02-01,102.69
2007-03-01,103.22
2007-04-01,103.73
2007-05-01,103.94
2007-06-01,104.03
2007-07-01,103.69
2007-08-01,103.93
2007-09-01,104.31
2007-10-01,104.82
2007-11-01,105.08
2007-12-01,105.56
2008-01-01,105.11
2008-02-01,105.51
2008-03-01,106.26
2008-04-01,106.63
2008-05-01,106.99
2008-06-01,107.17
2008-07-01,106.89
2008-08-01,107.14
2008-09-01,107.42
2008-10-01,107.76
2008-11-01,107.84
2008-12-01,108.11
2009-01-01,107.38
2009-02-01,107.89
2009-03-01,108.43
2009-04-01,108.81
2009-05-01,108.97
2009-06-01,108.95
2009-07-01,108.54
2009-08-01,108.71
2009-09-01,108.86
2009-10-01,109.14
2009-11-01,109.18
2009-12-01,109.59
2010-01-01,108.73
2010-02-01,109.12
2010-03-01,109.98
2010-04-01,110.29
2010-05-01,110.4
2010-06-01,110.49
2010-07-01,110.12
2010-08-01,110.38
2010-09-01,110.71
2010-10-01,111.0
2010-11-01,111.09
2010-12-01,111.55
2011-01-01,110.67
2011-02-01,111.14
2011-03-01,112.21
2011-04-01,112.79
2011-05-01,112.95
2011-06-01,112.94
2011-07-01,112.3
2011-08-01,112.55
2011-09-01,113.19
2011-10-01,113.5
2011-11-01,113.6
2011-12-01,114.03
2012-01-01,112.98
2012-02-01,113.51
2012-03-01,114.63
2012-04-01,115.09
2012-05-01,115.17
2012-06-01,115.24
2012-07-01,114.67
2012-08-01,114.81
2012-09-01,115.47
2012-10-01,115.9
2012-11-01,115.91
2012-12-01,116.36
2013-01-01,115.2
2013-02-01,115.55
2013-03-01,116.8
2013-04-01,116.92
2013-05-01,117.23
2013-06-01,117.27
2013-07-01,116.65
2013-08-01,116.74
2013-09-01,117.22
2013-10-01,117.31
2013-11-01,117.32
2013-12-01,117.64
2014-01-01,116.49
2014-02-01,116.9
2014-03-01,117.88
2014-04-01,118.13
2014-05-01,118.01
2014-06-01,118.12
2014-07-01,117.44
2014-08-01,117.64
2014-09-01,118.06
2014-10-01,118.15
2014-11-01,118.07
2014-12-01,118.36
2015-01-01,117.1
2015-02-01,117.64
2015-03-01,118.57
2015-04-01,118.89
2015-05-01,119.06
2015-06-01,118.98
2015-07-01,118.4
2015-08-01,118.66
2015-09-01,119.08
2015-10-01,119.34
2015-11-01,119.17
2015-12-01,119.36
