DATE,VALUE
1907-01-01,12538.0
1908-01-01,10969.0
1909-01-01,12109.0
1910-01-01,14441.0
1911-01-01,8009.0
1912-01-01,15225.0
1913-01-01,15258.0
1914-01-01,14943.0
1915-01-01,9235.0
1916-01-01,9054.0
1917-01-01,8867.0
1918-01-01,8655.0
1919-01-01,5287.0
1920-01-01,7224.0
1921-01-01,8297.0
1922-01-01,10258.0
1923-01-01,7975.0
1924-01-01,10765.0
1925-01-01,11207.0
1926-01-01,11747.0
1927-01-01,11746.0
1928-01-01,12658.0
1929-01-01,13159.0
1930-01-01,17498.0
1931-01-01,10384.0
1932-01-01,7474.0
1933-01-01,9131.0
1934-01-01,11176.0
