DATE,VALUE
1889-01-01 00:00:00,787.0
1890-01-01 00:00:00,1555.0
1891-01-01 00:00:00,1293.0
1892-01-01 00:00:00,1859.0
1893-01-01 00:00:00,1303.0
1894-01-01 00:00:00,1202.0
1895-01-01 00:00:00,1276.0
1896-01-01 00:00:00,918.0
1897-01-01 00:00:00,1125.0
1898-01-01 00:00:00,962.0
1899-01-01 00:00:00,911.0
1900-01-01,1244.0
1901-01-01,1463.0
1902-01-01,1797.0
1903-01-01,1675.0
1904-01-01,1598.0
1905-01-01,1766.0
1906-01-01,2216.0
1907-01-01,2487.0
1908-01-01,2037.0
1909-01-01,2515.0
1910-01-01,2373.0
1911-01-01,2008.0
1912-01-01,2310.0
1913-01-01,2637.0
1914-01-01,1276.0
1915-01-01,1011.0
1916-01-01,1300.0
1917-01-01,1038.0
1918-01-01,693.0
1919-01-01,1200.0
1920-01-01,365.0
1921-01-01,1094.0
1922-01-01,3058.0
1923-01-01,4131.0
1924-01-01,5030.0
1925-01-01,6039.0
1926-01-01,6485.0
1927-01-01,6161.0
1928-01-01,5490.0
1929-01-01,4323.0
1930-01-01,2276.0
1931-01-01,220.0
1932-01-01,-2110.0
1933-01-01,-2843.0
1934-01-01,-2590.0
1935-01-01,-1859.0
1936-01-01,156.0
1937-01-01,240.0
1938-01-01,-54.0
1939-01-01,1224.0
1940-01-01,1482.0
1941-01-01,4251.0
1942-01-01,5405.0
1943-01-01,-1218.0
1944-01-01,-4564.0
1945-01-01,-4570.0
1946-01-01,427.0
1947-01-01,2384.0
1948-01-01,5650.0
1949-01-01,6459.0
1950-01-01,11419.0
1951-01-01,12376.0
1952-01-01,13323.0
1953-01-01,14725.0
1954-01-01,16675.0
1955-01-01,20526.0
