DATE,VALUE
1930-01-01,2.0
1931-01-01,-0.6
1932-01-01,-3.0
1933-01-01,-3.1
1934-01-01,-2.3
1935-01-01,-0.1
1936-01-01,1.1
1937-01-01,2.8
1938-01-01,1.1
1939-01-01,0.7
1940-01-01,2.0
1941-01-01,3.4
1942-01-01,0.9
1943-01-01,-2.3
1944-01-01,-1.3
1945-01-01,0.8
1946-01-01,5.2
1947-01-01,8.4
1948-01-01,8.0
1949-01-01,6.0
1950-01-01,5.4
1951-01-01,5.0
1952-01-01,3.9
1953-01-01,4.6
1954-01-01,4.5
1955-01-01,4.7
1956-01-01,4.9
1957-01-01,4.5
1958-01-01,4.9
1959-01-01,2.7
1960-01-01,2.3
1961-01-01,3.3
1962-01-01,3.7
1963-01-01,4.5
1964-01-01,4.8
1965-01-01,6.1
1966-01-01,6.8
1967-01-01,6.2
1968-01-01,5.8
1969-01-01,5.9
1970-01-01,5.1
1971-01-01,4.5
1972-01-01,5.1
1973-01-01,6.7
1974-01-01,5.4
1975-01-01,3.8
1976-01-01,3.5
1977-01-01,4.6
1978-01-01,5.3
1979-01-01,5.8
1980-01-01,5.0
1981-01-01,4.1
1982-01-01,4.1
1983-01-01,3.3
1984-01-01,4.2
1985-01-01,5.5
1986-01-01,4.8
1987-01-01,4.6
1988-01-01,4.2
1989-01-01,4.2
1990-01-01,3.8
1991-01-01,3.0
1992-01-01,2.8
1993-01-01,3.5
1994-01-01,4.1
1995-01-01,4.9
1996-01-01,5.3
1997-01-01,6.1
1998-01-01,6.9
1999-01-01,7.3
2000-01-01,7.1
2001-01-01,5.6
2002-01-01,3.7
2003-01-01,3.2
2004-01-01,3.6
2005-01-01,4.0
2006-01-01,4.1
2007-01-01,3.7
2008-01-01,2.7
2009-01-01,0.9
2010-01-01,0.1
2011-01-01,1.1
2012-01-01,2.0
2013-01-01,2.5
2014-01-01,2.7
2015-01-01,2.9
