DATE,VALUE
1901-01-01,10.2
1902-01-01,9.5
1903-01-01,11.4
1904-01-01,8.9
1905-01-01,14.1
1906-01-01,18.1
1907-01-01,16.8
1908-01-01,10.5
1909-01-01,13.1
1910-01-01,11.9
1911-01-01,12.8
1912-01-01,11.1
1913-01-01,11.4
1914-01-01,10.9
1915-01-01,9.0
1916-01-01,19.4
1917-01-01,13.7
1918-01-01,9.2
1919-01-01,34.5
1920-01-01,43.0
1921-01-01,23.6
1922-01-01,24.3
1923-01-01,25.1
1924-01-01,27.9
1925-01-01,28.2
1926-01-01,30.6
1927-01-01,31.2
1928-01-01,38.6
1929-01-01,47.9
1930-01-01,31.9
1931-01-01,24.0
1932-01-01,8.0
1933-01-01,12.0
1934-01-01,14.6
1935-01-01,20.1
1936-01-01,23.9
1937-01-01,26.4
1938-01-01,23.9
1939-01-01,21.1
1940-01-01,18.7
1941-01-01,16.1
1942-01-01,4.6
1943-01-01,2.4
1944-01-01,17.5
