DATE,VALUE
1929-01-01,9.65
1930-01-01,9.281
1931-01-01,8.373
1932-01-01,7.435
1933-01-01,7.254
1934-01-01,7.626
1935-01-01,7.787
1936-01-01,7.88
1937-01-01,8.172
1938-01-01,8.058
1939-01-01,7.962
1940-01-01,8.034
1941-01-01,8.559
1942-01-01,9.265
1943-01-01,9.705
1944-01-01,9.938
1945-01-01,10.19
1946-01-01,11.476
1947-01-01,12.73
1948-01-01,13.45
1949-01-01,13.461
1950-01-01,13.586
1951-01-01,14.489
1952-01-01,14.821
1953-01-01,15.028
1954-01-01,15.183
1955-01-01,15.406
1956-01-01,15.932
1957-01-01,16.491
1958-01-01,16.876
1959-01-01,17.103
1960-01-01,17.342
1961-01-01,17.534
1962-01-01,17.752
1963-01-01,17.955
1964-01-01,18.233
1965-01-01,18.57
1966-01-01,19.095
1967-01-01,19.655
1968-01-01,20.5
1969-01-01,21.515
1970-01-01,22.653
1971-01-01,23.806
1972-01-01,24.841
1973-01-01,26.197
1974-01-01,28.537
1975-01-01,31.193
1976-01-01,32.917
1977-01-01,34.972
1978-01-01,37.439
1979-01-01,40.527
1980-01-01,44.19
1981-01-01,48.294
1982-01-01,51.322
1983-01-01,53.347
1984-01-01,55.241
1985-01-01,57.044
1986-01-01,58.222
1987-01-01,59.694
1988-01-01,61.819
1989-01-01,64.229
1990-01-01,66.629
1991-01-01,68.845
1992-01-01,70.424
1993-01-01,72.105
1994-01-01,73.645
1995-01-01,75.191
1996-01-01,76.585
1997-01-01,77.926
1998-01-01,78.809
1999-01-01,80.032
2000-01-01,81.875
2001-01-01,83.743
2002-01-01,85.027
2003-01-01,86.734
2004-01-01,89.117
2005-01-01,91.992
2006-01-01,94.82
2007-01-01,97.351
2008-01-01,99.226
2009-01-01,100.0
2010-01-01,101.227
2011-01-01,103.319
2012-01-01,105.239
2013-01-01,106.946
2014-01-01,108.891
2015-01-01,110.077
