DATE,VALUE
1929-01-01,1.8
1930-01-01,2.1
1931-01-01,2.3
1932-01-01,2.3
1933-01-01,2.0
1934-01-01,2.2
1935-01-01,2.2
1936-01-01,1.9
1937-01-01,1.8
1938-01-01,1.8
1939-01-01,1.8
1940-01-01,1.5
1941-01-01,1.4
1942-01-01,1.1
1943-01-01,0.6
1944-01-01,0.0
1945-01-01,-0.4
1946-01-01,-1.1
1947-01-01,-0.8
1948-01-01,-1.0
1949-01-01,-1.0
1950-01-01,-1.1
1951-01-01,-1.2
1952-01-01,-1.4
1953-01-01,-1.7
1954-01-01,-1.6
1955-01-01,-1.9
1956-01-01,-2.3
1957-01-01,-2.1
1958-01-01,-1.6
1959-01-01,-2.8
1960-01-01,-3.3
1961-01-01,-2.9
1962-01-01,-2.6
1963-01-01,-2.7
1964-01-01,-2.6
1965-01-01,-2.2
1966-01-01,-1.5
1967-01-01,-0.6
1968-01-01,-1.0
1969-01-01,1.1
1970-01-01,3.3
1971-01-01,3.5
1972-01-01,2.7
1973-01-01,5.5
1974-01-01,12.0
1975-01-01,11.4
1976-01-01,5.6
1977-01-01,8.9
1978-01-01,6.9
1979-01-01,10.0
1980-01-01,30.7
1981-01-01,52.9
1982-01-01,58.2
1983-01-01,30.0
1984-01-01,42.8
1985-01-01,22.3
1986-01-01,13.5
1987-01-01,-0.4
1988-01-01,3.2
1989-01-01,32.6
1990-01-01,11.0
1991-01-01,-38.3
1992-01-01,-79.9
1993-01-01,-97.0
1994-01-01,-117.2
1995-01-01,-127.2
1996-01-01,-135.2
1997-01-01,-122.2
1998-01-01,-82.1
1999-01-01,-93.0
2000-01-01,-52.0
2001-01-01,-55.8
2002-01-01,-150.1
2003-01-01,-161.3
2004-01-01,-224.5
2005-01-01,-166.4
2006-01-01,-101.6
2007-01-01,-52.0
2008-01-01,-62.2
2009-01-01,-129.0
2010-01-01,-182.5
2011-01-01,-182.2
2012-01-01,-106.5
2013-01-01,-109.6
2014-01-01,-102.4
2015-01-01,-131.6
