DATE,VALUE
1929-01-01,0.8
1930-01-01,0.8
1931-01-01,0.8
1932-01-01,0.7
1933-01-01,0.8
1934-01-01,0.9
1935-01-01,1.0
1936-01-01,1.1
1937-01-01,1.2
1938-01-01,1.2
1939-01-01,1.3
1940-01-01,1.3
1941-01-01,1.8
1942-01-01,3.4
1943-01-01,6.2
1944-01-01,9.0
1945-01-01,10.4
1946-01-01,11.2
1947-01-01,11.1
1948-01-01,10.1
1949-01-01,9.3
1950-01-01,8.6
1951-01-01,9.4
1952-01-01,10.4
1953-01-01,11.4
1954-01-01,12.3
1955-01-01,13.1
1956-01-01,14.5
1957-01-01,15.7
1958-01-01,16.5
1959-01-01,17.6
1960-01-01,18.6
1961-01-01,19.7
1962-01-01,21.1
1963-01-01,22.5
1964-01-01,23.7
1965-01-01,24.9
1966-01-01,26.5
1967-01-01,28.4
1968-01-01,30.8
1969-01-01,33.2
1970-01-01,36.1
1971-01-01,38.4
1972-01-01,40.3
1973-01-01,43.1
1974-01-01,48.7
1975-01-01,53.7
1976-01-01,57.2
1977-01-01,61.2
1978-01-01,66.3
1979-01-01,72.8
1980-01-01,82.3
1981-01-01,93.1
1982-01-01,103.1
1983-01-01,110.3
1984-01-01,118.7
1985-01-01,127.3
1986-01-01,136.8
1987-01-01,147.0
1988-01-01,158.5
1989-01-01,169.3
1990-01-01,180.0
1991-01-01,189.9
1992-01-01,195.8
1993-01-01,202.5
1994-01-01,208.9
1995-01-01,216.6
1996-01-01,220.4
1997-01-01,224.6
1998-01-01,228.9
1999-01-01,236.9
2000-01-01,247.7
2001-01-01,254.9
2002-01-01,261.2
2003-01-01,270.3
2004-01-01,284.9
2005-01-01,305.6
2006-01-01,326.6
2007-01-01,351.4
2008-01-01,375.5
2009-01-01,390.3
2010-01-01,403.8
2011-01-01,422.1
2012-01-01,436.1
2013-01-01,444.5
2014-01-01,453.4
2015-01-01,456.9
