DATE,VALUE
1929-01-01,0.4
1930-01-01,-0.5
1931-01-01,-0.4
1932-01-01,-3.7
1933-01-01,-1.9
1934-01-01,-1.0
1935-01-01,1.0
1936-01-01,-2.4
1937-01-01,1.0
1938-01-01,0.0
1939-01-01,-0.1
1940-01-01,0.9
1941-01-01,0.2
1942-01-01,1.7
1943-01-01,-0.2
1944-01-01,-0.2
1945-01-01,-1.0
1946-01-01,-5.8
1947-01-01,-4.0
1948-01-01,1.8
1949-01-01,0.9
1950-01-01,-3.0
1951-01-01,-4.4
1952-01-01,0.7
1953-01-01,2.4
1954-01-01,-0.5
1955-01-01,1.1
1956-01-01,-1.2
1957-01-01,0.5
1958-01-01,-0.6
1959-01-01,-1.8
1960-01-01,-0.1
1961-01-01,-2.6
1962-01-01,1.1
1963-01-01,-1.3
1964-01-01,-0.2
1965-01-01,1.6
1966-01-01,1.2
1967-01-01,-1.6
1968-01-01,0.4
1969-01-01,0.0
1970-01-01,-3.3
1971-01-01,-1.7
1972-01-01,0.6
1973-01-01,0.8
1974-01-01,-6.9
1975-01-01,1.1
1976-01-01,-0.7
1977-01-01,-2.4
1978-01-01,0.7
1979-01-01,2.4
1980-01-01,-2.8
1981-01-01,-0.5
1982-01-01,-2.9
1983-01-01,-1.5
1984-01-01,2.0
1985-01-01,-3.0
1986-01-01,-3.4
1987-01-01,3.1
1988-01-01,2.2
1989-01-01,1.8
1990-01-01,-0.8
1991-01-01,-4.8
1992-01-01,-4.3
1993-01-01,2.1
1994-01-01,2.1
1995-01-01,4.7
1996-01-01,1.0
1997-01-01,0.5
