DATE,VALUE
1947-01-01,10.7
1947-04-01,11.1
1947-07-01,11.5
1947-10-01,12.0
1948-01-01,12.2
1948-04-01,12.5
1948-07-01,13.0
1948-10-01,13.5
1949-01-01,13.8
1949-04-01,13.9
1949-07-01,14.4
1949-10-01,14.6
1950-01-01,15.0
1950-04-01,15.2
1950-07-01,15.5
1950-10-01,15.8
1951-01-01,16.1
1951-04-01,16.3
1951-07-01,16.7
1951-10-01,17.0
1952-01-01,17.0
1952-04-01,17.8
1952-07-01,17.6
1952-10-01,18.0
1953-01-01,18.6
1953-04-01,18.5
1953-07-01,18.9
1953-10-01,19.0
1954-01-01,19.4
1954-04-01,19.9
1954-07-01,20.6
1954-10-01,20.9
1955-01-01,21.6
1955-04-01,21.9
1955-07-01,22.2
1955-10-01,22.7
1956-01-01,23.1
1956-04-01,23.7
1956-07-01,24.3
1956-10-01,24.9
1957-01-01,25.4
1957-04-01,26.1
1957-07-01,26.8
1957-10-01,27.5
1958-01-01,28.3
1958-04-01,29.2
1958-07-01,29.7
1958-10-01,30.2
1959-01-01,30.6
1959-04-01,31.0
1959-07-01,31.4
1959-10-01,32.0
1960-01-01,32.9
1960-04-01,33.9
1960-07-01,34.4
1960-10-01,35.1
1961-01-01,36.2
1961-04-01,37.2
1961-07-01,37.5
1961-10-01,38.1
1962-01-01,38.6
1962-04-01,39.1
1962-07-01,39.5
1962-10-01,40.2
1963-01-01,41.0
1963-04-01,41.8
1963-07-01,42.7
1963-10-01,43.6
1964-01-01,44.6
1964-04-01,45.6
1964-07-01,46.4
1964-10-01,47.5
1965-01-01,48.7
1965-04-01,49.9
1965-07-01,51.3
1965-10-01,52.5
1966-01-01,54.0
1966-04-01,55.5
1966-07-01,57.1
1966-10-01,58.8
1967-01-01,59.9
1967-04-01,61.3
1967-07-01,63.3
1967-10-01,65.1
1968-01-01,67.5
1968-04-01,69.5
1968-07-01,71.7
1968-10-01,74.1
1969-01-01,76.4
1969-04-01,79.0
1969-07-01,81.8
1969-10-01,84.5
1970-01-01,87.8
1970-04-01,90.5
1970-07-01,93.6
1970-10-01,96.5
1971-01-01,100.1
1971-04-01,103.0
1971-07-01,105.8
1971-10-01,108.0
1972-01-01,111.4
1972-04-01,114.0
1972-07-01,116.9
1972-10-01,119.2
1973-01-01,122.0
1973-04-01,125.1
1973-07-01,128.3
1973-10-01,131.9
1974-01-01,136.6
1974-04-01,141.6
1974-07-01,147.1
1974-10-01,152.6
1975-01-01,158.8
1975-04-01,164.5
1975-07-01,168.4
1975-10-01,170.8
1976-01-01,173.2
1976-04-01,175.6
1976-07-01,178.2
1976-10-01,181.7
1977-01-01,186.3
1977-04-01,190.4
1977-07-01,195.3
1977-10-01,199.9
1978-01-01,204.0
1978-04-01,207.3
1978-07-01,211.8
1978-10-01,216.2
1979-01-01,222.3
1979-04-01,225.4
1979-07-01,232.3
1979-10-01,237.8
1980-01-01,244.1
1980-04-01,250.2
1980-07-01,255.8
1980-10-01,261.1
1981-01-01,268.4
1981-04-01,273.8
1981-07-01,278.6
1981-10-01,283.5
1982-01-01,289.5
1982-04-01,295.2
1982-07-01,299.7
1982-10-01,305.2
1983-01-01,310.9
1983-04-01,314.9
1983-07-01,318.8
1983-10-01,322.3
1984-01-01,329.7
1984-04-01,336.2
1984-07-01,343.5
1984-10-01,350.5
1985-01-01,359.2
1985-04-01,367.0
1985-07-01,376.5
1985-10-01,384.5
1986-01-01,390.4
1986-04-01,395.2
1986-07-01,401.9
1986-10-01,411.9
1987-01-01,418.3
1987-04-01,425.3
1987-07-01,430.8
1987-10-01,439.0
1988-01-01,446.9
1988-04-01,454.8
1988-07-01,462.0
1988-10-01,472.1
1989-01-01,484.9
1989-04-01,496.4
1989-07-01,506.1
1989-10-01,517.9
1990-01-01,530.7
1990-04-01,539.1
1990-07-01,551.0
1990-10-01,563.9
1991-01-01,569.3
1991-04-01,575.2
1991-07-01,583.4
1991-10-01,592.6
1992-01-01,603.5
1992-04-01,615.4
1992-07-01,625.5
1992-10-01,631.7
1993-01-01,638.4
1993-04-01,643.4
1993-07-01,649.1
1993-10-01,655.0
1994-01-01,667.4
1994-04-01,677.2
1994-07-01,687.8
1994-10-01,696.4
1995-01-01,705.6
1995-04-01,714.6
1995-07-01,720.4
1995-10-01,726.7
1996-01-01,734.7
1996-04-01,744.2
1996-07-01,751.5
1996-10-01,761.9
1997-01-01,771.2
1997-04-01,778.9
1997-07-01,789.7
1997-10-01,803.9
1998-01-01,814.6
1998-04-01,828.2
1998-07-01,842.9
1998-10-01,856.9
1999-01-01,873.3
1999-04-01,892.7
1999-07-01,912.2
1999-10-01,929.8
2000-01-01,945.6
2000-04-01,960.0
2000-07-01,975.7
2000-10-01,995.2
2001-01-01,1016.5
2001-04-01,1034.0
2001-07-01,1049.6
2001-10-01,1058.8
2002-01-01,1071.4
2002-04-01,1086.6
2002-07-01,1098.2
2002-10-01,1108.0
2003-01-01,1122.2
2003-04-01,1120.7
2003-07-01,1127.6
2003-10-01,1138.0
2004-01-01,1158.9
2004-04-01,1178.2
2004-07-01,1195.7
2004-10-01,1217.4
2005-01-01,1229.5
