DATE,VALUE
1967-01-01,26.617
1967-04-01,26.69
1967-07-01,26.865
1967-10-01,27.259
1968-01-01,27.227
1968-04-01,27.458
1968-07-01,27.655
1968-10-01,27.996
1969-01-01,27.872
1969-04-01,28.048
1969-07-01,28.56
1969-10-01,28.728
1970-01-01,29.019
1970-04-01,29.182
1970-07-01,29.473
1970-10-01,30.283
1971-01-01,31.024
1971-04-01,31.363
1971-07-01,31.113
1971-10-01,30.826
1972-01-01,31.445
1972-04-01,31.631
1972-07-01,31.831
1972-10-01,31.148
1973-01-01,30.849
1973-04-01,31.286
1973-07-01,31.809
1973-10-01,32.042
1974-01-01,32.814
1974-04-01,33.632
1974-07-01,34.619
1974-10-01,35.667
1975-01-01,36.334
1975-04-01,37.368
1975-07-01,37.456
1975-10-01,38.211
1976-01-01,39.114
1976-04-01,39.182
1976-07-01,39.842
1976-10-01,40.733
1977-01-01,41.072
1977-04-01,41.762
1977-07-01,43.087
1977-10-01,44.937
1978-01-01,45.992
1978-04-01,46.353
1978-07-01,47.006
1978-10-01,47.544
1979-01-01,48.978
1979-04-01,50.098
1979-07-01,50.691
1979-10-01,52.231
1980-01-01,53.817
1980-04-01,54.975
1980-07-01,56.615
1980-10-01,57.016
1981-01-01,57.396
1981-04-01,59.292
1981-07-01,59.623
1981-10-01,60.316
1982-01-01,59.926
1982-04-01,60.423
1982-07-01,61.104
1982-10-01,61.072
1983-01-01,61.347
1983-04-01,61.18
1983-07-01,61.177
1983-10-01,61.393
1984-01-01,61.648
1984-04-01,61.732
1984-07-01,61.78
1984-10-01,61.844
1985-01-01,62.357
1985-04-01,63.153
1985-07-01,63.918
1985-10-01,65.332
1986-01-01,66.23
1986-04-01,68.016
1986-07-01,68.44
1986-10-01,70.03
1987-01-01,69.788
1987-04-01,69.04
1987-07-01,69.006
1987-10-01,69.236
1988-01-01,68.905
1988-04-01,69.249
1988-07-01,70.006
1988-10-01,71.159
1989-01-01,70.867
1989-04-01,71.419
1989-07-01,72.141
1989-10-01,73.409
1990-01-01,74.038
1990-04-01,74.335
1990-07-01,74.706
1990-10-01,76.766
1991-01-01,78.279
1991-04-01,78.557
1991-07-01,78.796
1991-10-01,79.901
1992-01-01,80.7
1992-04-01,80.66
1992-07-01,79.861
1992-10-01,79.612
1993-01-01,80.21
1993-04-01,80.02
1993-07-01,80.035
1993-10-01,80.424
1994-01-01,82.054
1994-04-01,82.702
1994-07-01,82.715
1994-10-01,81.92
1995-01-01,81.019
1995-04-01,81.401
1995-07-01,82.253
1995-10-01,82.765
1996-01-01,82.665
1996-04-01,83.715
1996-07-01,84.513
1996-10-01,85.073
1997-01-01,85.131
1997-04-01,85.961
1997-07-01,87.475
1997-10-01,87.639
1998-01-01,87.045
1998-04-01,86.894
1998-07-01,86.957
1998-10-01,86.752
1999-01-01,87.921
1999-04-01,87.722
1999-07-01,86.601
1999-10-01,86.408
2000-01-01,86.563
2000-04-01,86.684
2000-07-01,86.312
2000-10-01,84.641
2001-01-01,83.956
2001-04-01,84.15
2001-07-01,84.24
2001-10-01,84.917
2002-01-01,85.119
2002-04-01,85.309
2002-07-01,84.987
2002-10-01,86.927
2003-01-01,85.709
2003-04-01,85.268
2003-07-01,86.99
2003-10-01,90.705
2004-01-01,90.974
2004-04-01,91.642
2004-07-01,89.979
2004-10-01,89.518
2005-01-01,90.423
2005-04-01,90.429
2005-07-01,88.707
2005-10-01,89.421
2006-01-01,89.569
2006-04-01,89.379
2006-07-01,89.596
2006-10-01,89.844
2007-01-01,90.434
2007-04-01,90.99
2007-07-01,90.715
2007-10-01,89.714
2008-01-01,88.537
2008-04-01,88.685
2008-07-01,90.225
2008-10-01,91.673
2009-01-01,98.67
2009-04-01,105.084
2009-07-01,102.81
2009-10-01,93.436
2010-01-01,87.717
2010-04-01,87.731
2010-07-01,88.007
2010-10-01,88.683
2011-01-01,88.962
2011-04-01,89.971
2011-07-01,89.726
2011-10-01,90.06
2012-01-01,91.105
2012-04-01,91.328
2012-07-01,92.042
2012-10-01,93.113
2013-01-01,93.345
2013-04-01,93.491
2013-07-01,93.79
2013-10-01,93.325
2014-01-01,93.716
2014-04-01,94.288
2014-07-01,94.617
2014-10-01,95.491
2015-01-01,95.879
2015-04-01,95.926
2015-07-01,96.288
2015-10-01,96.293
2016-01-01,96.693
2016-04-01,96.815
