DATE,VALUE
2000-01-01,55274327.0
2000-02-01,58004628.0
2000-03-01,58500737.0
2000-04-01,59065110.0
2000-05-01,60379520.0
2000-06-01,60373637.0
2000-07-01,59409740.0
2000-08-01,58875470.0
2000-09-01,62019948.0
2000-10-01,60205869.0
2000-11-01,59641671.0
2000-12-01,57119546.0
2001-01-01,58588762.0
2001-02-01,58124882.0
2001-03-01,59401163.0
2001-04-01,59853715.0
2001-05-01,59498087.0
2001-06-01,59701275.0
2001-07-01,59878715.0
2001-08-01,60867943.0
2001-09-01,44669851.0
2001-10-01,45603510.0
2001-11-01,48701757.0
2001-12-01,49919987.0
2002-01-01,52065366.0
2002-02-01,53474416.0
2002-03-01,53789244.0
2002-04-01,53771453.0
2002-05-01,55000334.0
2002-06-01,54827340.0
2002-07-01,54727270.0
2002-08-01,55586430.0
2002-09-01,54759891.0
2002-10-01,55354926.0
2002-11-01,56023336.0
2002-12-01,56230351.0
2003-01-01,56726875.0
2003-02-01,55670929.0
2003-03-01,53850756.0
2003-04-01,51838191.0
2003-05-01,53623618.0
2003-06-01,54658341.0
2003-07-01,56409012.0
2003-08-01,56998536.0
2003-09-01,57545649.0
2003-10-01,58069285.0
2003-11-01,59223341.0
2003-12-01,59503582.0
2004-01-01,59576833.0
2004-02-01,62304474.0
2004-03-01,61077140.0
2004-04-01,62273402.0
2004-05-01,61663046.0
2004-06-01,62995127.0
2004-07-01,63310214.0
2004-08-01,62989453.0
2004-09-01,63153026.0
2004-10-01,64409296.0
2004-11-01,63730397.0
2004-12-01,64759077.0
2005-01-01,65374592.0
2005-02-01,65489794.0
2005-03-01,66480550.0
2005-04-01,66157746.0
2005-05-01,67063149.0
2005-06-01,66766364.0
2005-07-01,67071000.0
2005-08-01,65717752.0
2005-09-01,67177270.0
2005-10-01,65011911.0
2005-11-01,66111069.0
2005-12-01,66597578.0
2006-01-01,66919766.0
2006-02-01,66999286.0
2006-03-01,67814566.0
2006-04-01,68069197.0
2006-05-01,67796200.0
2006-06-01,67665298.0
2006-07-01,67115260.0
2006-08-01,65953757.0
2006-09-01,67221584.0
2006-10-01,67442607.0
2006-11-01,68492453.0
2006-12-01,68502809.0
2007-01-01,69013843.0
2007-02-01,68527580.0
2007-03-01,69833623.0
2007-04-01,69960622.0
2007-05-01,70069532.0
2007-06-01,70280087.0
2007-07-01,70048880.0
2007-08-01,70877542.0
2007-09-01,70514395.0
2007-10-01,70751439.0
2007-11-01,71461004.0
2007-12-01,70397561.0
2008-01-01,70779227.0
2008-02-01,72589420.0
2008-03-01,70882062.0
2008-04-01,70411479.0
2008-05-01,70684430.0
2008-06-01,69385898.0
2008-07-01,68444088.0
2008-08-01,68481464.0
2008-09-01,65412333.0
2008-10-01,66246263.0
2008-11-01,65035050.0
2008-12-01,65074807.0
2009-01-01,64677715.0
2009-02-01,64828077.0
2009-03-01,63731851.0
2009-04-01,65833179.0
2009-05-01,63701477.0
2009-06-01,64427423.0
2009-07-01,65627818.0
2009-08-01,65619970.0
2009-09-01,65275149.0
2009-10-01,65426486.0
2009-11-01,64571371.0
2009-12-01,65954475.0
2010-01-01,66144605.0
2010-02-01,64725070.0
2010-03-01,66276236.0
2010-04-01,65843188.0
2010-05-01,66555247.0
2010-06-01,67397826.0
2010-07-01,67600804.0
2010-08-01,67681785.0
2010-09-01,68854610.0
2010-10-01,70213609.0
2010-11-01,69008824.0
2010-12-01,68551267.0
2011-01-01,68294050.0
2011-02-01,67041165.0
2011-03-01,68239912.0
2011-04-01,68713915.0
2011-05-01,69234133.0
2011-06-01,68800389.0
2011-07-01,69687463.0
2011-08-01,68168429.0
2011-09-01,69688643.0
2011-10-01,69350708.0
2011-11-01,69193650.0
2011-12-01,69343053.0
2012-01-01,68753082.0
2012-02-01,70080500.0
2012-03-01,69831890.0
2012-04-01,69759852.0
2012-05-01,69188186.0
2012-06-01,69356180.0
2012-07-01,68765913.0
2012-08-01,69506738.0
2012-09-01,69343171.0
2012-10-01,68848902.0
2012-11-01,69760224.0
2012-12-01,69400309.0
2013-01-01,70115013.0
2013-02-01,70118712.0
2013-03-01,70167136.0
2013-04-01,70318192.0
2013-05-01,70677410.0
2013-06-01,70946107.0
2013-07-01,70258408.0
2013-08-01,70812984.0
2013-09-01,70627538.0
2013-10-01,70847458.0
2013-11-01,71616065.0
2013-12-01,71329413.0
2014-01-01,71839931.0
2014-02-01,70659487.0
2014-03-01,72464937.0
2014-04-01,72429215.0
2014-05-01,72700176.0
2014-06-01,72449894.0
2014-07-01,72607754.0
2014-08-01,72650136.0
2014-09-01,72563048.0
2014-10-01,72891718.0
2014-11-01,72651243.0
2014-12-01,73558378.0
2015-01-01,73721238.0
2015-02-01,72725137.0
2015-03-01,74606427.0
2015-04-01,74800609.0
2015-05-01,75457813.0
2015-06-01,75560415.0
2015-07-01,77018343.0
2015-08-01,76459567.0
2015-09-01,76601647.0
2015-10-01,77539710.0
2015-11-01,76448001.0
2015-12-01,77633623.0
2016-01-01,77022663.0
2016-02-01,77597056.0
2016-03-01,76467261.0
2016-04-01,77955826.0
2016-05-01,78171638.0
2016-06-01,79290731.0
2016-07-01,79135728.0
