DATE,VALUE
1990-01-01,317.7
1990-02-01,317.3
1990-03-01,316.4
1990-04-01,316.4
1990-05-01,316.0
1990-06-01,317.5
1990-07-01,318.1
1990-08-01,319.1
1990-09-01,319.3
1990-10-01,317.4
1990-11-01,318.1
1990-12-01,317.9
1991-01-01,322.1
1991-02-01,321.4
1991-03-01,322.5
1991-04-01,321.7
1991-05-01,321.4
1991-06-01,320.1
1991-07-01,320.8
1991-08-01,321.3
1991-09-01,321.8
1991-10-01,321.8
1991-11-01,321.7
1991-12-01,321.7
1992-01-01,321.6
1992-02-01,322.3
1992-03-01,322.8
1992-04-01,323.3
1992-05-01,325.5
1992-06-01,326.4
1992-07-01,327.7
1992-08-01,328.1
1992-09-01,327.4
1992-10-01,328.0
1992-11-01,328.8
1992-12-01,330.2
1993-01-01,330.3
1993-02-01,331.7
1993-03-01,331.6
1993-04-01,334.6
1993-05-01,334.3
1993-06-01,335.2
1993-07-01,336.8
1993-08-01,339.5
1993-09-01,340.1
1993-10-01,342.9
1993-11-01,343.3
1993-12-01,343.9
1994-01-01,344.5
1994-02-01,345.2
1994-03-01,345.7
1994-04-01,345.2
1994-05-01,346.5
1994-06-01,347.0
1994-07-01,347.7
1994-08-01,350.7
1994-09-01,353.1
1994-10-01,352.8
1994-11-01,353.9
1994-12-01,354.7
1995-01-01,355.2
1995-02-01,355.9
1995-03-01,356.1
1995-04-01,358.5
1995-05-01,358.6
1995-06-01,359.8
1995-07-01,359.2
1995-08-01,362.1
1995-09-01,363.4
1995-10-01,362.6
1995-11-01,364.0
1995-12-01,364.4
1996-01-01,364.9
1996-02-01,365.6
1996-03-01,365.7
1996-04-01,364.6
1996-05-01,364.7
1996-06-01,366.1
1996-07-01,365.7
1996-08-01,368.0
1996-09-01,368.0
1996-10-01,369.2
1996-11-01,369.1
1996-12-01,370.4
1997-01-01,372.1
1997-02-01,371.2
1997-03-01,372.8
1997-04-01,371.3
1997-05-01,372.8
1997-06-01,372.8
1997-07-01,373.5
1997-08-01,374.1
1997-09-01,374.6
1997-10-01,377.1
1997-11-01,378.7
1997-12-01,379.4
1998-01-01,375.6
1998-02-01,376.9
1998-03-01,377.9
1998-04-01,380.5
1998-05-01,381.9
1998-06-01,384.1
1998-07-01,380.8
