DATE,VALUE
1998-01-01,487736.0
1998-04-01,484912.0
1998-07-01,475200.0
1998-10-01,475056.0
1999-01-01,474756.0
1999-04-01,462252.0
1999-07-01,444120.0
1999-10-01,436572.0
2000-01-01,417740.0
2000-04-01,409356.0
2000-07-01,406192.0
2000-10-01,402156.0
2001-01-01,412116.0
2001-04-01,408244.0
2001-07-01,401012.0
2001-10-01,402828.0
2002-01-01,415920.0
2002-04-01,404088.0
2002-07-01,418204.0
2002-10-01,409000.0
2003-01-01,394720.0
2003-04-01,399764.0
2003-07-01,378548.0
2003-10-01,397108.0
2004-01-01,374864.0
2004-04-01,399536.0
2004-07-01,409364.0
2004-10-01,425848.0
2005-01-01,462788.0
2005-04-01,458596.0
2005-07-01,486872.0
2005-10-01,484840.0
2006-01-01,499820.0
2006-04-01,483056.0
2006-07-01,480612.0
2006-10-01,486084.0
2007-01-01,493912.0
2007-04-01,504276.0
2007-07-01,513628.0
2007-10-01,510868.0
2008-01-01,525504.0
2008-04-01,557824.0
2008-07-01,566604.0
2008-10-01,573036.0
2009-01-01,539344.0
2009-04-01,524932.0
2009-07-01,517660.0
2009-10-01,531380.0
2010-01-01,571420.0
2010-04-01,543620.0
2010-07-01,590716.0
2010-10-01,606512.0
2011-01-01,641456.0
2011-04-01,639612.0
2011-07-01,622044.0
2011-10-01,670284.0
2012-01-01,644016.0
2012-04-01,676076.0
2012-07-01,654876.0
2012-10-01,649276.0
2013-01-01,643112.0
2013-04-01,645548.0
2013-07-01,619720.0
2013-10-01,585196.0
2014-01-01,622484.0
2014-04-01,616640.0
2014-07-01,603428.0
2014-10-01,598700.0
2015-01-01,575764.0
2015-04-01,570556.0
2015-07-01,560620.0
2015-10-01,493200.0
2016-01-01,419016.0
2016-04-01,406171.0
