DATE,VALUE
1990-01-01,13931.0
1990-02-01,13885.0
1990-03-01,14036.0
1990-04-01,13950.0
1990-05-01,14247.0
1990-06-01,14240.0
1990-07-01,14011.0
1990-08-01,13852.0
1990-09-01,13614.0
1990-10-01,13830.0
1990-11-01,13543.0
1990-12-01,13503.0
1991-01-01,13162.0
1991-02-01,13578.0
1991-03-01,13582.0
1991-04-01,13676.0
1991-05-01,13704.0
1991-06-01,13995.0
1991-07-01,13825.0
1991-08-01,13624.0
1991-09-01,13599.0
1991-10-01,13704.0
1991-11-01,13552.0
1991-12-01,13567.0
1992-01-01,13759.0
1992-02-01,13846.0
1992-03-01,14095.0
1992-04-01,14186.0
1992-05-01,14162.0
1992-06-01,14450.0
1992-07-01,14359.0
1992-08-01,14016.0
1992-09-01,13928.0
1992-10-01,13901.0
1992-11-01,13857.0
1992-12-01,13923.0
1993-01-01,13778.0
1993-02-01,14031.0
1993-03-01,14188.0
1993-04-01,14370.0
1993-05-01,14458.0
1993-06-01,14757.0
1993-07-01,14811.0
1993-08-01,14594.0
1993-09-01,14393.0
1993-10-01,14555.0
1993-11-01,14564.0
1993-12-01,14472.0
1994-01-01,14490.0
1994-02-01,14746.0
1994-03-01,14832.0
1994-04-01,14717.0
1994-05-01,14946.0
1994-06-01,15143.0
1994-07-01,15036.0
1994-08-01,14837.0
1994-09-01,14885.0
1994-10-01,14837.0
1994-11-01,14907.0
1994-12-01,14885.0
1995-01-01,15051.0
1995-02-01,15251.0
1995-03-01,15226.0
1995-04-01,15057.0
1995-05-01,15179.0
1995-06-01,15271.0
1995-07-01,15363.0
1995-08-01,15081.0
1995-09-01,15127.0
1995-10-01,15138.0
1995-11-01,15165.0
1995-12-01,15039.0
1996-01-01,15054.0
1996-02-01,15175.0
1996-03-01,15295.0
1996-04-01,15218.0
1996-05-01,15236.0
1996-06-01,15494.0
1996-07-01,15391.0
1996-08-01,15023.0
1996-09-01,14810.0
1996-10-01,14895.0
1996-11-01,14844.0
1996-12-01,14752.0
1997-01-01,14591.0
1997-02-01,14796.0
1997-03-01,14843.0
1997-04-01,14847.0
1997-05-01,14912.0
1997-06-01,15023.0
1997-07-01,14953.0
1997-08-01,14592.0
1997-09-01,14504.0
1997-10-01,14709.0
1997-11-01,14669.0
1997-12-01,14753.0
1998-01-01,15269.0
