DATE,VALUE
1990-01-01,6016.0
1990-02-01,6091.0
1990-03-01,5928.0
1990-04-01,5983.0
1990-05-01,5976.0
1990-06-01,6173.0
1990-07-01,5936.0
1990-08-01,5803.0
1990-09-01,5905.0
1990-10-01,6030.0
1990-11-01,6031.0
1990-12-01,6030.0
1991-01-01,5903.0
1991-02-01,6035.0
1991-03-01,6047.0
1991-04-01,5964.0
1991-05-01,5941.0
1991-06-01,6171.0
1991-07-01,6168.0
1991-08-01,5930.0
1991-09-01,5882.0
1991-10-01,5921.0
1991-11-01,6007.0
1991-12-01,6071.0
1992-01-01,6300.0
1992-02-01,6259.0
1992-03-01,6368.0
1992-04-01,6356.0
1992-05-01,6435.0
1992-06-01,6659.0
1992-07-01,6538.0
1992-08-01,6377.0
1992-09-01,6316.0
1992-10-01,6128.0
1992-11-01,6027.0
1992-12-01,6069.0
1993-01-01,5878.0
1993-02-01,5978.0
1993-03-01,6044.0
1993-04-01,6292.0
1993-05-01,6388.0
1993-06-01,6665.0
1993-07-01,6479.0
1993-08-01,6311.0
1993-09-01,6378.0
1993-10-01,6406.0
1993-11-01,6405.0
1993-12-01,6451.0
1994-01-01,6348.0
1994-02-01,6414.0
1994-03-01,6382.0
1994-04-01,6480.0
1994-05-01,6611.0
1994-06-01,6822.0
1994-07-01,6632.0
1994-08-01,6484.0
1994-09-01,6658.0
1994-10-01,6706.0
1994-11-01,6597.0
1994-12-01,6610.0
1995-01-01,6428.0
1995-02-01,6517.0
1995-03-01,6404.0
1995-04-01,6391.0
1995-05-01,6410.0
1995-06-01,6616.0
1995-07-01,6480.0
1995-08-01,6357.0
1995-09-01,6398.0
1995-10-01,6405.0
1995-11-01,6425.0
1995-12-01,6385.0
1996-01-01,6198.0
1996-02-01,6320.0
1996-03-01,6437.0
1996-04-01,6430.0
1996-05-01,6563.0
1996-06-01,6773.0
1996-07-01,6896.0
1996-08-01,6681.0
1996-09-01,6646.0
1996-10-01,6523.0
1996-11-01,6612.0
1996-12-01,6549.0
1997-01-01,6212.0
1997-02-01,6253.0
1997-03-01,6360.0
1997-04-01,6463.0
1997-05-01,6552.0
1997-06-01,6680.0
1997-07-01,6568.0
1997-08-01,6453.0
1997-09-01,6343.0
1997-10-01,6314.0
1997-11-01,6198.0
1997-12-01,6275.0
1998-01-01,6209.0
1998-02-01,6252.0
1998-03-01,6364.0
1998-04-01,6383.0
1998-05-01,6428.0
1998-06-01,6646.0
1998-07-01,6557.0
1998-08-01,6387.0
1998-09-01,6383.0
1998-10-01,6336.0
1998-11-01,6331.0
1998-12-01,6358.0
1999-01-01,6376.0
1999-02-01,6324.0
1999-03-01,6357.0
1999-04-01,6355.0
1999-05-01,6433.0
1999-06-01,6536.0
1999-07-01,6480.0
1999-08-01,6387.0
1999-09-01,6345.0
1999-10-01,6320.0
1999-11-01,6303.0
1999-12-01,6367.0
2000-01-01,5446.0
2000-02-01,5391.0
2000-03-01,5408.0
2000-04-01,5547.0
2000-05-01,5398.0
2000-06-01,5447.0
2000-07-01,5432.0
2000-08-01,5321.0
2000-09-01,5384.0
2000-10-01,5453.0
2000-11-01,5441.0
2000-12-01,5469.0
2001-01-01,5268.0
2001-02-01,5348.0
2001-03-01,5482.0
2001-04-01,5435.0
2001-05-01,5438.0
2001-06-01,5506.0
2001-07-01,5251.0
2001-08-01,5375.0
2001-09-01,5444.0
2001-10-01,5367.0
2001-11-01,5319.0
2001-12-01,5338.0
2002-01-01,5354.0
2002-02-01,5281.0
2002-03-01,5331.0
2002-04-01,5236.0
2002-05-01,5338.0
2002-06-01,5294.0
2002-07-01,5289.0
2002-08-01,5286.0
2002-09-01,5236.0
2002-10-01,5358.0
2002-11-01,5323.0
2002-12-01,5356.0
2003-01-01,5406.0
2003-02-01,5271.0
2003-03-01,5290.0
2003-04-01,5205.0
2003-05-01,5123.0
2003-06-01,5201.0
2003-07-01,4999.0
2003-08-01,5171.0
2003-09-01,5107.0
2003-10-01,5229.0
2003-11-01,5122.0
2003-12-01,4967.0
2004-01-01,4981.0
2004-02-01,4952.0
2004-03-01,4867.0
2004-04-01,4893.0
2004-05-01,4953.0
2004-06-01,4870.0
2004-07-01,4986.0
2004-08-01,4944.0
2004-09-01,4881.0
2004-10-01,4958.0
2004-11-01,4900.0
2004-12-01,4775.0
2005-01-01,4814.0
2005-02-01,4712.0
2005-03-01,4685.0
2005-04-01,4829.0
2005-05-01,4982.0
2005-06-01,5071.0
2005-07-01,5105.0
2005-08-01,4974.0
2005-09-01,4925.0
2005-10-01,4923.0
2005-11-01,4845.0
2005-12-01,4843.0
2006-01-01,4866.0
2006-02-01,4888.0
2006-03-01,4933.0
2006-04-01,5164.0
2006-05-01,5039.0
2006-06-01,5082.0
2006-07-01,5077.0
2006-08-01,5029.0
2006-09-01,5182.0
2006-10-01,5120.0
2006-11-01,5066.0
2006-12-01,4929.0
2007-01-01,4871.0
2007-02-01,4984.0
2007-03-01,4922.0
2007-04-01,4903.0
2007-05-01,4836.0
2007-06-01,4860.0
2007-07-01,4970.0
2007-08-01,5050.0
2007-09-01,5202.0
2007-10-01,5182.0
2007-11-01,5123.0
2007-12-01,5043.0
2008-01-01,5008.0
2008-02-01,5033.0
2008-03-01,5165.0
2008-04-01,5049.0
2008-05-01,4988.0
2008-06-01,4932.0
2008-07-01,4994.0
2008-08-01,5004.0
2008-09-01,4857.0
2008-10-01,4944.0
2008-11-01,4957.0
2008-12-01,4672.0
2009-01-01,4787.0
2009-02-01,4830.0
2009-03-01,4842.0
2009-04-01,4911.0
2009-05-01,5009.0
2009-06-01,5033.0
2009-07-01,5012.0
2009-08-01,4885.0
2009-09-01,4744.0
2009-10-01,4813.0
2009-11-01,4831.0
2009-12-01,4781.0
2010-01-01,4149.0
2010-02-01,4175.0
2010-03-01,4144.0
2010-04-01,4319.0
2010-05-01,4411.0
2010-06-01,4398.0
2010-07-01,4367.0
2010-08-01,4262.0
2010-09-01,4178.0
2010-10-01,4270.0
2010-11-01,4293.0
2010-12-01,4291.0
2011-01-01,4374.0
2011-02-01,4269.0
2011-03-01,4210.0
2011-04-01,4223.0
2011-05-01,4317.0
2011-06-01,4345.0
2011-07-01,4307.0
2011-08-01,4258.0
2011-09-01,4159.0
2011-10-01,4322.0
2011-11-01,4285.0
2011-12-01,4305.0
2012-01-01,4236.0
2012-02-01,4106.0
2012-03-01,4116.0
2012-04-01,4083.0
2012-05-01,4142.0
2012-06-01,4133.0
2012-07-01,4129.0
2012-08-01,3973.0
2012-09-01,3931.0
2012-10-01,3962.0
2012-11-01,3988.0
2012-12-01,3925.0
2013-01-01,3872.0
2013-02-01,3812.0
2013-03-01,3806.0
2013-04-01,3813.0
2013-05-01,3832.0
2013-06-01,3892.0
2013-07-01,3811.0
2013-08-01,3754.0
2013-09-01,3696.0
2013-10-01,3751.0
2013-11-01,3784.0
2013-12-01,3806.0
2014-01-01,3909.0
2014-02-01,3834.0
2014-03-01,3791.0
2014-04-01,3837.0
2014-05-01,3775.0
2014-06-01,3893.0
2014-07-01,3762.0
2014-08-01,3795.0
2014-09-01,3814.0
2014-10-01,3795.0
2014-11-01,3773.0
2014-12-01,3818.0
2015-01-01,3799.0
2015-02-01,3741.0
2015-03-01,3780.0
2015-04-01,3777.0
2015-05-01,3833.0
2015-06-01,3883.0
2015-07-01,3710.0
2015-08-01,3704.0
2015-09-01,3620.0
2015-10-01,3651.0
2015-11-01,3648.0
2015-12-01,3666.0
2016-01-01,3654.0
2016-02-01,3660.0
2016-03-01,3653.0
2016-04-01,3612.0
2016-05-01,3711.0
2016-06-01,3724.0
2016-07-01,3619.0
2016-08-01,3650.0
