DATE,VALUE
1988-01-01,2409.0
1988-02-01,4007.0
1988-03-01,4320.0
1988-04-01,4178.0
1988-05-01,4089.0
1988-06-01,4335.0
1988-07-01,3520.0
1988-08-01,3520.0
1988-09-01,2905.0
1988-10-01,3752.0
1988-11-01,3480.0
1988-12-01,3880.0
1989-01-01,3216.0
1989-02-01,2910.0
1989-03-01,2784.0
1989-04-01,2674.0
1989-05-01,2958.0
1989-06-01,2957.0
1989-07-01,2497.0
1989-08-01,3131.0
1989-09-01,2838.0
1989-10-01,2329.0
1989-11-01,2779.0
1989-12-01,2687.0
1990-01-01,4495.0
1990-02-01,1865.0
1990-03-01,2466.0
1990-04-01,2061.0
1990-05-01,1977.0
1990-06-01,1836.0
1990-07-01,1871.0
1990-08-01,2768.0
1990-09-01,1657.0
1990-10-01,1712.0
1990-11-01,1563.0
1990-12-01,1665.0
1991-01-01,1403.0
1991-02-01,2244.0
1991-03-01,1670.0
1991-04-01,2019.0
1991-05-01,1971.0
1991-06-01,1733.0
1991-07-01,2173.0
1991-08-01,1775.0
1991-09-01,2194.0
1991-10-01,2175.0
1991-11-01,2312.0
1991-12-01,1789.0
1992-01-01,2208.0
1992-02-01,2414.0
1992-03-01,2426.0
1992-04-01,2434.0
1992-05-01,2355.0
1992-06-01,2647.0
1992-07-01,2479.0
1992-08-01,1991.0
1992-09-01,2246.0
1992-10-01,2464.0
1992-11-01,2105.0
1992-12-01,2326.0
1993-01-01,2822.0
1993-02-01,2684.0
1993-03-01,2629.0
1993-04-01,2703.0
1993-05-01,2567.0
1993-06-01,2772.0
1993-07-01,2832.0
1993-08-01,3035.0
1993-09-01,3454.0
1993-10-01,3170.0
1993-11-01,3322.0
1993-12-01,3529.0
1994-01-01,2395.0
1994-02-01,3230.0
1994-03-01,3464.0
1994-04-01,3408.0
1994-05-01,4113.0
1994-06-01,3507.0
1994-07-01,2624.0
1994-08-01,3582.0
1994-09-01,3534.0
1994-10-01,3685.0
1994-11-01,4396.0
