DATE,VALUE
1986-07-01,79.64
1986-10-01,79.45
1987-01-01,81.4
1987-04-01,79.68
1987-07-01,76.77
1987-10-01,77.85
1988-01-01,77.71
1988-04-01,81.03
1988-07-01,78.12
1988-10-01,81.06
1989-01-01,79.17
1989-04-01,79.21
1989-07-01,81.86
1989-10-01,81.38
1990-01-01,86.4
1990-04-01,85.1
1990-07-01,86.02
1990-10-01,87.6
1991-01-01,87.35
1991-04-01,88.63
1991-07-01,90.34
1991-10-01,93.04
1992-01-01,93.0
1992-04-01,93.56
1992-07-01,93.32
1992-10-01,95.4
1993-01-01,95.63
1993-04-01,96.97
1993-07-01,99.3
1993-10-01,99.86
1994-01-01,98.96
1994-04-01,100.31
1994-07-01,100.0
1994-10-01,99.05
1995-01-01,100.0
1995-04-01,100.06
1995-07-01,101.91
1995-10-01,102.82
1996-01-01,106.06
1996-04-01,104.7
1996-07-01,103.02
1996-10-01,104.33
1997-01-01,106.55
1997-04-01,107.55
1997-07-01,108.46
1997-10-01,110.41
1998-01-01,111.6
1998-04-01,112.93
1998-07-01,112.35
1998-10-01,114.37
1999-01-01,114.72
1999-04-01,116.43
1999-07-01,115.96
1999-10-01,115.28
2000-01-01,114.88
2000-04-01,117.05
2000-07-01,116.04
2000-10-01,118.28
2001-01-01,122.12
2001-04-01,123.36
2001-07-01,123.71
2001-10-01,124.53
2002-01-01,125.41
2002-04-01,124.36
2002-07-01,127.19
2002-10-01,128.62
2003-01-01,128.95
2003-04-01,131.48
2003-07-01,131.66
2003-10-01,133.03
2004-01-01,134.02
2004-04-01,136.66
2004-07-01,141.49
2004-10-01,142.26
2005-01-01,142.39
2005-04-01,148.27
2005-07-01,154.07
2005-10-01,156.06
2006-01-01,159.49
2006-04-01,164.83
2006-07-01,168.26
2006-10-01,172.16
2007-01-01,177.7
2007-04-01,180.26
2007-07-01,183.59
2007-10-01,183.27
2008-01-01,185.84
2008-04-01,185.5
2008-07-01,179.17
2008-10-01,183.94
2009-01-01,184.5
2009-04-01,180.64
2009-07-01,175.07
2009-10-01,172.05
2010-01-01,166.44
2010-04-01,168.31
2010-07-01,167.89
2010-10-01,165.58
2011-01-01,159.22
2011-04-01,155.02
2011-07-01,160.32
2011-10-01,158.33
2012-01-01,158.44
2012-04-01,156.71
2012-07-01,155.61
2012-10-01,160.01
2013-01-01,158.62
2013-04-01,155.33
2013-07-01,158.29
2013-10-01,158.11
2014-01-01,159.89
2014-04-01,155.11
2014-07-01,162.72
2014-10-01,162.21
2015-01-01,163.41
2015-04-01,166.96
2015-07-01,169.54
2015-10-01,173.61
2016-01-01,175.94
2016-04-01,179.05
