DATE,VALUE
1993-07-01,101.06
1993-10-01,103.29
1994-01-01,98.93
1994-04-01,98.6
1994-07-01,107.71
1994-10-01,104.43
1995-01-01,100.0
1995-04-01,102.14
1995-07-01,105.34
1995-10-01,106.11
1996-01-01,104.16
1996-04-01,106.18
1996-07-01,111.8
1996-10-01,111.5
1997-01-01,106.47
1997-04-01,112.1
1997-07-01,115.52
1997-10-01,113.49
1998-01-01,117.16
1998-04-01,118.88
1998-07-01,119.32
1998-10-01,121.56
1999-01-01,120.35
1999-04-01,121.97
1999-07-01,123.9
1999-10-01,123.88
2000-01-01,123.21
2000-04-01,126.87
2000-07-01,128.42
2000-10-01,125.16
2001-01-01,131.86
2001-04-01,131.44
2001-07-01,134.16
2001-10-01,135.53
2002-01-01,133.98
2002-04-01,136.13
2002-07-01,138.51
2002-10-01,136.52
2003-01-01,142.06
2003-04-01,142.26
2003-07-01,143.34
2003-10-01,149.14
2004-01-01,149.46
2004-04-01,151.71
2004-07-01,154.23
2004-10-01,158.67
2005-01-01,158.94
2005-04-01,170.9
2005-07-01,172.92
2005-10-01,182.98
2006-01-01,186.13
2006-04-01,190.55
2006-07-01,198.12
2006-10-01,203.47
2007-01-01,210.35
2007-04-01,212.62
2007-07-01,212.27
2007-10-01,213.15
2008-01-01,215.37
2008-04-01,213.1
2008-07-01,216.07
2008-10-01,213.18
2009-01-01,218.14
2009-04-01,214.67
2009-07-01,214.1
2009-10-01,211.69
2010-01-01,210.96
2010-04-01,209.54
2010-07-01,212.41
2010-10-01,211.21
2011-01-01,208.13
2011-04-01,206.27
2011-07-01,203.0
2011-10-01,194.77
2012-01-01,199.11
2012-04-01,193.83
2012-07-01,191.64
2012-10-01,191.59
2013-01-01,197.62
2013-04-01,192.87
2013-07-01,195.53
2013-10-01,188.15
2014-01-01,183.13
2014-04-01,176.55
2014-07-01,184.81
2014-10-01,178.74
2015-01-01,184.35
2015-04-01,180.91
2015-07-01,180.99
2015-10-01,172.35
2016-01-01,185.06
2016-04-01,179.64
