DATE,VALUE
1990-02-01,0.11974
1990-03-01,0.23122
1990-04-01,0.09709
1990-05-01,0.05117
1990-06-01,0.24627
1990-07-01,0.25354
1990-08-01,0.28007
1990-09-01,-0.16325
1990-10-01,0.05303
1990-11-01,0.54162
1990-12-01,-0.16498
1991-01-01,-0.81063
1991-02-01,0.21346
1991-03-01,-0.08591
1991-04-01,0.18171
1991-05-01,0.53776
1991-06-01,-0.43828
1991-07-01,0.04134
1991-08-01,0.17449
1991-09-01,0.444
1991-10-01,0.1678
1991-11-01,0.03953
1991-12-01,0.34196
1992-01-01,0.2856
1992-02-01,0.37948
1992-03-01,0.1821
1992-04-01,0.13462
1992-05-01,0.20745
1992-06-01,0.23511
1992-07-01,0.05081
1992-08-01,-0.03152
1992-09-01,0.26813
1992-10-01,0.40693
1992-11-01,0.44619
1992-12-01,0.27093
1993-01-01,0.51483
1993-02-01,0.30662
1993-03-01,0.31091
1993-04-01,0.3154
1993-05-01,0.83379
1993-06-01,-0.56458
1993-07-01,0.6333
1993-08-01,0.25592
1993-09-01,0.32853
1993-10-01,0.54827
1993-11-01,-0.35755
1993-12-01,0.31953
1994-01-01,0.35453
1994-02-01,0.20826
1994-03-01,0.20966
1994-04-01,0.54543
1994-05-01,0.15252
1994-06-01,0.32341
1994-07-01,0.8257
1994-08-01,0.16861
1994-09-01,0.08391
1994-10-01,0.09128
1994-11-01,0.22087
1994-12-01,0.05151
1995-01-01,-0.23288
1995-02-01,0.10208
1995-03-01,0.31672
1995-04-01,0.31346
1995-05-01,0.16844
1995-06-01,0.34428
1995-07-01,-0.16302
1995-08-01,0.2945
1995-09-01,0.0428
1995-10-01,0.08501
1995-11-01,0.36932
1995-12-01,0.25012
1996-01-01,0.30798
1996-02-01,0.09057
1996-03-01,0.21724
1996-04-01,-0.18851
1996-05-01,0.39625
1996-06-01,0.02494
1996-07-01,0.59742
1996-08-01,0.33748
1996-09-01,-0.2507
1996-10-01,0.90318
1996-11-01,0.01876
1996-12-01,0.12247
1997-01-01,0.34649
1997-02-01,0.37615
1997-03-01,0.12405
1997-04-01,0.02854
1997-05-01,0.13069
1997-06-01,-0.05541
1997-07-01,0.41349
1997-08-01,-0.10018
1997-09-01,0.44539
1997-10-01,0.09622
1997-11-01,0.28283
1997-12-01,-0.3283
1998-01-01,1.09052
1998-02-01,-0.14385
1998-03-01,0.1429
1998-04-01,0.65212
1998-05-01,0.38724
1998-06-01,0.00186
1998-07-01,-0.31698
1998-08-01,0.40552
1998-09-01,0.24874
1998-10-01,0.53567
1998-11-01,0.2688
1998-12-01,0.52718
1999-01-01,0.2997
1999-02-01,0.19009
1999-03-01,0.46658
1999-04-01,0.08059
1999-05-01,0.16459
1999-06-01,0.66525
1999-07-01,-0.07801
1999-08-01,0.25223
1999-09-01,0.61725
1999-10-01,0.10464
1999-11-01,0.68082
1999-12-01,0.3672
2000-01-01,0.12185
2000-02-01,0.38617
2000-03-01,0.06182
2000-04-01,-0.68685
2000-05-01,0.26149
2000-06-01,0.46284
2000-07-01,0.25578
2000-08-01,0.12667
2000-09-01,0.02316
2000-10-01,0.72745
2000-11-01,0.08799
2000-12-01,0.10689
2001-01-01,-0.3064
2001-02-01,0.28994
2001-03-01,0.32585
2001-04-01,-0.23446
2001-05-01,0.15545
2001-06-01,0.15018
2001-07-01,-0.07982
2001-08-01,0.30198
2001-09-01,-0.43828
2001-10-01,-0.49629
2001-11-01,-0.37501
2001-12-01,-0.04826
2002-01-01,0.46302
2002-02-01,0.28109
2002-03-01,0.12033
2002-04-01,0.1503
2002-05-01,0.38074
2002-06-01,-0.66939
2002-07-01,0.40671
2002-08-01,0.23649
2002-09-01,0.64534
2002-10-01,-0.52058
2002-11-01,0.36738
2002-12-01,0.13568
2003-01-01,-0.08668
2003-02-01,-0.27109
2003-03-01,0.03644
2003-04-01,0.49051
2003-05-01,0.11708
2003-06-01,0.07674
2003-07-01,0.2494
2003-08-01,0.42217
2003-09-01,0.21181
2003-10-01,0.30988
2003-11-01,0.30236
2003-12-01,0.39966
2004-01-01,0.2367
2004-02-01,0.26848
2004-03-01,0.30563
2004-04-01,0.33753
2004-05-01,0.46634
2004-06-01,0.45847
2004-07-01,1.03122
2004-08-01,-0.53786
2004-09-01,0.04297
2004-10-01,-0.04703
2004-11-01,-0.40214
2004-12-01,0.47499
2005-01-01,0.60035
2005-02-01,-0.1158
2005-03-01,0.31284
2005-04-01,0.81561
2005-05-01,0.03095
2005-06-01,0.04077
2005-07-01,0.30771
2005-08-01,0.01643
2005-09-01,0.21574
2005-10-01,0.60881
2005-11-01,0.50409
2005-12-01,-0.31875
2006-01-01,1.11706
2006-02-01,0.24847
2006-03-01,0.40808
2006-04-01,0.48186
2006-05-01,0.34861
2006-06-01,0.68945
2006-07-01,-0.03766
2006-08-01,0.55914
2006-09-01,1.20986
2006-10-01,-0.53
2006-11-01,0.8953
2006-12-01,0.88153
2007-01-01,-0.02911
2007-02-01,0.63087
2007-03-01,0.47784
2007-04-01,0.10731
2007-05-01,-0.00186
2007-06-01,0.49167
2007-07-01,0.50374
2007-08-01,0.30096
2007-09-01,0.09378
2007-10-01,-0.31761
2007-11-01,0.36916
2007-12-01,0.38908
2008-01-01,0.57372
2008-02-01,0.39255
2008-03-01,-0.04922
2008-04-01,0.29487
2008-05-01,0.20445
2008-06-01,-0.01508
2008-07-01,0.199
2008-08-01,0.22193
2008-09-01,0.14008
2008-10-01,1.32502
2008-11-01,0.42321
2008-12-01,-0.68284
2009-01-01,0.24549
2009-02-01,-0.11595
2009-03-01,-0.28887
2009-04-01,-0.12157
2009-05-01,0.29747
2009-06-01,-0.49679
2009-07-01,1.40928
2009-08-01,0.16342
2009-09-01,-0.23425
2009-10-01,-0.16735
2009-11-01,-0.14181
2009-12-01,-0.14698
2010-01-01,-0.05598
2010-02-01,0.16611
2010-03-01,0.48678
2010-04-01,0.13039
2010-05-01,0.40516
2010-06-01,0.26361
2010-07-01,0.28625
2010-08-01,0.22115
2010-09-01,0.36627
2010-10-01,0.7987
2010-11-01,0.49594
2010-12-01,0.49909
2011-01-01,0.12238
2011-02-01,0.10106
2011-03-01,0.95881
2011-04-01,1.42658
2011-05-01,-0.36581
2011-06-01,-0.26078
