DATE,VALUE
1929-01-01,-0.7
1930-01-01,-1.9
1931-01-01,3.4
1932-01-01,0.8
1933-01-01,-1.2
1934-01-01,-6.5
1935-01-01,4.6
1936-01-01,-6.1
1937-01-01,4.6
1938-01-01,3.2
1939-01-01,-1.2
1940-01-01,3.2
1941-01-01,2.2
1942-01-01,6.3
1943-01-01,-1.3
1944-01-01,-1.7
1945-01-01,-3.7
1946-01-01,-1.1
1947-01-01,-5.1
1948-01-01,6.8
1949-01-01,-2.1
1950-01-01,-0.4
1951-01-01,2.4
1952-01-01,3.5
1953-01-01,2.2
1954-01-01,0.5
1955-01-01,-2.1
1956-01-01,-3.6
1957-01-01,0.5
1958-01-01,6.6
1959-01-01,-5.3
1960-01-01,2.0
1961-01-01,2.9
1962-01-01,1.9
1963-01-01,1.6
1964-01-01,-4.3
1965-01-01,2.8
1966-01-01,-1.6
1967-01-01,2.9
1968-01-01,4.6
1969-01-01,0.0
1970-01-01,-2.7
1971-01-01,4.6
1972-01-01,0.5
1973-01-01,2.0
1974-01-01,-4.9
1975-01-01,6.5
1976-01-01,-1.8
1977-01-01,8.2
1978-01-01,2.3
1979-01-01,4.8
1980-01-01,-8.1
1981-01-01,11.3
1982-01-01,8.5
1983-01-01,-19.7
1984-01-01,7.1
1985-01-01,7.9
1986-01-01,-2.6
1987-01-01,-10.3
1988-01-01,-14.8
1989-01-01,0.0
1990-01-01,2.9
1991-01-01,-2.1
1992-01-01,8.1
1993-01-01,-8.5
1994-01-01,15.6
1995-01-01,-14.8
1996-01-01,9.5
1997-01-01,4.1
1998-01-01,1.9
1999-01-01,-4.2
2000-01-01,-2.0
2001-01-01,0.1
2002-01-01,-3.5
2003-01-01,0.1
2004-01-01,9.0
2005-01-01,0.3
2006-01-01,-4.2
2007-01-01,-0.9
2008-01-01,1.1
2009-01-01,-1.6
2010-01-01,-7.0
2011-01-01,1.4
2012-01-01,-12.6
2013-01-01,6.0
2014-01-01,-2.2
2015-01-01,-1.6
