DATE,VALUE
1947-01-01,7.1
1947-04-01,7.3
1947-07-01,7.5
1947-10-01,7.7
1948-01-01,7.9
1948-04-01,8.0
1948-07-01,8.1
1948-10-01,8.2
1949-01-01,8.1
1949-04-01,8.2
1949-07-01,8.4
1949-10-01,8.7
1950-01-01,9.0
1950-04-01,9.2
1950-07-01,9.4
1950-10-01,9.7
1951-01-01,9.9
1951-04-01,10.2
1951-07-01,10.5
1951-10-01,10.7
1952-01-01,11.0
1952-04-01,11.3
1952-07-01,11.6
1952-10-01,11.9
1953-01-01,12.2
1953-04-01,12.5
1953-07-01,12.8
1953-10-01,13.1
1954-01-01,13.4
1954-04-01,13.6
1954-07-01,13.7
1954-10-01,13.9
1955-01-01,13.9
1955-04-01,14.0
1955-07-01,14.1
1955-10-01,14.1
1956-01-01,14.2
1956-04-01,14.2
1956-07-01,14.3
1956-10-01,14.4
1957-01-01,14.5
1957-04-01,14.6
1957-07-01,14.7
1957-10-01,14.9
1958-01-01,15.2
1958-04-01,15.4
1958-07-01,15.5
1958-10-01,15.6
1959-01-01,15.6
1959-04-01,16.0
1959-07-01,16.4
1959-10-01,16.6
1960-01-01,16.8
1960-04-01,17.0
1960-07-01,17.1
1960-10-01,17.3
1961-01-01,17.5
1961-04-01,17.6
1961-07-01,17.8
1961-10-01,18.0
1962-01-01,18.3
1962-04-01,18.5
1962-07-01,18.7
1962-10-01,18.8
1963-01-01,19.0
1963-04-01,19.2
1963-07-01,19.3
1963-10-01,19.3
1964-01-01,19.3
1964-04-01,19.3
1964-07-01,19.4
1964-10-01,19.4
1965-01-01,19.6
1965-04-01,19.8
1965-07-01,20.1
1965-10-01,20.1
1966-01-01,20.4
1966-04-01,20.4
1966-07-01,20.6
1966-10-01,20.7
1967-01-01,20.9
1967-04-01,21.0
1967-07-01,21.1
1967-10-01,21.0
1968-01-01,20.8
1968-04-01,20.9
1968-07-01,21.1
1968-10-01,20.9
1969-01-01,21.2
1969-04-01,21.3
1969-07-01,21.5
1969-10-01,21.5
1970-01-01,21.5
1970-04-01,21.3
1970-07-01,22.0
1970-10-01,22.3
1971-01-01,22.3
1971-04-01,23.0
1971-07-01,23.4
1971-10-01,23.9
1972-01-01,24.5
1972-04-01,21.6
1972-07-01,25.4
1972-10-01,25.3
1973-01-01,25.2
1973-04-01,25.1
1973-07-01,24.2
1973-10-01,25.2
1974-01-01,25.6
1974-04-01,25.1
1974-07-01,25.5
1974-10-01,25.4
1975-01-01,25.2
1975-04-01,25.0
1975-07-01,25.0
1975-10-01,24.6
1976-01-01,24.5
1976-04-01,23.4
1976-07-01,23.1
1976-10-01,22.3
1977-01-01,20.1
1977-04-01,19.7
1977-07-01,19.0
1977-10-01,18.7
1978-01-01,20.1
1978-04-01,20.0
1978-07-01,21.4
1978-10-01,21.7
1979-01-01,22.1
1979-04-01,20.1
1979-07-01,20.0
1979-10-01,22.4
1980-01-01,25.0
1980-04-01,19.4
1980-07-01,22.4
1980-10-01,33.4
1981-01-01,31.9
1981-04-01,30.3
1981-07-01,30.1
1981-10-01,33.1
1982-01-01,33.8
1982-04-01,30.3
1982-07-01,32.3
1982-10-01,33.3
1983-01-01,33.8
1983-04-01,33.7
1983-07-01,33.7
1983-10-01,34.0
1984-01-01,33.3
1984-04-01,31.6
1984-07-01,34.1
1984-10-01,38.4
1985-01-01,36.7
1985-04-01,35.7
1985-07-01,36.8
1985-10-01,35.1
1986-01-01,31.5
1986-04-01,31.1
1986-07-01,27.5
1986-10-01,25.2
1987-01-01,26.0
1987-04-01,24.6
1987-07-01,28.3
1987-10-01,31.1
1988-01-01,30.4
1988-04-01,30.1
1988-07-01,31.5
1988-10-01,38.5
1989-01-01,34.5
1989-04-01,32.5
1989-07-01,30.5
1989-10-01,31.2
1990-01-01,33.7
1990-04-01,38.0
1990-07-01,42.7
1990-10-01,42.4
1991-01-01,44.0
1991-04-01,46.4
1991-07-01,50.9
1991-10-01,58.0
1992-01-01,61.7
1992-04-01,68.8
1992-07-01,75.8
1992-10-01,82.2
1993-01-01,91.2
1993-04-01,100.0
1993-07-01,104.5
1993-10-01,111.5
1994-01-01,121.1
1994-04-01,125.8
1994-07-01,129.3
1994-10-01,127.7
1995-01-01,130.9
1995-04-01,134.9
1995-07-01,139.0
1995-10-01,147.2
1996-01-01,152.9
1996-04-01,155.0
1996-07-01,157.0
1996-10-01,158.9
1997-01-01,158.1
1997-04-01,159.0
1997-07-01,161.8
1997-10-01,166.1
1998-01-01,170.9
1998-04-01,176.7
1998-07-01,182.2
1998-10-01,187.8
1999-01-01,190.5
1999-04-01,194.0
1999-07-01,194.0
1999-10-01,193.8
2000-01-01,194.7
2000-04-01,195.0
2000-07-01,197.7
2000-10-01,206.2
2001-01-01,212.9
2001-04-01,219.0
2001-07-01,221.8
2001-10-01,222.5
2002-01-01,226.8
2002-04-01,229.1
2002-07-01,228.6
2002-10-01,231.8
2003-01-01,239.2
2003-04-01,246.4
2003-07-01,252.5
2003-10-01,264.2
2004-01-01,267.9
2004-04-01,272.5
