DATE,VALUE
1947-01-01,0.2
1947-04-01,0.2
1947-07-01,0.2
1947-10-01,0.2
1948-01-01,0.2
1948-04-01,0.2
1948-07-01,0.2
1948-10-01,0.2
1949-01-01,0.2
1949-04-01,0.2
1949-07-01,0.2
1949-10-01,0.2
1950-01-01,0.2
1950-04-01,0.2
1950-07-01,0.2
1950-10-01,0.2
1951-01-01,0.3
1951-04-01,0.3
1951-07-01,0.3
1951-10-01,0.3
1952-01-01,0.3
1952-04-01,0.3
1952-07-01,0.3
1952-10-01,0.3
1953-01-01,0.3
1953-04-01,0.3
1953-07-01,0.3
1953-10-01,0.3
1954-01-01,0.3
1954-04-01,0.4
1954-07-01,0.4
1954-10-01,0.4
1955-01-01,0.4
1955-04-01,0.4
1955-07-01,0.4
1955-10-01,0.4
1956-01-01,0.4
1956-04-01,0.5
1956-07-01,0.5
1956-10-01,0.5
1957-01-01,0.5
1957-04-01,0.5
1957-07-01,0.5
1957-10-01,0.5
1958-01-01,0.6
1958-04-01,0.6
1958-07-01,0.6
1958-10-01,0.6
1959-01-01,0.6
1959-04-01,0.6
1959-07-01,0.7
1959-10-01,0.7
1960-01-01,0.7
1960-04-01,0.8
1960-07-01,0.7
1960-10-01,0.7
1961-01-01,0.8
1961-04-01,0.8
1961-07-01,0.8
1961-10-01,0.9
1962-01-01,0.9
1962-04-01,0.9
1962-07-01,0.9
1962-10-01,0.9
1963-01-01,0.9
1963-04-01,0.9
1963-07-01,1.0
1963-10-01,1.0
1964-01-01,1.0
1964-04-01,1.1
1964-07-01,1.0
1964-10-01,1.0
1965-01-01,1.1
1965-04-01,1.1
1965-07-01,1.1
1965-10-01,1.1
1966-01-01,1.2
1966-04-01,1.2
1966-07-01,1.3
1966-10-01,1.2
1967-01-01,1.2
1967-04-01,1.2
1967-07-01,1.3
1967-10-01,1.5
1968-01-01,1.4
1968-04-01,1.5
1968-07-01,1.5
1968-10-01,1.6
1969-01-01,1.6
1969-04-01,1.6
1969-07-01,1.7
1969-10-01,1.7
1970-01-01,1.8
1970-04-01,1.9
1970-07-01,2.0
1970-10-01,2.1
1971-01-01,2.2
1971-04-01,2.3
1971-07-01,2.4
