DATE,VALUE
1929-01-01,0.0
1930-01-01,0.0
1931-01-01,0.0
1932-01-01,0.0
1933-01-01,0.0
1934-01-01,0.0
1935-01-01,0.0
1936-01-01,0.0
1937-01-01,0.0
1938-01-01,0.0
1939-01-01,0.0
1940-01-01,0.0
1941-01-01,0.0
1942-01-01,0.0
1943-01-01,0.0
1944-01-01,0.0
1945-01-01,0.0
1946-01-01,0.0
1947-01-01,0.0
1948-01-01,0.0
1949-01-01,0.0
1950-01-01,0.0
1951-01-01,0.0
1952-01-01,0.0
1953-01-01,0.0
1954-01-01,0.0
1955-01-01,0.0
1956-01-01,0.0
1957-01-01,0.0
1958-01-01,0.0
1959-01-01,0.0
1960-01-01,0.0
1961-01-01,0.0
1962-01-01,0.1
1963-01-01,0.1
1964-01-01,0.2
1965-01-01,0.2
1966-01-01,0.3
1967-01-01,0.4
1968-01-01,0.6
1969-01-01,0.7
1970-01-01,0.9
1971-01-01,1.1
1972-01-01,1.4
1973-01-01,1.7
1974-01-01,2.1
1975-01-01,2.6
1976-01-01,3.1
1977-01-01,3.6
1978-01-01,3.9
1979-01-01,4.6
1980-01-01,5.4
1981-01-01,6.3
1982-01-01,7.6
1983-01-01,9.2
1984-01-01,11.1
1985-01-01,13.3
1986-01-01,15.7
1987-01-01,18.0
1988-01-01,20.6
1989-01-01,23.9
1990-01-01,28.0
1991-01-01,32.7
1992-01-01,37.5
1993-01-01,42.1
1994-01-01,46.4
1995-01-01,50.7
1996-01-01,55.4
1997-01-01,62.2
1998-01-01,71.8
1999-01-01,84.3
2000-01-01,99.4
2001-01-01,113.9
2002-01-01,124.1
2003-01-01,130.6
2004-01-01,135.6
2005-01-01,139.3
2006-01-01,143.3
2007-01-01,149.8
2008-01-01,158.2
2009-01-01,166.0
