DATE,VALUE
1947-01-01,144.5
1947-04-01,143.2
1947-07-01,141.3
1947-10-01,139.5
1948-01-01,139.9
1948-04-01,142.1
1948-07-01,144.4
1948-10-01,146.3
1949-01-01,146.0
1949-04-01,145.1
1949-07-01,144.4
1949-10-01,144.2
1950-01-01,143.9
1950-04-01,143.2
1950-07-01,143.4
1950-10-01,143.8
1951-01-01,144.5
1951-04-01,145.2
1951-07-01,145.7
1951-10-01,146.2
1952-01-01,146.9
1952-04-01,147.9
1952-07-01,149.2
1952-10-01,149.6
1953-01-01,150.3
1953-04-01,150.3
1953-07-01,150.8
1953-10-01,151.8
1954-01-01,152.5
1954-04-01,152.6
1954-07-01,152.8
1954-10-01,152.4
1955-01-01,151.9
1955-04-01,151.3
1955-07-01,150.7
1955-10-01,150.3
1956-01-01,149.5
1956-04-01,148.5
1956-07-01,147.6
1956-10-01,146.7
1957-01-01,146.4
1957-04-01,146.3
1957-07-01,146.9
1957-10-01,147.2
1958-01-01,149.3
1958-04-01,151.3
1958-07-01,153.0
1958-10-01,153.7
1959-01-01,152.7
1959-04-01,151.2
1959-07-01,149.7
1959-10-01,148.4
1960-01-01,148.5
1960-04-01,149.0
1960-07-01,149.9
1960-10-01,150.4
1961-01-01,151.0
1961-04-01,151.7
1961-07-01,152.4
1961-10-01,153.2
1962-01-01,153.9
1962-04-01,154.1
1962-07-01,154.5
1962-10-01,155.2
1963-01-01,157.3
1963-04-01,157.5
1963-07-01,157.0
1963-10-01,156.8
1964-01-01,155.7
1964-04-01,154.5
1964-07-01,153.3
1964-10-01,152.4
1965-01-01,152.7
1965-04-01,153.5
1965-07-01,154.4
1965-10-01,155.3
1966-01-01,155.6
1966-04-01,154.8
1966-07-01,154.3
1966-10-01,153.7
1967-01-01,154.8
1967-04-01,156.8
1967-07-01,157.2
1967-10-01,156.5
1968-01-01,158.6
1968-04-01,162.2
1968-07-01,162.5
1968-10-01,161.2
1969-01-01,162.1
1969-04-01,163.2
1969-07-01,162.6
1969-10-01,161.2
1970-01-01,162.0
1970-04-01,162.4
1970-07-01,161.2
1970-10-01,158.5
1971-01-01,160.3
1971-04-01,163.2
1971-07-01,164.7
1971-10-01,163.1
1972-01-01,163.2
1972-04-01,164.8
1972-07-01,165.4
1972-10-01,163.6
1973-01-01,161.1
1973-04-01,164.0
1973-07-01,165.1
1973-10-01,165.6
1974-01-01,164.2
1974-04-01,164.2
1974-07-01,164.4
1974-10-01,160.7
1975-01-01,164.9
1975-04-01,166.4
1975-07-01,166.4
1975-10-01,167.2
1976-01-01,167.1
1976-04-01,166.6
1976-07-01,167.8
1976-10-01,165.4
1977-01-01,164.1
1977-04-01,167.1
1977-07-01,171.3
1977-10-01,173.5
1978-01-01,172.7
1978-04-01,172.8
1978-07-01,175.7
1978-10-01,175.9
1979-01-01,177.6
1979-04-01,179.1
1979-07-01,180.9
1979-10-01,180.7
1980-01-01,179.8
1980-04-01,178.1
1980-07-01,174.3
1980-10-01,172.6
1981-01-01,175.5
1981-04-01,178.5
1981-07-01,182.5
1981-10-01,183.9
1982-01-01,185.7
1982-04-01,187.6
1982-07-01,190.8
1982-10-01,192.4
1983-01-01,189.3
1983-04-01,185.5
1983-07-01,175.6
1983-10-01,172.7
1984-01-01,174.8
1984-04-01,176.6
1984-07-01,178.8
1984-10-01,179.8
1985-01-01,182.2
1985-04-01,183.5
1985-07-01,186.1
1985-10-01,187.8
1986-01-01,188.1
1986-04-01,186.4
1986-07-01,185.3
1986-10-01,185.2
1987-01-01,182.5
1987-04-01,178.6
