DATE,VALUE
1929-01-01,31.8
1930-01-01,28.4
1931-01-01,23.2
1932-01-01,17.1
1933-01-01,16.3
1934-01-01,19.3
1935-01-01,21.2
1936-01-01,24.1
1937-01-01,27.6
1938-01-01,24.2
1939-01-01,26.6
1940-01-01,29.5
1941-01-01,37.8
1942-01-01,48.6
1943-01-01,59.3
1944-01-01,61.8
1945-01-01,58.6
1946-01-01,63.6
1947-01-01,74.8
1948-01-01,83.4
1949-01-01,80.7
1950-01-01,88.9
1951-01-01,103.1
1952-01-01,110.5
1953-01-01,120.4
1954-01-01,117.7
1955-01-01,128.5
1956-01-01,140.1
1957-01-01,146.5
1958-01-01,143.3
1959-01-01,156.9
1960-01-01,165.1
1961-01-01,168.6
1962-01-01,181.2
1963-01-01,190.6
1964-01-01,204.5
1965-01-01,222.2
1966-01-01,245.2
1967-01-01,261.6
1968-01-01,288.1
1969-01-01,318.8
1970-01-01,334.9
1971-01-01,353.5
1972-01-01,389.9
1973-01-01,437.3
1974-01-01,478.5
1975-01-01,495.1
1976-01-01,554.6
1977-01-01,621.6
1978-01-01,709.0
1979-01-01,802.5
1980-01-01,874.7
1981-01-01,964.3
1982-01-01,995.0
1983-01-01,1044.7
1984-01-01,1160.1
1985-01-01,1243.0
1986-01-01,1307.3
1987-01-01,1397.0
1988-01-01,1514.9
1989-01-01,1600.1
1990-01-01,1682.9
1991-01-01,1701.7
1992-01-01,1783.9
1993-01-01,1845.5
1994-01-01,1952.8
1995-01-01,2076.9
1996-01-01,2206.9
1997-01-01,2384.2
1998-01-01,2582.6
1999-01-01,2771.1
2000-01-01,3008.4
2001-01-01,2993.8
2002-01-01,2939.0
2003-01-01,2962.2
2004-01-01,3099.9
2005-01-01,3238.0
2006-01-01,3420.9
2007-01-01,3572.1
2008-01-01,3619.5
2009-01-01,3377.5
2010-01-01,3446.1
2011-01-01,3622.9
2012-01-01,3826.4
2013-01-01,3955.2
2014-01-01,4181.3
2015-01-01,4412.3
