DATE,VALUE
1968-01-01,0.13
1969-01-01,0.34
1970-01-01,0.31
1971-01-01,0.17
1972-01-01,0.3
1973-01-01,0.57
1974-01-01,0.3
1975-01-01,0.26
1976-01-01,0.48
1977-01-01,0.01
1978-01-01,0.29
1979-01-01,0.27
1980-01-01,0.43
1981-01-01,0.4
1982-01-01,-0.47
1983-01-01,-0.69
1984-01-01,1.98
1985-01-01,-0.06
1986-01-01,0.69
1987-01-01,0.66
1988-01-01,1.33
1989-01-01,1.3
1990-01-01,0.94
1991-01-01,0.48
1992-01-01,0.9
1993-01-01,0.42
1994-01-01,0.04
1995-01-01,0.58
1996-01-01,0.6
1997-01-01,0.23
1998-01-01,-0.31
1999-01-01,0.2
2000-01-01,0.41
2001-01-01,-0.98
2002-01-01,-0.46
2003-01-01,-0.35
2004-01-01,0.74
2005-01-01,-0.45
2006-01-01,0.03
2007-01-01,0.53
2008-01-01,0.5
2009-01-01,-0.66
2010-01-01,0.39
2011-01-01,0.35
2012-01-01,0.35
2013-01-01,0.42
