DATE,VALUE
1972-01-01,15.381
1973-01-01,11.788
1974-01-01,11.945
1975-01-01,9.759
1976-01-01,13.997
1977-01-01,17.144
1978-01-01,20.839
1979-01-01,21.927
1980-01-01,24.102
1981-01-01,16.344
1982-01-01,25.687
1983-01-01,43.857
1984-01-01,58.382
1985-01-01,53.082
1986-01-01,57.689
1987-01-01,60.026
1988-01-01,51.237
1989-01-01,42.943
1990-01-01,42.807
1991-01-01,45.124
1992-01-01,35.295
1993-01-01,22.446
1994-01-01,12.037
1995-01-01,12.521
1996-01-01,13.543
1997-01-01,15.647
1998-01-01,17.418
1999-01-01,19.392
2000-01-01,21.581
2001-01-01,23.091
2002-01-01,31.309
2003-01-01,37.106
2004-01-01,32.887
2005-01-01,45.255
2006-01-01,58.075
2007-01-01,70.419
2008-01-01,103.65
2009-01-01,100.0
2010-01-01,103.438
2011-01-01,76.269
2012-01-01,59.532
2013-01-01,39.901
2014-01-01,29.88
2015-01-01,23.063
