DATE,VALUE
1967-04-01,-2.8
1967-07-01,-3.5
1967-10-01,26.8
1968-01-01,44.9
1968-04-01,-31.6
1968-07-01,-5.0
1968-10-01,13.1
1969-01-01,79.9
1969-04-01,-17.8
1969-07-01,2.1
1969-10-01,55.4
1970-01-01,-37.4
1970-04-01,24.5
1970-07-01,-26.9
1970-10-01,2.6
1971-01-01,-7.1
1971-04-01,-6.1
1971-07-01,43.0
1971-10-01,30.6
1972-01-01,8.3
1972-04-01,21.3
1972-07-01,-18.6
1972-10-01,69.8
1973-01-01,84.7
1973-04-01,-21.7
1973-07-01,-6.8
1973-10-01,57.2
1974-01-01,44.2
1974-04-01,-18.6
1974-07-01,-20.7
1974-10-01,-12.4
1975-01-01,240.6
1975-04-01,1.5
1975-07-01,-59.0
1975-10-01,49.1
1976-01-01,47.6
1976-04-01,-9.3
1976-07-01,-54.0
1976-10-01,14.0
1977-01-01,38.9
1977-04-01,-29.0
1977-07-01,-3.8
1977-10-01,78.6
1978-01-01,68.3
1978-04-01,-24.5
1978-07-01,7.1
1978-10-01,8.0
1979-01-01,48.3
1979-04-01,-2.6
1979-07-01,-17.5
1979-10-01,60.1
1980-01-01,-62.6
1980-04-01,-63.8
1980-07-01,-33.8
1980-10-01,1395.7
1981-01-01,-60.7
1981-04-01,-93.4
1981-07-01,499.4
1981-10-01,-14.7
1982-01-01,-31.3
1982-04-01,14.2
1982-07-01,-6.7
1982-10-01,23.4
1983-01-01,-10.5
1983-04-01,42.6
1983-07-01,17.1
1983-10-01,55.7
1984-01-01,2.0
1984-04-01,-11.0
1984-07-01,59.7
1984-10-01,14.3
1985-01-01,-40.3
1985-04-01,-7.6
1985-07-01,53.6
1985-10-01,-25.4
1986-01-01,47.4
1986-04-01,49.9
1986-07-01,-3.6
1986-10-01,-18.1
1987-01-01,54.4
1987-04-01,106.4
1987-07-01,-11.5
1987-10-01,60.5
1988-01-01,81.0
1988-04-01,14.2
1988-07-01,13.4
1988-10-01,-4.7
1989-01-01,-29.6
1989-04-01,11.4
1989-07-01,-36.9
1989-10-01,78.9
1990-01-01,28.6
1990-04-01,-15.1
1990-07-01,51.1
1990-10-01,50.8
1991-01-01,5.6
1991-04-01,58.2
1991-07-01,8.2
1991-10-01,-15.4
1992-01-01,229.2
1992-04-01,-56.8
1992-07-01,193.8
1992-10-01,-67.9
1993-01-01,0.1
1993-04-01,43.5
1993-07-01,12.4
1993-10-01,7.5
1994-01-01,110.2
1994-04-01,-57.1
1994-07-01,33.6
1994-10-01,24.3
1995-01-01,13.9
1995-04-01,20.6
1995-07-01,29.6
1995-10-01,35.6
1996-01-01,-26.3
1996-04-01,2.4
1996-07-01,149.6
1996-10-01,-49.7
1997-01-01,63.7
1997-04-01,-4.8
1997-07-01,52.4
1997-10-01,-17.0
1998-01-01,87.5
1998-04-01,-10.6
1998-07-01,28.0
1998-10-01,25.6
1999-01-01,17.6
1999-04-01,15.7
1999-07-01,6.5
1999-10-01,20.5
2000-01-01,29.0
2000-04-01,6.6
2000-07-01,105.4
2000-10-01,-31.1
2001-01-01,-13.6
2001-04-01,-6.9
2001-07-01,0.7
2001-10-01,19.2
2002-01-01,69.7
2002-04-01,-13.5
2002-07-01,23.1
2002-10-01,-25.5
2003-01-01,-18.1
2003-04-01,11.3
2003-07-01,27.0
2003-10-01,4.6
2004-01-01,17.7
2004-04-01,22.1
2004-07-01,58.5
2004-10-01,-8.0
2005-01-01,-21.9
2005-04-01,26.7
2005-07-01,18.5
2005-10-01,-23.0
2006-01-01,-12.9
2006-04-01,-24.4
2006-07-01,-11.0
2006-10-01,148.1
2007-01-01,-35.4
2007-04-01,-1.9
2007-07-01,-3.6
2007-10-01,16.8
2008-01-01,18.0
2008-04-01,-10.9
2008-07-01,61.2
2008-10-01,-31.6
2009-01-01,21.5
2009-04-01,6.0
2009-07-01,-3.2
2009-10-01,40.1
2010-01-01,4.3
2010-04-01,-38.9
2010-07-01,26.9
2010-10-01,22.8
2011-01-01,7.3
2011-04-01,-13.6
2011-07-01,40.3
2011-10-01,14.3
2012-01-01,-16.5
2012-04-01,17.0
2012-07-01,6.6
2012-10-01,3.4
2013-01-01,-8.0
2013-04-01,-7.6
2013-07-01,-13.1
2013-10-01,39.2
2014-01-01,12.3
2014-04-01,-8.5
2014-07-01,10.4
2014-10-01,2.6
2015-01-01,-35.3
2015-04-01,11.5
2015-07-01,-1.2
2015-10-01,12.4
2016-01-01,-4.8
2016-04-01,-6.2
