DATE,VALUE
1983-01-01,0.05
1984-01-01,0.05
1985-01-01,0.05
1986-01-01,-0.57
1987-01-01,0.05
1988-01-01,0.03
1989-01-01,0.21
1990-01-01,0.3
1991-01-01,0.01
1992-01-01,0.02
1993-01-01,0.03
1994-01-01,0.01
1995-01-01,0.03
1996-01-01,0.15
1997-01-01,0.03
1998-01-01,-0.27
1999-01-01,0.11
2000-01-01,0.48
2001-01-01,0.07
2002-01-01,-0.17
2003-01-01,0.34
2004-01-01,0.34
2005-01-01,0.53
2006-01-01,0.38
2007-01-01,0.22
2008-01-01,0.52
2009-01-01,-0.79
2010-01-01,0.35
2011-01-01,0.56
2012-01-01,0.05
2013-01-01,-0.04
2014-01-01,-0.03
2015-01-01,-0.63
