DATE,VALUE
1947-01-01,35.832
1947-04-01,33.91
1947-07-01,34.23
1947-10-01,34.877
1948-01-01,33.509
1948-04-01,32.196
1948-07-01,32.053
1948-10-01,32.909
1949-01-01,33.058
1949-04-01,32.976
1949-07-01,32.766
1949-10-01,31.077
1950-01-01,31.221
1950-04-01,31.6
1950-07-01,33.103
1950-10-01,38.261
1951-01-01,46.326
1951-04-01,54.699
1951-07-01,63.325
1951-10-01,65.604
1952-01-01,68.922
1952-04-01,73.276
1952-07-01,74.577
1952-10-01,75.693
1953-01-01,76.288
1953-04-01,75.564
1953-07-01,75.084
1953-10-01,75.712
1954-01-01,69.27
1954-04-01,66.597
1954-07-01,65.263
1954-10-01,62.965
1955-01-01,63.443
1955-04-01,60.471
1955-07-01,62.264
1955-10-01,60.456
1956-01-01,60.037
1956-04-01,61.686
1956-07-01,60.485
1956-10-01,61.93
1957-01-01,62.845
1957-04-01,64.229
1957-07-01,64.217
1957-10-01,63.511
1958-01-01,62.817
1958-04-01,63.196
1958-07-01,62.883
1958-10-01,62.465
1959-01-01,57.63
1959-04-01,56.423
1959-07-01,57.209
1959-10-01,57.416
1960-01-01,56.562
1960-04-01,57.047
1960-07-01,58.402
1960-10-01,57.927
1961-01-01,57.834
1961-04-01,57.869
1961-07-01,59.464
1961-10-01,60.898
1962-01-01,63.382
1962-04-01,63.152
1962-07-01,64.214
1962-10-01,65.131
1963-01-01,63.365
1963-04-01,63.212
1963-07-01,65.522
1963-10-01,64.908
1964-01-01,63.524
1964-04-01,63.059
1964-07-01,63.215
1964-10-01,62.278
1965-01-01,61.779
1965-04-01,62.402
1965-07-01,64.376
1965-10-01,67.24
1966-01-01,68.413
1966-04-01,71.323
1966-07-01,74.467
1966-10-01,76.06
1967-01-01,80.411
1967-04-01,81.554
1967-07-01,82.364
1967-10-01,82.456
1968-01-01,85.886
1968-04-01,86.249
1968-07-01,84.769
1968-10-01,84.771
1969-01-01,82.217
1969-04-01,83.022
1969-07-01,82.199
1969-10-01,82.391
1970-01-01,78.664
1970-04-01,75.615
1970-07-01,74.925
1970-10-01,73.995
1971-01-01,73.141
1971-04-01,70.78
1971-07-01,68.487
1971-10-01,68.0
1972-01-01,67.713
1972-04-01,67.448
1972-07-01,64.129
1972-10-01,63.431
1973-01-01,62.802
1973-04-01,62.284
1973-07-01,59.499
1973-10-01,60.061
1974-01-01,59.98
1974-04-01,60.685
1974-07-01,58.577
1974-10-01,58.782
1975-01-01,58.513
1975-04-01,58.524
1975-07-01,58.086
1975-10-01,57.968
1976-01-01,57.156
1976-04-01,57.824
1976-07-01,56.637
1976-10-01,56.577
1977-01-01,56.839
1977-04-01,57.628
1977-07-01,58.094
1977-10-01,57.006
1978-01-01,57.533
1978-04-01,58.153
1978-07-01,58.171
1978-10-01,57.423
1979-01-01,58.135
1979-04-01,59.276
1979-07-01,57.524
1979-10-01,58.412
1980-01-01,59.359
1980-04-01,60.105
1980-07-01,60.212
1980-10-01,60.462
1981-01-01,61.942
1981-04-01,63.104
1981-07-01,62.919
1981-10-01,64.127
1982-01-01,65.052
1982-04-01,65.834
1982-07-01,67.307
1982-10-01,67.898
1983-01-01,68.364
1983-04-01,69.865
1983-07-01,69.626
1983-10-01,70.283
1984-01-01,70.61
1984-04-01,71.334
1984-07-01,71.169
1984-10-01,72.02
1985-01-01,72.87
1985-04-01,73.976
1985-07-01,76.499
1985-10-01,76.892
1986-01-01,76.905
1986-04-01,79.798
1986-07-01,81.129
1986-10-01,78.429
1987-01-01,80.252
1987-04-01,81.769
1987-07-01,82.489
1987-10-01,83.13
1988-01-01,83.513
1988-04-01,83.414
1988-07-01,82.907
1988-10-01,85.36
1989-01-01,82.171
1989-04-01,85.135
1989-07-01,84.958
1989-10-01,85.028
1990-01-01,85.591
1990-04-01,85.061
1990-07-01,83.033
1990-10-01,84.94
1991-01-01,87.624
1991-04-01,87.339
1991-07-01,85.608
1991-10-01,83.23
1992-01-01,82.025
1992-04-01,81.721
1992-07-01,83.261
1992-10-01,82.561
1993-01-01,79.984
1993-04-01,79.317
1993-07-01,79.813
1993-10-01,79.393
1994-01-01,75.975
1994-04-01,75.924
1994-07-01,78.044
1994-10-01,74.578
1995-01-01,73.644
1995-04-01,74.076
1995-07-01,73.518
1995-10-01,71.204
1996-01-01,70.655
1996-04-01,72.635
1996-07-01,71.886
1996-10-01,72.14
1997-01-01,69.661
1997-04-01,72.045
1997-07-01,70.441
1997-10-01,70.949
1998-01-01,66.858
1998-04-01,69.422
1998-07-01,69.52
1998-10-01,69.601
1999-01-01,68.519
1999-04-01,68.6
1999-07-01,70.369
1999-10-01,72.552
2000-01-01,67.206
2000-04-01,70.94
2000-07-01,68.941
2000-10-01,68.967
2001-01-01,70.152
2001-04-01,70.826
2001-07-01,71.334
2001-10-01,71.63
2002-01-01,73.358
2002-04-01,74.288
2002-07-01,74.938
2002-10-01,76.76
2003-01-01,76.315
2003-04-01,82.384
2003-07-01,80.66
2003-10-01,83.253
2004-01-01,83.799
2004-04-01,84.386
2004-07-01,86.609
2004-10-01,84.322
2005-01-01,85.346
2005-04-01,85.543
2005-07-01,87.439
2005-10-01,84.555
2006-01-01,86.325
2006-04-01,86.145
2006-07-01,86.022
2006-10-01,87.817
2007-01-01,85.774
2007-04-01,86.988
2007-07-01,89.477
2007-10-01,89.616
2008-01-01,91.162
2008-04-01,91.657
2008-07-01,95.979
