DATE,VALUE
1988-01-01,856.0
1988-02-01,2061.0
1988-03-01,1715.0
1988-04-01,1618.0
1988-05-01,1260.0
1988-06-01,1384.0
1988-07-01,1739.0
1988-08-01,1429.0
1988-09-01,1603.0
1988-10-01,1658.0
1988-11-01,1554.0
1988-12-01,1233.0
1989-01-01,1226.0
1989-02-01,1200.0
1989-03-01,1301.0
1989-04-01,1296.0
1989-05-01,1306.0
1989-06-01,1681.0
1989-07-01,1266.0
1989-08-01,1553.0
1989-09-01,1908.0
1989-10-01,1308.0
1989-11-01,1408.0
1989-12-01,1537.0
1990-01-01,1986.0
1990-02-01,1312.0
1990-03-01,1174.0
1990-04-01,793.0
1990-05-01,1107.0
1990-06-01,1138.0
1990-07-01,1424.0
1990-08-01,790.0
1990-09-01,669.0
1990-10-01,1009.0
1990-11-01,993.0
1990-12-01,738.0
1991-01-01,489.0
1991-02-01,895.0
1991-03-01,901.0
1991-04-01,1048.0
1991-05-01,1224.0
1991-06-01,766.0
1991-07-01,895.0
1991-08-01,1030.0
1991-09-01,916.0
1991-10-01,892.0
1991-11-01,1022.0
1991-12-01,844.0
1992-01-01,1179.0
1992-02-01,995.0
1992-03-01,1198.0
1992-04-01,1367.0
1992-05-01,1227.0
1992-06-01,2650.0
1992-07-01,859.0
1992-08-01,645.0
1992-09-01,996.0
1992-10-01,847.0
1992-11-01,880.0
1992-12-01,1227.0
1993-01-01,1125.0
1993-02-01,1081.0
1993-03-01,876.0
1993-04-01,835.0
1993-05-01,948.0
1993-06-01,983.0
1993-07-01,1208.0
1993-08-01,1147.0
1993-09-01,1122.0
1993-10-01,1146.0
1993-11-01,1129.0
1993-12-01,1371.0
1994-01-01,787.0
1994-02-01,1049.0
1994-03-01,1082.0
1994-04-01,1198.0
1994-05-01,1004.0
1994-06-01,1019.0
1994-07-01,1064.0
1994-08-01,1188.0
1994-09-01,1169.0
1994-10-01,1059.0
1994-11-01,858.0
1994-12-01,1015.0
1995-01-01,852.0
1995-02-01,943.0
1995-03-01,936.0
1995-04-01,871.0
1995-05-01,1104.0
1995-06-01,863.0
1995-07-01,803.0
1995-08-01,876.0
1995-09-01,861.0
1995-10-01,1035.0
1995-11-01,1281.0
1995-12-01,800.0
1996-01-01,926.0
1996-02-01,905.0
1996-03-01,1031.0
1996-04-01,1062.0
1996-05-01,939.0
1996-06-01,904.0
