DATE,VALUE
1960-01-01,-0.059
1960-04-01,-0.057
1960-07-01,-0.098
1960-10-01,-0.059
1961-01-01,-0.086
1961-04-01,-0.07
1961-07-01,-0.137
1961-10-01,-0.08
1962-01-01,-0.083
1962-04-01,-0.06
1962-07-01,-0.127
1962-10-01,-0.078
1963-01-01,-0.077
1963-04-01,-0.069
1963-07-01,-0.121
1963-10-01,-0.072
1964-01-01,-0.106
1964-04-01,-0.068
1964-07-01,-0.128
1964-10-01,-0.097
1965-01-01,-0.086
1965-04-01,-0.138
1965-07-01,-0.138
1965-10-01,-0.101
1966-01-01,-0.106
1966-04-01,-0.084
1966-07-01,-0.191
1966-10-01,-0.118
1967-01-01,-0.113
1967-04-01,-0.103
1967-07-01,-0.223
1967-10-01,-0.132
1968-01-01,-0.106
1968-04-01,-0.088
1968-07-01,-0.183
1968-10-01,-0.16
1969-01-01,-0.111
1969-04-01,-0.103
1969-07-01,-0.165
1969-10-01,-0.157
1970-01-01,-0.119
1970-04-01,-0.122
1970-07-01,-0.189
1970-10-01,-0.18
1971-01-01,-0.133
1971-04-01,-0.151
1971-07-01,-0.22
1971-10-01,-0.192
1972-01-01,-0.16
1972-04-01,-0.167
1972-07-01,-0.217
1972-10-01,-0.227
1973-01-01,-0.186
1973-04-01,-0.188
1973-07-01,-0.301
1973-10-01,-0.241
1974-01-01,-0.128
1974-04-01,-0.218
1974-07-01,-0.366
1974-10-01,-0.227
1975-01-01,-0.219
1975-04-01,-0.209
1975-07-01,-0.304
1975-10-01,-0.336
1976-01-01,-0.273
1976-04-01,-0.247
1976-07-01,-0.413
1976-10-01,-0.318
1977-01-01,-0.38
1977-04-01,-0.322
1977-07-01,-0.332
1977-10-01,-0.343
1978-01-01,-0.369
1978-04-01,-0.379
1978-07-01,-0.351
1978-10-01,-0.434
1979-01-01,-0.334
1979-04-01,-0.313
1979-07-01,-0.566
1979-10-01,-0.446
1980-01-01,-0.436
1980-04-01,-0.445
1980-07-01,-0.468
1980-10-01,-0.469
1981-01-01,-0.496
1981-04-01,-0.448
1981-07-01,-0.455
1981-10-01,-0.643
1982-01-01,-0.453
1982-04-01,-0.467
1982-07-01,-0.595
1982-10-01,-0.736
1983-01-01,-0.485
1983-04-01,-0.45
1983-07-01,-0.445
1983-10-01,-0.827
1984-01-01,-0.47
1984-04-01,-0.445
1984-07-01,-0.45
1984-10-01,-0.795
1985-01-01,-0.484
1985-04-01,-0.416
1985-07-01,-0.459
1985-10-01,-0.779
1986-01-01,-0.497
1986-04-01,-0.553
1986-07-01,-0.482
1986-10-01,-0.839
1987-01-01,-0.543
1987-04-01,-0.506
1987-07-01,-0.574
1987-10-01,-0.786
1988-01-01,-0.552
1988-04-01,-0.644
1988-07-01,-0.588
1988-10-01,-0.924
1989-01-01,-0.659
1989-04-01,-0.552
1989-07-01,-0.652
1989-10-01,-0.912
1990-01-01,-0.721
1990-04-01,-0.655
1990-07-01,-0.739
1990-10-01,-1.109
1991-01-01,-0.773
1991-04-01,-0.68
1991-07-01,-0.774
1991-10-01,-1.548
1992-01-01,-0.722
1992-04-01,-1.008
1992-07-01,-0.892
1992-10-01,-1.421
1993-01-01,-0.598
1993-04-01,-1.036
1993-07-01,-0.813
1993-10-01,-1.657
1994-01-01,-0.845
1994-04-01,-0.747
1994-07-01,-1.257
1994-10-01,-1.707
1995-01-01,-0.713
1995-04-01,-0.816
1995-07-01,-0.91
1995-10-01,-1.012
1996-01-01,-1.01
1996-04-01,-0.744
1996-07-01,-1.229
1996-10-01,-1.483
1997-01-01,-1.08
1997-04-01,-0.852
1997-07-01,-0.9
1997-10-01,-1.359
1998-01-01,-1.026
1998-04-01,-0.919
1998-07-01,-0.815
1998-10-01,-1.545
1999-01-01,-0.894
1999-04-01,0.04
1999-07-01,-0.857
1999-10-01,-1.641
2000-01-01,-1.087
2000-04-01,-0.885
2000-07-01,-0.941
2000-10-01,-1.682
2001-01-01,-1.102
2001-04-01,-0.735
2001-07-01,-1.027
2001-10-01,-2.67
2002-01-01,-1.33
2002-04-01,-1.005
2002-07-01,-0.923
2002-10-01,-1.827
2003-01-01,-1.025
2003-04-01,-1.208
2003-07-01,-1.146
2003-10-01,-1.899
2004-01-01,-1.392
2004-04-01,-1.14
2004-07-01,-1.322
2004-10-01,-2.144
2005-01-01,-1.071
2005-04-01,-1.264
2005-07-01,-1.909
2005-10-01,-1.005
2006-01-01,-1.656
2006-04-01,-1.154
2006-07-01,-1.465
2006-10-01,-1.998
2007-01-01,-1.52
2007-04-01,-1.777
2007-07-01,-0.66
2007-10-01,-2.737
2008-01-01,-1.603
2008-04-01,-1.872
2008-07-01,-1.034
2008-10-01,-1.816
2009-01-01,-0.373
2009-04-01,-1.578
2009-07-01,-2.684
2009-10-01,-1.954
2010-01-01,-1.95
2010-04-01,-0.553
2010-07-01,-2.336
2010-10-01,-1.806
2011-01-01,-1.844
2011-04-01,-1.077
2011-07-01,-2.779
2011-10-01,-2.138
2012-01-01,-1.239
2012-04-01,-1.048
2012-07-01,-1.955
2012-10-01,0.549
2013-01-01,0.005
2013-04-01,-0.966
2013-07-01,-2.041
2013-10-01,0.532
2014-01-01,0.756
