DATE,VALUE
1981-01-01,55281.0
1981-02-01,57026.0
1981-03-01,57945.0
1981-04-01,57468.0
1981-05-01,56113.0
1981-06-01,54491.0
1981-07-01,52211.0
1981-08-01,50657.0
1981-09-01,49205.0
1981-10-01,47801.0
1981-11-01,46982.0
1981-12-01,47981.0
1982-01-01,48949.0
1982-02-01,50165.0
1982-03-01,50860.0
1982-04-01,50223.0
1982-05-01,48152.0
1982-06-01,47546.0
1982-07-01,46344.0
1982-08-01,45648.0
1982-09-01,45198.0
1982-10-01,44946.0
1982-11-01,44611.0
1982-12-01,46468.0
1983-01-01,47630.0
1983-02-01,49970.0
1983-03-01,51120.0
1983-04-01,49238.0
1983-05-01,47610.0
1983-06-01,45783.0
1983-07-01,43346.0
1983-08-01,42099.0
1983-09-01,40611.0
1983-10-01,39339.0
1983-11-01,38541.0
1983-12-01,37991.0
1984-01-01,37960.0
1984-02-01,37491.0
1984-03-01,36440.0
1984-04-01,35030.0
1984-05-01,33979.0
1984-06-01,32216.0
1984-07-01,31164.0
1984-08-01,30580.0
1984-09-01,29294.0
1984-10-01,28625.0
1984-11-01,28763.0
1984-12-01,28731.0
1985-01-01,29169.0
1985-02-01,29761.0
1985-03-01,29978.0
1985-04-01,29569.0
1985-05-01,28853.0
1985-06-01,27274.0
1985-07-01,26876.0
1985-08-01,26494.0
1985-09-01,25621.0
1985-10-01,25272.0
1985-11-01,24741.0
1985-12-01,24549.0
1986-01-01,24815.0
1986-02-01,24675.0
1986-03-01,24668.0
1986-04-01,24559.0
1986-05-01,23790.0
1986-06-01,22959.0
1986-07-01,22459.0
1986-08-01,21853.0
1986-09-01,21287.0
1986-10-01,21080.0
1986-11-01,20580.0
1986-12-01,20669.0
1987-01-01,20328.0
1987-02-01,20511.0
1987-03-01,20907.0
1987-04-01,20276.0
1987-05-01,19718.0
1987-06-01,18997.0
1987-07-01,18552.0
1987-08-01,18354.0
1987-09-01,17988.0
1987-10-01,17949.0
1987-11-01,17750.0
1987-12-01,17728.0
1988-01-01,17976.0
1988-02-01,18792.0
1988-03-01,19165.0
1988-04-01,18832.0
1988-05-01,18626.0
1988-06-01,18659.0
1988-07-01,18550.0
1988-08-01,18881.0
1988-09-01,18979.0
1988-10-01,18851.0
1988-11-01,19254.0
1988-12-01,20037.0
1989-01-01,21170.0
1989-02-01,22066.0
1989-03-01,23227.0
1989-04-01,23016.0
1989-05-01,23095.0
1989-06-01,22602.0
1989-07-01,22687.0
1989-08-01,23222.0
1989-09-01,23168.0
1989-10-01,23594.0
1989-11-01,24615.0
1989-12-01,26505.0
1990-01-01,28517.0
1990-02-01,29712.0
1990-03-01,31802.0
1990-04-01,33092.0
1990-05-01,33568.0
1990-06-01,33583.0
1990-07-01,33773.0
1990-08-01,34413.0
1990-09-01,34596.0
1990-10-01,36295.0
1990-11-01,38180.0
1990-12-01,40372.0
1991-01-01,44863.0
1991-02-01,47075.0
1991-03-01,49760.0
1991-04-01,51139.0
1991-05-01,51423.0
1991-06-01,50446.0
1991-07-01,50587.0
1991-08-01,50714.0
1991-09-01,50961.0
1991-10-01,51893.0
1991-11-01,53012.0
1991-12-01,54950.0
1992-01-01,58128.0
1992-02-01,59712.0
1992-03-01,61309.0
1992-04-01,61385.0
1992-05-01,60423.0
1992-06-01,59457.0
1992-07-01,57940.0
1992-08-01,57302.0
1992-09-01,56940.0
1992-10-01,56994.0
1992-11-01,57615.0
1992-12-01,58768.0
1993-01-01,60023.0
1993-02-01,61219.0
1993-03-01,62606.0
1993-04-01,62836.0
1993-05-01,62530.0
1993-06-01,61520.0
1993-07-01,60505.0
1993-08-01,60030.0
1993-09-01,59687.0
1993-10-01,59652.0
1993-11-01,59939.0
1993-12-01,60924.0
1994-01-01,62166.0
1994-02-01,62768.0
1994-03-01,63760.0
1994-04-01,64109.0
1994-05-01,63112.0
1994-06-01,61959.0
1994-07-01,60833.0
1994-08-01,60014.0
1994-09-01,59549.0
1994-10-01,59250.0
1994-11-01,58971.0
1994-12-01,59210.0
1995-01-01,60116.0
1995-02-01,60284.0
1995-03-01,60695.0
1995-04-01,60037.0
1995-05-01,58800.0
1995-06-01,57441.0
