DATE,VALUE
1929-01-01,1.817
1930-01-01,1.73
1931-01-01,1.413
1932-01-01,1.101
1933-01-01,0.94
1934-01-01,0.897
1935-01-01,1.048
1936-01-01,1.129
1937-01-01,1.389
1938-01-01,1.245
1939-01-01,1.342
1940-01-01,1.19
1941-01-01,1.34
1942-01-01,1.2
1943-01-01,1.132
1944-01-01,1.2
1945-01-01,1.166
1946-01-01,1.487
1947-01-01,1.957
1948-01-01,2.353
1949-01-01,2.25
1950-01-01,2.498
1951-01-01,2.943
1952-01-01,2.99
1953-01-01,2.943
1954-01-01,3.11
1955-01-01,3.54
1956-01-01,3.841
1957-01-01,4.032
1958-01-01,3.577
1959-01-01,3.893
1960-01-01,4.398
1961-01-01,4.726
1962-01-01,5.228
1963-01-01,5.678
1964-01-01,6.195
1965-01-01,6.629
1966-01-01,6.606
1967-01-01,6.916
1968-01-01,7.721
1969-01-01,8.583
1970-01-01,8.874
1971-01-01,9.208
1972-01-01,10.24
1973-01-01,14.014
1974-01-01,16.119
1975-01-01,13.879
1976-01-01,15.196
1977-01-01,16.39
1978-01-01,19.028
1979-01-01,25.85
1980-01-01,27.109
1981-01-01,28.89
1982-01-01,30.002
1983-01-01,29.239
1984-01-01,33.849
1985-01-01,30.379
1986-01-01,29.404
1987-01-01,31.673
1988-01-01,37.754
1989-01-01,42.447
1990-01-01,43.411
1991-01-01,37.542
1992-01-01,33.134
1993-01-01,33.155
1994-01-01,38.517
1995-01-01,46.962
1996-01-01,49.489
1997-01-01,55.44
1998-01-01,56.4
1999-01-01,62.244
2000-01-01,72.235
2001-01-01,60.249
2002-01-01,57.691
2003-01-01,63.669
2004-01-01,78.408
2005-01-01,96.606
2006-01-01,117.754
2007-01-01,138.588
2008-01-01,131.738
2009-01-01,100.0
2010-01-01,109.291
2011-01-01,117.488
2012-01-01,116.742
2013-01-01,118.581
2014-01-01,120.35
2015-01-01,114.367
