DATE,VALUE
1990-01-01,512179.0
1990-02-01,516803.0
1990-03-01,518639.0
1990-04-01,517785.0
1990-05-01,521672.0
1990-06-01,525818.0
1990-07-01,529763.0
1990-08-01,527483.0
1990-09-01,521428.0
1990-10-01,524574.0
1990-11-01,524740.0
1990-12-01,526272.0
1991-01-01,524793.0
1991-02-01,524268.0
1991-03-01,523745.0
1991-04-01,521944.0
1991-05-01,521667.0
1991-06-01,528517.0
1991-07-01,533828.0
1991-08-01,531501.0
1991-09-01,528703.0
1991-10-01,529597.0
1991-11-01,529826.0
1991-12-01,529123.0
1992-01-01,524335.0
1992-02-01,524378.0
1992-03-01,523664.0
1992-04-01,522681.0
1992-05-01,525105.0
1992-06-01,533702.0
1992-07-01,538874.0
1992-08-01,536214.0
1992-09-01,528986.0
1992-10-01,528067.0
1992-11-01,530275.0
1992-12-01,532744.0
1993-01-01,528687.0
1993-02-01,530269.0
1993-03-01,528752.0
1993-04-01,523270.0
1993-05-01,524496.0
1993-06-01,530265.0
1993-07-01,536823.0
1993-08-01,534472.0
1993-09-01,526466.0
1993-10-01,530145.0
1993-11-01,532031.0
1993-12-01,533901.0
1994-01-01,532895.0
1994-02-01,534094.0
1994-03-01,531435.0
1994-04-01,527780.0
1994-05-01,526891.0
1994-06-01,533023.0
1994-07-01,537197.0
1994-08-01,536794.0
1994-09-01,530748.0
1994-10-01,535171.0
1994-11-01,533572.0
1994-12-01,531782.0
1995-01-01,534639.0
1995-02-01,533866.0
1995-03-01,534590.0
1995-04-01,531647.0
1995-05-01,527813.0
1995-06-01,533517.0
1995-07-01,537521.0
1995-08-01,537794.0
1995-09-01,532229.0
1995-10-01,536604.0
1995-11-01,537588.0
1995-12-01,532969.0
1996-01-01,535788.0
1996-02-01,536232.0
1996-03-01,537541.0
1996-04-01,531732.0
1996-05-01,532442.0
1996-06-01,538266.0
1996-07-01,545057.0
1996-08-01,544372.0
1996-09-01,540990.0
1996-10-01,545310.0
1996-11-01,546213.0
1996-12-01,543854.0
1997-01-01,544402.0
1997-02-01,543905.0
1997-03-01,546744.0
1997-04-01,542444.0
1997-05-01,542588.0
1997-06-01,549304.0
1997-07-01,557290.0
1997-08-01,556923.0
1997-09-01,553914.0
1997-10-01,554575.0
1997-11-01,557103.0
1997-12-01,557255.0
1998-01-01,558516.0
1998-02-01,559427.0
1998-03-01,562884.0
1998-04-01,558777.0
1998-05-01,559410.0
1998-06-01,564150.0
1998-07-01,569744.0
1998-08-01,568180.0
1998-09-01,564169.0
1998-10-01,568626.0
1998-11-01,570115.0
1998-12-01,575000.0
1999-01-01,574482.0
1999-02-01,579138.0
1999-03-01,578849.0
1999-04-01,576049.0
1999-05-01,575147.0
1999-06-01,582458.0
1999-07-01,587393.0
1999-08-01,587137.0
1999-09-01,581586.0
1999-10-01,583502.0
1999-11-01,584938.0
1999-12-01,588723.0
2000-01-01,602091.0
2000-02-01,605152.0
2000-03-01,607635.0
2000-04-01,605205.0
2000-05-01,603658.0
2000-06-01,611839.0
2000-07-01,610737.0
2000-08-01,613891.0
2000-09-01,607752.0
2000-10-01,611878.0
2000-11-01,614349.0
2000-12-01,616886.0
2001-01-01,617327.0
2001-02-01,617029.0
2001-03-01,620131.0
2001-04-01,617656.0
2001-05-01,616012.0
2001-06-01,621399.0
2001-07-01,628293.0
2001-08-01,627433.0
2001-09-01,626039.0
2001-10-01,630224.0
2001-11-01,632736.0
2001-12-01,635105.0
2002-01-01,634317.0
2002-02-01,637481.0
2002-03-01,640512.0
2002-04-01,636104.0
2002-05-01,637076.0
2002-06-01,640321.0
2002-07-01,646651.0
2002-08-01,648017.0
2002-09-01,645706.0
2002-10-01,647819.0
2002-11-01,645558.0
2002-12-01,645827.0
2003-01-01,648895.0
2003-02-01,648017.0
2003-03-01,647441.0
2003-04-01,647276.0
2003-05-01,646810.0
2003-06-01,653849.0
2003-07-01,655312.0
2003-08-01,656210.0
2003-09-01,653644.0
2003-10-01,653129.0
2003-11-01,658619.0
2003-12-01,656788.0
2004-01-01,658874.0
2004-02-01,657162.0
2004-03-01,657725.0
2004-04-01,653378.0
2004-05-01,651887.0
2004-06-01,660099.0
2004-07-01,665360.0
2004-08-01,661670.0
2004-09-01,660593.0
2004-10-01,660730.0
2004-11-01,661278.0
2004-12-01,659990.0
2005-01-01,660846.0
2005-02-01,659942.0
2005-03-01,659852.0
2005-04-01,657458.0
2005-05-01,658828.0
2005-06-01,663154.0
2005-07-01,671117.0
2005-08-01,669930.0
2005-09-01,668586.0
2005-10-01,668442.0
2005-11-01,667595.0
2005-12-01,666164.0
2006-01-01,666657.0
2006-02-01,665650.0
2006-03-01,665542.0
2006-04-01,661574.0
2006-05-01,662138.0
2006-06-01,668463.0
2006-07-01,673649.0
2006-08-01,673347.0
2006-09-01,670876.0
2006-10-01,671313.0
2006-11-01,672692.0
2006-12-01,673892.0
2007-01-01,674907.0
2007-02-01,674504.0
2007-03-01,676207.0
2007-04-01,670581.0
2007-05-01,671066.0
2007-06-01,676256.0
2007-07-01,681440.0
2007-08-01,678819.0
2007-09-01,677639.0
2007-10-01,674755.0
2007-11-01,677526.0
2007-12-01,675907.0
2008-01-01,676207.0
2008-02-01,674636.0
2008-03-01,677112.0
2008-04-01,673526.0
2008-05-01,674892.0
2008-06-01,679852.0
2008-07-01,686070.0
2008-08-01,684065.0
2008-09-01,681501.0
2008-10-01,681661.0
2008-11-01,681277.0
2008-12-01,681930.0
2009-01-01,683482.0
2009-02-01,683563.0
2009-03-01,682751.0
2009-04-01,680033.0
2009-05-01,678616.0
2009-06-01,682232.0
2009-07-01,685763.0
2009-08-01,681925.0
2009-09-01,677883.0
2009-10-01,679719.0
2009-11-01,680564.0
2009-12-01,676597.0
2010-01-01,683154.0
2010-02-01,683961.0
2010-03-01,685934.0
2010-04-01,684095.0
2010-05-01,681659.0
2010-06-01,683024.0
2010-07-01,687914.0
2010-08-01,685540.0
2010-09-01,682613.0
2010-10-01,679546.0
2010-11-01,680963.0
2010-12-01,679109.0
2011-01-01,680028.0
2011-02-01,679271.0
2011-03-01,680150.0
2011-04-01,676357.0
2011-05-01,675231.0
2011-06-01,679077.0
2011-07-01,679489.0
2011-08-01,682592.0
2011-09-01,682190.0
2011-10-01,682895.0
2011-11-01,681613.0
2011-12-01,681045.0
2012-01-01,680209.0
2012-02-01,683738.0
2012-03-01,684152.0
2012-04-01,680085.0
2012-05-01,679901.0
2012-06-01,685928.0
2012-07-01,684989.0
2012-08-01,682911.0
2012-09-01,681091.0
2012-10-01,683098.0
2012-11-01,680859.0
2012-12-01,681063.0
2013-01-01,688695.0
2013-02-01,686767.0
2013-03-01,684470.0
2013-04-01,679515.0
2013-05-01,680061.0
2013-06-01,684124.0
2013-07-01,685088.0
2013-08-01,682140.0
2013-09-01,680441.0
2013-10-01,676716.0
2013-11-01,678418.0
2013-12-01,676269.0
2014-01-01,680731.0
2014-02-01,682000.0
2014-03-01,684476.0
2014-04-01,677509.0
2014-05-01,679918.0
2014-06-01,685477.0
2014-07-01,686329.0
2014-08-01,683950.0
2014-09-01,681843.0
2014-10-01,686234.0
2014-11-01,686354.0
2014-12-01,681558.0
2015-01-01,688030.0
2015-02-01,686979.0
2015-03-01,687910.0
2015-04-01,686259.0
2015-05-01,689358.0
2015-06-01,692475.0
2015-07-01,694424.0
2015-08-01,690634.0
2015-09-01,686694.0
2015-10-01,689042.0
2015-11-01,688146.0
2015-12-01,688036.0
2016-01-01,688631.0
2016-02-01,689555.0
2016-03-01,690776.0
2016-04-01,686185.0
2016-05-01,685404.0
2016-06-01,696964.0
2016-07-01,703694.0
2016-08-01,704733.0
