DATE,VALUE
1990-01-01,213.7
1990-02-01,213.0
1990-03-01,213.6
1990-04-01,212.4
1990-05-01,212.1
1990-06-01,212.5
1990-07-01,211.7
1990-08-01,209.7
1990-09-01,210.1
1990-10-01,210.0
1990-11-01,209.2
1990-12-01,209.3
1991-01-01,211.1
1991-02-01,210.5
1991-03-01,210.3
1991-04-01,210.9
1991-05-01,211.5
1991-06-01,212.7
1991-07-01,214.4
1991-08-01,214.7
1991-09-01,214.2
1991-10-01,214.4
1991-11-01,214.3
1991-12-01,214.8
1992-01-01,215.7
1992-02-01,217.3
1992-03-01,219.1
1992-04-01,218.4
1992-05-01,217.1
1992-06-01,217.5
1992-07-01,217.9
1992-08-01,219.5
1992-09-01,221.3
1992-10-01,222.7
1992-11-01,223.9
1992-12-01,224.3
1993-01-01,224.5
1993-02-01,225.3
1993-03-01,223.5
1993-04-01,222.9
1993-05-01,223.7
1993-06-01,223.8
1993-07-01,223.7
1993-08-01,223.3
1993-09-01,222.7
1993-10-01,221.4
1993-11-01,222.6
1993-12-01,222.9
1994-01-01,222.5
1994-02-01,222.3
1994-03-01,221.7
1994-04-01,223.7
1994-05-01,224.6
1994-06-01,226.4
1994-07-01,227.2
1994-08-01,227.8
1994-09-01,229.6
1994-10-01,231.7
1994-11-01,231.9
1994-12-01,233.3
1995-01-01,233.3
1995-02-01,236.7
1995-03-01,239.8
1995-04-01,241.1
1995-05-01,242.7
1995-06-01,241.9
1995-07-01,243.1
1995-08-01,244.6
1995-09-01,245.5
1995-10-01,246.5
1995-11-01,247.7
1995-12-01,248.5
1996-01-01,246.4
1996-02-01,249.7
1996-03-01,249.8
1996-04-01,250.1
1996-05-01,249.8
1996-06-01,250.1
1996-07-01,250.1
1996-08-01,253.2
1996-09-01,253.4
1996-10-01,255.3
1996-11-01,257.6
1996-12-01,259.0
1997-01-01,261.6
1997-02-01,262.8
1997-03-01,265.0
1997-04-01,266.3
1997-05-01,268.6
1997-06-01,271.1
1997-07-01,270.3
1997-08-01,269.6
1997-09-01,270.6
1997-10-01,270.8
1997-11-01,271.4
1997-12-01,273.0
1998-01-01,272.1
1998-02-01,272.5
1998-03-01,273.7
1998-04-01,275.2
1998-05-01,278.8
1998-06-01,282.7
1998-07-01,283.7
1998-08-01,285.2
1998-09-01,288.0
1998-10-01,291.1
1998-11-01,293.6
1998-12-01,296.5
1999-01-01,298.3
1999-02-01,301.5
1999-03-01,303.0
1999-04-01,305.2
1999-05-01,306.4
1999-06-01,307.8
1999-07-01,309.3
1999-08-01,310.3
1999-09-01,311.0
1999-10-01,310.9
1999-11-01,311.2
1999-12-01,311.2
