DATE,VALUE
1959-01-01,3625.7099609
1960-01-01,3617.4772949
1961-01-01,3457.1723633
1962-01-01,3732.0585938
1963-01-01,3605.7316895
1964-01-01,3721.9912109
1965-01-01,3721.199707
1966-01-01,3747.8181152
1967-01-01,4108.1923828
1968-01-01,4269.9428711
1969-01-01,4371.9794922
1970-01-01,4252.7993164
1971-01-01,4204.4765625
1972-01-01,4970.1630859
1973-01-01,4713.4023438
1974-01-01,5158.9833984
1975-01-01,5118.8730469
1976-01-01,5106.2988281
1977-01-01,5600.6289063
1978-01-01,6141.440918
1979-01-01,6461.0166016
1980-01-01,6431.7182617
1981-01-01,6827.3530273
1982-01-01,6929.2407227
1983-01-01,6479.215332
1984-01-01,6258.4492188
1985-01-01,6961.1674805
1986-01-01,7532.7050781
1987-01-01,7395.2163086
1988-01-01,7842.9765625
1989-01-01,7939.9614258
1990-01-01,7918.4467773
1991-01-01,8505.4033203
1992-01-01,8493.4033203
1993-01-01,8763.3935547
1994-01-01,8311.6494141
1995-01-01,9092.3935547
1996-01-01,10088.583984
1997-01-01,11047.452148
1998-01-01,11857.371094
1999-01-01,12609.894531
2000-01-01,13089.751953
2001-01-01,13559.826172
2002-01-01,14218.135742
2003-01-01,14945.783203
2004-01-01,15777.34668
2005-01-01,17363.585938
2006-01-01,18257.962891
2007-01-01,18337.816406
2008-01-01,19009.175781
2009-01-01,19156.693359
2010-01-01,20730.791016
2011-01-01,21651.291016
2012-01-01,24692.767578
2013-01-01,24988.8125
2014-01-01,27056.25
