DATE,VALUE
2003-06-01,3.0
2003-12-01,3.0
2004-01-01,3.0
2004-02-01,3.0
2004-11-01,3.0
2004-12-01,2.0
2005-01-01,3.0
2005-02-01,3.0
2005-07-01,3.0
2005-08-01,3.0
2006-02-01,1.0
2007-05-01,3.0
2007-06-01,6.0
2007-07-01,6.0
2007-08-01,3.0
2007-09-01,4.0
2008-04-01,2.0
2008-05-01,1.0
2009-02-01,4.0
2009-03-01,3.0
2009-04-01,3.0
2009-05-01,1.0
2010-02-01,1.0
2010-03-01,1.0
2010-05-01,3.0
2010-06-01,4.0
2010-07-01,2.0
2010-08-01,3.0
2010-10-01,4.0
2010-11-01,4.0
2010-12-01,4.0
2011-07-01,3.0
2012-08-01,5.0
2012-11-01,3.0
2013-06-01,3.0
2013-07-01,3.0
2014-02-01,2.0
2015-06-01,3.0
2015-07-01,2.0
2015-08-01,2.0
2015-09-01,2.0
