DATE,VALUE
1960-01-01,5.952134166
1961-01-01,6.592868929
1962-01-01,6.232982055
1963-01-01,6.143070518
1964-01-01,5.86577068
1965-01-01,5.881273933
1966-01-01,6.113596142
1967-01-01,6.44470484
1968-01-01,6.730671183
1969-01-01,6.705627447
1970-01-01,6.429938507
1971-01-01,6.465381525
1972-01-01,6.387485092
1973-01-01,6.315694041
1974-01-01,6.337149121
1975-01-01,6.313990547
1976-01-01,6.298448343
1977-01-01,6.111459001
1978-01-01,6.372082538
1979-01-01,6.648800045
1980-01-01,5.326947474
1981-01-01,7.315914191
1982-01-01,7.976686881
1983-01-01,8.434306568
1984-01-01,8.519435495
1985-01-01,9.112050638
1986-01-01,9.399256403
1987-01-01,7.763135171
1988-01-01,7.56103234
1989-01-01,7.115701832
1990-01-01,7.623863138
1991-01-01,9.410137152
1992-01-01,9.180012835
1993-01-01,9.785250426
1994-01-01,8.33180916
1995-01-01,7.889881306
1996-01-01,7.756975768
1997-01-01,8.678146579
1998-01-01,8.821222956
1999-01-01,9.166648336
2000-01-01,8.568938305
2001-01-01,7.861227572
2002-01-01,7.723698555
2003-01-01,8.121629962
2004-01-01,7.656834886
2005-01-01,6.993725504
2006-01-01,6.621816387
2007-01-01,7.307374609
2008-01-01,7.200097523
2009-01-01,8.383085183
2010-01-01,8.823055172
