DATE,VALUE
1950-01-01,35.29660625
1951-01-01,38.05207766
1952-01-01,36.58589921
1953-01-01,38.61283721
1954-01-01,50.66759974
1955-01-01,54.88262005
1956-01-01,50.36529618
1957-01-01,49.60978917
1958-01-01,36.94793667
1959-01-01,38.59558885
1960-01-01,36.64683264
1961-01-01,39.45910333
1962-01-01,45.63658779
1963-01-01,43.10949694
1964-01-01,36.64680167
1965-01-01,42.07366437
1966-01-01,39.76393549
1967-01-01,39.7955812
1968-01-01,38.75899979
1969-01-01,42.83597781
1970-01-01,42.44728571
1971-01-01,40.5582412
1972-01-01,38.9087703
1973-01-01,39.63852917
1974-01-01,34.81509726
1975-01-01,30.6990968
1976-01-01,30.78997021
1977-01-01,39.62965508
1978-01-01,41.97066461
1979-01-01,44.29377574
1980-01-01,43.115521
1981-01-01,38.11908607
1982-01-01,36.84135724
1983-01-01,34.82807208
1984-01-01,38.40282398
1985-01-01,35.42315095
1986-01-01,30.66053074
1987-01-01,30.23789584
1988-01-01,31.81262347
1989-01-01,36.19356863
1990-01-01,32.15616586
1991-01-01,29.95226088
1992-01-01,33.58834641
1993-01-01,28.35064552
1994-01-01,29.78529026
1995-01-01,26.51002022
1996-01-01,26.12924135
1997-01-01,22.72425649
1998-01-01,21.92040369
1999-01-01,19.88408209
2000-01-01,21.4720699
2001-01-01,19.59514828
2002-01-01,22.20934204
2003-01-01,20.34910559
2004-01-01,23.43106152
2005-01-01,23.37563871
2006-01-01,24.39346474
2007-01-01,25.67046112
2008-01-01,27.24262247
2009-01-01,23.75903957
2010-01-01,22.79426634
