DATE,VALUE
2001-01-01,88.9
2001-04-01,89.8
2001-07-01,90.7
2001-10-01,91.6
2002-01-01,92.5
2002-04-01,92.9
2002-07-01,93.6
2002-10-01,93.9
2003-01-01,94.6
2003-04-01,95.2
2003-07-01,95.5
2003-10-01,95.8
2004-01-01,96.3
2004-04-01,97.0
2004-07-01,97.9
2004-10-01,98.2
2005-01-01,98.4
2005-04-01,98.9
2005-07-01,99.7
2005-10-01,100.0
2006-01-01,100.5
2006-04-01,101.2
2006-07-01,102.1
2006-10-01,102.7
2007-01-01,103.3
2007-04-01,104.2
2007-07-01,105.1
2007-10-01,105.5
2008-01-01,106.6
2008-04-01,107.3
2008-07-01,108.2
2008-10-01,108.5
2009-01-01,108.8
2009-04-01,109.4
2009-07-01,110.2
2009-10-01,110.4
2010-01-01,110.6
2010-04-01,111.1
2010-07-01,112.1
2010-10-01,112.5
2011-01-01,112.6
2011-04-01,113.1
2011-07-01,113.4
2011-10-01,113.8
2012-01-01,114.6
2012-04-01,115.0
2012-07-01,115.9
2012-10-01,116.4
2013-01-01,116.9
2013-04-01,117.1
2013-07-01,117.7
2013-10-01,118.2
2014-01-01,118.9
2014-04-01,119.8
2014-07-01,120.9
2014-10-01,120.9
2015-01-01,121.8
2015-04-01,122.7
2015-07-01,123.4
2015-10-01,123.7
2016-01-01,125.0
2016-04-01,126.1
