DATE,VALUE
2003-10-01,1265700.0
2004-01-01,1270100.0
2004-04-01,1279200.0
2004-07-01,1285800.0
2004-10-01,1300300.0
2005-01-01,1312300.0
2005-04-01,1331100.0
2005-07-01,1351400.0
2005-10-01,1367400.0
2006-01-01,1385300.0
2006-04-01,1387700.0
2006-07-01,1379700.0
2006-10-01,1374000.0
2007-01-01,1371200.0
2007-04-01,1369600.0
2007-07-01,1377400.0
2007-10-01,1376300.0
2008-01-01,1367800.0
2008-04-01,1372900.0
2008-07-01,1373500.0
2008-10-01,1374000.0
2009-01-01,1373900.0
2009-04-01,1368200.0
2009-07-01,1365000.0
2009-10-01,1368600.0
2010-01-01,1360600.0
2010-04-01,1348100.0
2010-07-01,1343300.0
2010-10-01,1344300.0
2011-01-01,1356900.0
2011-04-01,1357700.0
2011-07-01,1358100.0
2011-10-01,1356900.0
2012-01-01,1362500.0
2012-04-01,1371600.0
2012-07-01,1374900.0
2012-10-01,1354100.0
2013-01-01,1325500.0
2013-04-01,1318000.0
2013-07-01,1304000.0
2013-10-01,1307700.0
2014-01-01,1309300.0
2014-04-01,1291700.0
2014-07-01,1287800.0
2014-10-01,1295900.0
2015-01-01,1307900.0
2015-04-01,1327700.0
2015-07-01,1338100.0
2015-10-01,1336600.0
2016-01-01,1345500.0
2016-04-01,1349200.0
