DATE,VALUE
2003-10-01,1448400.0
2004-01-01,1456500.0
2004-04-01,1467700.0
2004-07-01,1474700.0
2004-10-01,1475900.0
2005-01-01,1475900.0
2005-04-01,1476800.0
2005-07-01,1471600.0
2005-10-01,1475700.0
2006-01-01,1474200.0
2006-04-01,1478600.0
2006-07-01,1481000.0
2006-10-01,1479500.0
2007-01-01,1483800.0
2007-04-01,1485700.0
2007-07-01,1490400.0
2007-10-01,1495000.0
2008-01-01,1496300.0
2008-04-01,1495700.0
2008-07-01,1502000.0
2008-10-01,1509100.0
2009-01-01,1516500.0
2009-04-01,1524300.0
2009-07-01,1531000.0
2009-10-01,1533900.0
2010-01-01,1526800.0
2010-04-01,1511400.0
2010-07-01,1500400.0
2010-10-01,1498800.0
2011-01-01,1500200.0
2011-04-01,1500800.0
2011-07-01,1503600.0
2011-10-01,1499800.0
2012-01-01,1495500.0
2012-04-01,1493800.0
2012-07-01,1484200.0
2012-10-01,1481900.0
2013-01-01,1487100.0
2013-04-01,1492600.0
2013-07-01,1494800.0
2013-10-01,1493300.0
2014-01-01,1491600.0
2014-04-01,1498900.0
2014-07-01,1501000.0
2014-10-01,1502100.0
2015-01-01,1499000.0
2015-04-01,1481600.0
2015-07-01,1488000.0
2015-10-01,1494700.0
2016-01-01,1497300.0
2016-04-01,1505900.0
