DATE,VALUE
1960-01-01,6645.0126953
1961-01-01,6637.1420898
1962-01-01,6562.0532227
1963-01-01,6524.1782227
1964-01-01,6587.96875
1965-01-01,6561.7841797
1966-01-01,6623.9970703
1967-01-01,6721.5141602
1968-01-01,6794.6347656
1969-01-01,6998.6479492
1970-01-01,7119.4458008
1971-01-01,7333.4477539
1972-01-01,7563.2324219
1973-01-01,7839.253418
1974-01-01,8377.9765625
1975-01-01,9058.859375
1976-01-01,9508.3251953
1977-01-01,10018.522461
1978-01-01,10498.512695
1979-01-01,10667.820313
1980-01-01,10730.745117
1981-01-01,10702.300781
1982-01-01,10599.268555
1983-01-01,10203.814453
1984-01-01,9708.1748047
1985-01-01,9459.6621094
1986-01-01,9478.0966797
1987-01-01,9501.1699219
1988-01-01,9522.4023438
1989-01-01,9468.5605469
1990-01-01,9363.1572266
1991-01-01,9279.8251953
1992-01-01,9219.8808594
1993-01-01,9323.4902344
1994-01-01,9472.7597656
1995-01-01,9656.2216797
1996-01-01,9738.0078125
1997-01-01,9878.1484375
1998-01-01,10096.259766
1999-01-01,10345.337891
2000-01-01,10619.691406
2001-01-01,11814.75
2002-01-01,14097.729492
2003-01-01,15918.701172
2004-01-01,17737.71875
2005-01-01,19966.599609
2006-01-01,21479.023438
2007-01-01,22156.292969
2008-01-01,22488.550781
2009-01-01,22523.578125
2010-01-01,22964.945313
2011-01-01,23935.869141
2012-01-01,26057.769531
2013-01-01,28580.566406
2014-01-01,31375.140625
