DATE,VALUE
1988-01-01,414.0
1988-02-01,496.0
1988-03-01,752.0
1988-04-01,459.0
1988-05-01,543.0
1988-06-01,597.0
1988-07-01,531.0
1988-08-01,485.0
1988-09-01,872.0
1988-10-01,465.0
1988-11-01,393.0
1988-12-01,701.0
1989-01-01,581.0
1989-02-01,600.0
1989-03-01,578.0
1989-04-01,514.0
1989-05-01,839.0
1989-06-01,524.0
1989-07-01,618.0
1989-08-01,655.0
1989-09-01,532.0
1989-10-01,643.0
1989-11-01,489.0
1989-12-01,481.0
1990-01-01,1097.0
1990-02-01,549.0
1990-03-01,580.0
1990-04-01,712.0
1990-05-01,480.0
1990-06-01,479.0
1990-07-01,483.0
1990-08-01,460.0
1990-09-01,468.0
1990-10-01,412.0
1990-11-01,461.0
1990-12-01,391.0
1991-01-01,390.0
1991-02-01,373.0
1991-03-01,402.0
1991-04-01,429.0
1991-05-01,489.0
1991-06-01,493.0
1991-07-01,501.0
1991-08-01,353.0
1991-09-01,535.0
1991-10-01,647.0
1991-11-01,676.0
1991-12-01,493.0
1992-01-01,551.0
1992-02-01,1082.0
1992-03-01,557.0
1992-04-01,556.0
1992-05-01,532.0
1992-06-01,554.0
1992-07-01,503.0
1992-08-01,756.0
1992-09-01,572.0
1992-10-01,501.0
1992-11-01,510.0
1992-12-01,810.0
1993-01-01,574.0
1993-02-01,564.0
1993-03-01,519.0
1993-04-01,501.0
1993-05-01,522.0
1993-06-01,572.0
1993-07-01,531.0
1993-08-01,606.0
1993-09-01,568.0
1993-10-01,583.0
1993-11-01,625.0
1993-12-01,688.0
1994-01-01,566.0
1994-02-01,548.0
1994-03-01,638.0
1994-04-01,620.0
1994-05-01,595.0
1994-06-01,618.0
1994-07-01,703.0
1994-08-01,608.0
1994-09-01,564.0
1994-10-01,525.0
1994-11-01,548.0
1994-12-01,523.0
1995-01-01,1139.0
1995-02-01,500.0
1995-03-01,550.0
1995-04-01,546.0
1995-05-01,811.0
1995-06-01,601.0
1995-07-01,433.0
1995-08-01,576.0
1995-09-01,611.0
1995-10-01,634.0
1995-11-01,626.0
1995-12-01,627.0
1996-01-01,633.0
1996-02-01,613.0
1996-03-01,611.0
1996-04-01,593.0
1996-05-01,645.0
1996-06-01,561.0
1996-07-01,833.0
1996-08-01,611.0
1996-09-01,616.0
1996-10-01,587.0
1996-11-01,551.0
1996-12-01,560.0
1997-01-01,544.0
1997-02-01,560.0
1997-03-01,567.0
1997-04-01,620.0
1997-05-01,508.0
1997-06-01,587.0
1997-07-01,541.0
1997-08-01,472.0
1997-09-01,553.0
1997-10-01,640.0
1997-11-01,568.0
1997-12-01,607.0
1998-01-01,770.0
1998-02-01,647.0
1998-03-01,503.0
1998-04-01,598.0
1998-05-01,628.0
1998-06-01,601.0
1998-07-01,558.0
1998-08-01,679.0
1998-09-01,672.0
1998-10-01,607.0
1998-11-01,626.0
1998-12-01,615.0
1999-01-01,507.0
1999-02-01,618.0
1999-03-01,658.0
1999-04-01,658.0
1999-05-01,649.0
1999-06-01,669.0
1999-07-01,680.0
1999-08-01,651.0
1999-09-01,681.0
1999-10-01,560.0
1999-11-01,680.0
1999-12-01,650.0
2000-01-01,627.0
2000-02-01,654.0
2000-03-01,672.0
2000-04-01,597.0
2000-05-01,635.0
2000-06-01,567.0
2000-07-01,570.0
2000-08-01,619.0
2000-09-01,566.0
2000-10-01,982.0
2000-11-01,582.0
2000-12-01,464.0
2001-01-01,589.0
2001-02-01,609.0
2001-03-01,669.0
2001-04-01,559.0
2001-05-01,608.0
2001-06-01,611.0
2001-07-01,627.0
2001-08-01,598.0
2001-09-01,511.0
2001-10-01,530.0
2001-11-01,600.0
2001-12-01,688.0
2002-01-01,689.0
2002-02-01,694.0
2002-03-01,548.0
2002-04-01,696.0
2002-05-01,648.0
2002-06-01,629.0
2002-07-01,680.0
2002-08-01,639.0
2002-09-01,601.0
2002-10-01,662.0
2002-11-01,607.0
2002-12-01,607.0
2003-01-01,610.0
2003-02-01,519.0
2003-03-01,552.0
2003-04-01,608.0
2003-05-01,559.0
2003-06-01,625.0
2003-07-01,861.0
2003-08-01,634.0
2003-09-01,688.0
2003-10-01,683.0
2003-11-01,597.0
2003-12-01,617.0
2004-01-01,573.0
2004-02-01,640.0
2004-03-01,642.0
2004-04-01,590.0
2004-05-01,599.0
2004-06-01,562.0
2004-07-01,533.0
2004-08-01,601.0
2004-09-01,687.0
2004-10-01,559.0
2004-11-01,607.0
2004-12-01,553.0
2005-01-01,579.0
2005-02-01,548.0
2005-03-01,513.0
2005-04-01,560.0
2005-05-01,539.0
2005-06-01,608.0
2005-07-01,571.0
2005-08-01,486.0
2005-09-01,512.0
2005-10-01,485.0
2005-11-01,556.0
2005-12-01,434.0
2006-01-01,478.0
2006-02-01,552.0
2006-03-01,491.0
2006-04-01,446.0
2006-05-01,430.0
2006-06-01,437.0
2006-07-01,372.0
2006-08-01,395.0
2006-09-01,497.0
2006-10-01,384.0
2006-11-01,318.0
2006-12-01,339.0
2007-01-01,388.0
2007-02-01,329.0
2007-03-01,339.0
2007-04-01,338.0
2007-05-01,351.0
2007-06-01,310.0
2007-07-01,288.0
2007-08-01,329.0
2007-09-01,314.0
2007-10-01,277.0
2007-11-01,389.0
2007-12-01,294.0
2008-01-01,269.0
2008-02-01,264.0
2008-03-01,208.0
2008-04-01,223.0
2008-05-01,221.0
2008-06-01,193.0
2008-07-01,214.0
2008-08-01,197.0
2008-09-01,210.0
2008-10-01,258.0
2008-11-01,150.0
2008-12-01,204.0
2009-01-01,134.0
2009-02-01,121.0
2009-03-01,120.0
2009-04-01,139.0
2009-05-01,248.0
2009-06-01,239.0
2009-07-01,192.0
2009-08-01,133.0
2009-09-01,175.0
2009-10-01,161.0
2009-11-01,209.0
2009-12-01,173.0
2010-01-01,188.0
2010-02-01,187.0
2010-03-01,223.0
2010-04-01,200.0
2010-05-01,147.0
2010-06-01,145.0
2010-07-01,155.0
2010-08-01,134.0
2010-09-01,127.0
2010-10-01,152.0
2010-11-01,124.0
2010-12-01,197.0
2011-01-01,151.0
2011-02-01,147.0
2011-03-01,153.0
2011-04-01,131.0
2011-05-01,137.0
2011-06-01,152.0
2011-07-01,130.0
2011-08-01,181.0
2011-09-01,137.0
2011-10-01,153.0
2011-11-01,143.0
2011-12-01,117.0
2012-01-01,149.0
2012-02-01,149.0
2012-03-01,184.0
2012-04-01,163.0
2012-05-01,228.0
2012-06-01,183.0
2012-07-01,168.0
2012-08-01,174.0
2012-09-01,203.0
2012-10-01,181.0
2012-11-01,260.0
2012-12-01,239.0
2013-01-01,204.0
2013-02-01,240.0
2013-03-01,203.0
2013-04-01,213.0
2013-05-01,202.0
2013-06-01,201.0
2013-07-01,253.0
2013-08-01,453.0
2013-09-01,223.0
2013-10-01,232.0
2013-11-01,248.0
2013-12-01,163.0
2014-01-01,223.0
2014-02-01,214.0
2014-03-01,191.0
2014-04-01,245.0
2014-05-01,235.0
2014-06-01,248.0
2014-07-01,244.0
2014-08-01,223.0
2014-09-01,256.0
2014-10-01,238.0
2014-11-01,229.0
2014-12-01,295.0
2015-01-01,285.0
2015-02-01,221.0
2015-03-01,270.0
2015-04-01,188.0
2015-05-01,265.0
2015-06-01,269.0
2015-07-01,334.0
2015-08-01,221.0
2015-09-01,239.0
2015-10-01,278.0
2015-11-01,210.0
2015-12-01,236.0
2016-01-01,228.0
2016-02-01,340.0
2016-03-01,252.0
2016-04-01,282.0
2016-05-01,240.0
2016-06-01,228.0
2016-07-01,217.0
2016-08-01,260.0
