DATE,VALUE
1990-01-01,6291.0
1990-02-01,6488.0
1990-03-01,6450.0
1990-04-01,5629.0
1990-05-01,5348.0
1990-06-01,5592.0
1990-07-01,5805.0
1990-08-01,5853.0
1990-09-01,5974.0
1990-10-01,5966.0
1990-11-01,6252.0
1990-12-01,6438.0
1991-01-01,6340.0
1991-02-01,6380.0
1991-03-01,6285.0
1991-04-01,5614.0
1991-05-01,5360.0
1991-06-01,5577.0
1991-07-01,5997.0
1991-08-01,5963.0
1991-09-01,5915.0
1991-10-01,5620.0
1991-11-01,5583.0
1991-12-01,6550.0
1992-01-01,6530.0
1992-02-01,6874.0
1992-03-01,6917.0
1992-04-01,5821.0
1992-05-01,5587.0
1992-06-01,5991.0
1992-07-01,6497.0
1992-08-01,6499.0
1992-09-01,6346.0
1992-10-01,6164.0
1992-11-01,6260.0
1992-12-01,7339.0
1993-01-01,7343.0
1993-02-01,7415.0
1993-03-01,7410.0
1993-04-01,6180.0
1993-05-01,5850.0
1993-06-01,6378.0
1993-07-01,6867.0
1993-08-01,6914.0
1993-09-01,6485.0
1993-10-01,6687.0
1993-11-01,7595.0
1993-12-01,8095.0
1994-01-01,8251.0
1994-02-01,8345.0
1994-03-01,8207.0
1994-04-01,7080.0
1994-05-01,6351.0
1994-06-01,7133.0
1994-07-01,7503.0
1994-08-01,7442.0
1994-09-01,7148.0
1994-10-01,7269.0
1994-11-01,7800.0
1994-12-01,8515.0
1995-01-01,8564.0
1995-02-01,8660.0
1995-03-01,8618.0
1995-04-01,7485.0
1995-05-01,6747.0
1995-06-01,7570.0
1995-07-01,7784.0
1995-08-01,7673.0
1995-09-01,7522.0
1995-10-01,7377.0
1995-11-01,8264.0
1995-12-01,8356.0
1996-01-01,8516.0
1996-02-01,8608.0
1996-03-01,8620.0
1996-04-01,7773.0
1996-05-01,6857.0
1996-06-01,7374.0
1996-07-01,7769.0
1996-08-01,7611.0
1996-09-01,7275.0
1996-10-01,7450.0
1996-11-01,7287.0
1996-12-01,8301.0
1997-01-01,8150.0
1997-02-01,8475.0
1997-03-01,8529.0
1997-04-01,8194.0
1997-05-01,6959.0
1997-06-01,7720.0
1997-07-01,7890.0
1997-08-01,7846.0
1997-09-01,7702.0
1997-10-01,7651.0
1997-11-01,8043.0
1997-12-01,8855.0
1998-01-01,9129.0
1998-02-01,9242.0
1998-03-01,9257.0
1998-04-01,8724.0
1998-05-01,7455.0
1998-06-01,7916.0
1998-07-01,8203.0
1998-08-01,8128.0
1998-09-01,8179.0
1998-10-01,7885.0
1998-11-01,8072.0
1998-12-01,8881.0
1999-01-01,9014.0
1999-02-01,9144.0
1999-03-01,9132.0
1999-04-01,8552.0
1999-05-01,7323.0
1999-06-01,7720.0
1999-07-01,8126.0
1999-08-01,8084.0
1999-09-01,8272.0
1999-10-01,7881.0
1999-11-01,7959.0
1999-12-01,8512.0
2000-01-01,8450.0
2000-02-01,8746.0
2000-03-01,8836.0
2000-04-01,8404.0
2000-05-01,7405.0
2000-06-01,7703.0
2000-07-01,8045.0
2000-08-01,8076.0
2000-09-01,8084.0
2000-10-01,7829.0
2000-11-01,8094.0
2000-12-01,8525.0
2001-01-01,8514.0
2001-02-01,8796.0
2001-03-01,8866.0
2001-04-01,7995.0
2001-05-01,7539.0
2001-06-01,8049.0
2001-07-01,8471.0
2001-08-01,8562.0
2001-09-01,8434.0
2001-10-01,8171.0
2001-11-01,7948.0
2001-12-01,8645.0
2002-01-01,8663.0
2002-02-01,8927.0
2002-03-01,8894.0
2002-04-01,8765.0
2002-05-01,7805.0
2002-06-01,8289.0
2002-07-01,8743.0
2002-08-01,8612.0
2002-09-01,8557.0
2002-10-01,8252.0
2002-11-01,8087.0
2002-12-01,8979.0
2003-01-01,8803.0
2003-02-01,8824.0
2003-03-01,8811.0
2003-04-01,7891.0
2003-05-01,7561.0
2003-06-01,8067.0
2003-07-01,8516.0
2003-08-01,8503.0
2003-09-01,8473.0
2003-10-01,8141.0
2003-11-01,7859.0
2003-12-01,8833.0
2004-01-01,9166.0
2004-02-01,9330.0
2004-03-01,9172.0
2004-04-01,8666.0
2004-05-01,8008.0
2004-06-01,8495.0
2004-07-01,8813.0
2004-08-01,8724.0
2004-09-01,8632.0
2004-10-01,8290.0
2004-11-01,8375.0
2004-12-01,8928.0
2005-01-01,9602.0
2005-02-01,9803.0
2005-03-01,9322.0
2005-04-01,8815.0
2005-05-01,8145.0
2005-06-01,8695.0
2005-07-01,9029.0
2005-08-01,8914.0
2005-09-01,8882.0
2005-10-01,8676.0
2005-11-01,8787.0
2005-12-01,9421.0
2006-01-01,9627.0
2006-02-01,9826.0
2006-03-01,9825.0
2006-04-01,9121.0
2006-05-01,8626.0
2006-06-01,9410.0
2006-07-01,9639.0
2006-08-01,9598.0
2006-09-01,9473.0
2006-10-01,9291.0
2006-11-01,9621.0
2006-12-01,10115.0
2007-01-01,9742.0
2007-02-01,9863.0
2007-03-01,9791.0
2007-04-01,9298.0
2007-05-01,8796.0
2007-06-01,9322.0
2007-07-01,9705.0
2007-08-01,9574.0
2007-09-01,9562.0
2007-10-01,9179.0
2007-11-01,9424.0
2007-12-01,10000.0
2008-01-01,9767.0
2008-02-01,9849.0
2008-03-01,9759.0
2008-04-01,9385.0
2008-05-01,8785.0
2008-06-01,9311.0
2008-07-01,9879.0
2008-08-01,9780.0
2008-09-01,9600.0
2008-10-01,9205.0
2008-11-01,8945.0
2008-12-01,9773.0
2009-01-01,9728.0
2009-02-01,9802.0
2009-03-01,9819.0
2009-04-01,9057.0
2009-05-01,8803.0
2009-06-01,9338.0
2009-07-01,9638.0
2009-08-01,9717.0
2009-09-01,9550.0
2009-10-01,9187.0
2009-11-01,8859.0
2009-12-01,9618.0
2010-01-01,10161.0
2010-02-01,10330.0
2010-03-01,10254.0
2010-04-01,9885.0
2010-05-01,9498.0
2010-06-01,10061.0
2010-07-01,10420.0
2010-08-01,10239.0
2010-09-01,10198.0
2010-10-01,9870.0
2010-11-01,9730.0
2010-12-01,10397.0
2011-01-01,9987.0
2011-02-01,10131.0
2011-03-01,10138.0
2011-04-01,9590.0
