DATE,VALUE
1976-06-01,0.03728
1976-07-01,0.037
1976-08-01,0.0366
1976-09-01,0.03742
1976-10-01,0.03753
1976-11-01,0.0336
1976-12-01,0.0303
1977-01-01,0.02067
1977-02-01,0.02343
1977-03-01,0.02715
1977-04-01,0.0415
1977-05-01,0.04606
1977-06-01,0.04729
1977-07-01,0.04447
1977-08-01,0.04006
1977-09-01,0.03748
1977-10-01,0.03858
1977-11-01,0.04101
1977-12-01,0.04312
1978-01-01,0.0381
1978-02-01,0.03521
1978-03-01,0.03328
1978-04-01,0.03653
1978-05-01,0.03989
1978-06-01,0.04267
1978-07-01,0.04344
1978-08-01,0.04056
1978-09-01,0.03456
1978-10-01,0.03317
1978-11-01,0.03727
1978-12-01,0.03805
1979-01-01,0.0255
1979-02-01,0.00822
1979-03-01,0.00434
1979-04-01,0.01222
1979-05-01,0.02225
1979-06-01,0.01727
1979-07-01,0.02136
1979-08-01,0.01698
1979-09-01,0.01416
1979-10-01,0.00858
1979-11-01,0.00214
1979-12-01,-0.00175
1980-01-01,-0.0102
1980-02-01,-0.01279
1980-03-01,-0.02616
1980-04-01,-0.0401
1980-05-01,-0.06283
1980-06-01,-0.07102
1980-07-01,-0.0614
1980-08-01,-0.04097
1980-09-01,-0.01957
1980-10-01,-0.00826
1980-11-01,0.00303
1980-12-01,0.00442
1981-01-01,0.0025
1981-02-01,-0.00584
1981-03-01,-0.00808
1981-04-01,-0.00951
1981-05-01,-0.01328
1981-06-01,-0.02403
1981-07-01,-0.03284
1981-08-01,-0.03871
1981-09-01,-0.04486
1981-10-01,-0.05299
1981-11-01,-0.05985
1981-12-01,-0.05978
1982-01-01,-0.06339
1982-02-01,-0.06417
1982-03-01,-0.0689
1982-04-01,-0.06415
1982-05-01,-0.05711
1982-06-01,-0.04604
1982-07-01,-0.0445
1982-08-01,-0.04466
1982-09-01,-0.03714
1982-10-01,-0.03739
1982-11-01,-0.03416
1982-12-01,-0.03242
1983-01-01,-0.02651
1983-02-01,-0.01973
1983-03-01,-0.01425
1983-04-01,-0.00669
1983-05-01,-0.00088
1983-06-01,0.0026
1983-07-01,0.01023
1983-08-01,0.01347
1983-09-01,0.01548
1983-10-01,0.01404
1983-11-01,0.01274
1983-12-01,0.01346
1984-01-01,0.01327
1984-02-01,0.01647
1984-03-01,0.01593
1984-04-01,0.0117
1984-05-01,0.00843
1984-06-01,0.01041
1984-07-01,0.00789
1984-08-01,0.00231
1984-09-01,-0.00531
1984-10-01,-0.01014
1984-11-01,-0.01087
1984-12-01,-0.01394
1985-01-01,-0.01463
1985-02-01,-0.01736
1985-03-01,-0.00962
1985-04-01,-0.00681
1985-05-01,-0.00165
1985-06-01,-0.00304
1985-07-01,-0.00436
1985-08-01,-0.00356
1985-09-01,-0.00301
1985-10-01,-0.0023
1985-11-01,-0.00303
1985-12-01,0.00262
1986-01-01,0.00856
1986-02-01,0.0097
1986-03-01,0.00942
1986-04-01,0.01112
1986-05-01,0.01419
1986-06-01,0.01621
1986-07-01,0.01164
1986-08-01,0.01165
1986-09-01,0.01479
1986-10-01,0.01418
1986-11-01,0.01668
1986-12-01,0.01549
1987-01-01,0.02117
1987-02-01,0.02218
1987-03-01,0.02337
1987-04-01,0.02078
1987-05-01,0.0199
1987-06-01,0.01752
1987-07-01,0.01777
1987-08-01,0.0182
1987-09-01,0.01908
1987-10-01,0.02245
1987-11-01,0.02322
1987-12-01,0.02245
1988-01-01,0.01627
1988-02-01,0.01077
1988-03-01,0.00935
1988-04-01,0.01415
1988-05-01,0.01659
1988-06-01,0.01547
1988-07-01,0.01661
1988-08-01,0.01672
1988-09-01,0.01658
1988-10-01,0.01729
1988-11-01,0.01857
1988-12-01,0.02635
1989-01-01,0.02396
1989-02-01,0.02389
1989-03-01,0.0164
1989-04-01,0.01341
1989-05-01,0.00893
1989-06-01,0.00198
1989-07-01,-0.00102
1989-08-01,-0.00346
1989-09-01,-0.00201
1989-10-01,0.00095
1989-11-01,0.00197
1989-12-01,0.0003
1990-01-01,0.0019
1990-02-01,0.00451
1990-03-01,0.00753
1990-04-01,0.00458
1990-05-01,0.0025
1990-06-01,-0.01989
1990-07-01,-0.01934
1990-08-01,-0.01293
1990-09-01,-0.0041
1990-10-01,-0.00801
1990-11-01,-0.01089
1990-12-01,-0.01792
1991-01-01,-0.02395
1991-02-01,-0.034
1991-03-01,-0.0373
1991-04-01,-0.02568
1991-05-01,-0.01282
1991-06-01,-0.00362
1991-07-01,-0.00536
1991-08-01,-0.00938
1991-09-01,-0.01224
1991-10-01,-0.00826
1991-11-01,-0.01006
1991-12-01,-0.0169
1992-01-01,-0.0137
1992-02-01,0.00045
1992-03-01,0.01736
1992-04-01,0.00274
1992-05-01,-0.01222
1992-06-01,-0.02233
1992-07-01,-0.01112
1992-08-01,-0.00221
1992-09-01,0.00074
1992-10-01,0.00398
1992-11-01,0.00268
1992-12-01,0.00667
1993-01-01,0.01237
1993-02-01,0.02249
1993-03-01,0.02148
1993-04-01,0.00627
1993-05-01,-0.00951
1993-06-01,-0.01256
1993-07-01,-0.00768
1993-08-01,-0.00088
1993-09-01,0.00336
1993-10-01,0.01796
1993-11-01,0.031
1993-12-01,0.0425
1994-01-01,0.03796
1994-02-01,0.02646
1994-03-01,0.02227
1994-04-01,0.02332
1994-05-01,0.03426
1994-06-01,0.03022
1994-07-01,0.02623
1994-08-01,0.01775
1994-09-01,0.01866
1994-10-01,0.01549
1994-11-01,0.01496
1994-12-01,0.01326
1995-01-01,0.02155
1995-02-01,0.02544
1995-03-01,0.02786
1995-04-01,0.01512
1995-05-01,0.00076
1995-06-01,-0.0087
1995-07-01,0.00066
1995-08-01,0.02082
1995-09-01,0.03002
1995-10-01,0.02633
1995-11-01,0.01445
1995-12-01,0.00725
1996-01-01,0.00771
1996-02-01,0.00917
1996-03-01,0.0134
1996-04-01,0.01688
1996-05-01,0.01859
1996-06-01,0.01931
1996-07-01,0.01723
1996-08-01,0.02073
1996-09-01,0.0203
1996-10-01,0.01944
1996-11-01,0.01565
1996-12-01,0.0138
1997-01-01,0.00963
1997-02-01,0.00751
1997-03-01,0.01156
1997-04-01,0.02243
1997-05-01,0.02915
1997-06-01,0.0282
1997-07-01,0.01656
1997-08-01,0.00166
1997-09-01,-0.0067
1997-10-01,-0.0013
1997-11-01,0.01066
1997-12-01,0.01714
1998-01-01,0.01654
1998-02-01,0.01589
1998-03-01,0.01029
1998-04-01,0.01213
1998-05-01,0.01143
1998-06-01,0.02628
1998-07-01,0.0291
1998-08-01,0.03087
1998-09-01,0.02628
1998-10-01,0.02511
1998-11-01,0.02397
1998-12-01,0.02629
1999-01-01,0.0175
1999-02-01,0.017
1999-03-01,0.00619
1999-04-01,0.01747
1999-05-01,0.01455
1999-06-01,0.02248
1999-07-01,0.01875
1999-08-01,0.02599
1999-09-01,0.02462
1999-10-01,0.0277
1999-11-01,0.0274
1999-12-01,0.03112
2000-01-01,0.02959
2000-02-01,0.03025
2000-03-01,0.03019
2000-04-01,0.03329
2000-05-01,0.03106
2000-06-01,0.01993
2000-07-01,0.00946
2000-08-01,0.00355
2000-09-01,0.00679
