DATE,VALUE
2012-06-01,100.0
2012-07-01,99.5
2012-08-01,98.4
2012-09-01,98.8
2012-10-01,99.4
2012-11-01,99.3
2012-12-01,99.2
2013-01-01,98.7
2013-02-01,98.4
2013-03-01,97.9
2013-04-01,97.5
2013-05-01,99.1
2013-06-01,99.1
2013-07-01,99.4
2013-08-01,98.9
2013-09-01,99.2
2013-10-01,100.8
2013-11-01,101.5
2013-12-01,101.5
2014-01-01,101.8
2014-02-01,102.0
2014-03-01,102.1
2014-04-01,102.6
2014-05-01,103.3
2014-06-01,103.4
2014-07-01,103.7
2014-08-01,103.5
2014-09-01,102.8
2014-10-01,102.6
2014-11-01,102.5
2014-12-01,102.3
2015-01-01,101.8
2015-02-01,100.6
2015-03-01,101.5
2015-04-01,101.3
2015-05-01,101.3
2015-06-01,101.8
2015-07-01,101.9
2015-08-01,101.8
2015-09-01,102.0
2015-10-01,102.0
2015-11-01,101.9
2015-12-01,101.9
2016-01-01,102.6
2016-02-01,102.6
2016-03-01,102.8
2016-04-01,102.8
2016-05-01,102.9
2016-06-01,102.9
2016-07-01,103.1
2016-08-01,102.9
2016-09-01,103.0
