DATE,VALUE
1996-01-01,84.8
1996-02-01,109.72
1996-03-01,116.61
1996-04-01,117.7
1996-05-01,110.7
1996-06-01,111.47
1996-07-01,100.1
1996-08-01,104.48
1996-09-01,117.7
1996-10-01,118.25
1996-11-01,111.69
1996-12-01,108.3
1997-01-01,90.92
1997-02-01,98.79
1997-03-01,110.81
1997-04-01,109.61
1997-05-01,108.19
1997-06-01,101.09
1997-07-01,91.47
1997-08-01,95.19
1997-09-01,116.39
1997-10-01,120.1
1997-11-01,117.59
1997-12-01,112.89
1998-01-01,99.89
1998-02-01,111.25
1998-03-01,121.74
1998-04-01,122.73
1998-05-01,109.83
1998-06-01,100.21
1998-07-01,89.39
1998-08-01,91.58
1998-09-01,106.77
1998-10-01,105.68
1998-11-01,103.05
1998-12-01,95.84
1999-01-01,84.8
1999-02-01,92.78
1999-03-01,107.54
1999-04-01,106.01
1999-05-01,103.27
1999-06-01,95.08
1999-07-01,84.26
1999-08-01,94.53
1999-09-01,104.26
1999-10-01,101.09
1999-11-01,104.37
1999-12-01,102.4
2000-01-01,91.69
2000-02-01,103.6
2000-03-01,102.4
2000-04-01,100.98
2000-05-01,98.68
2000-06-01,93.11
2000-07-01,80.32
2000-08-01,87.21
2000-09-01,99.12
2000-10-01,100.98
2000-11-01,99.56
2000-12-01,93.44
2001-01-01,83.16
2001-02-01,91.46
2001-03-01,101.58
2001-04-01,102.08
2001-05-01,99.95
2001-06-01,90.65
2001-07-01,84.14
2001-08-01,90.04
2001-09-01,103.19
2001-10-01,100.45
2001-11-01,99.59
2001-12-01,91.69
2002-01-01,87.61
2002-02-01,98.99
2002-03-01,103.68
2002-04-01,103.26
2002-05-01,101.43
2002-06-01,97.86
2002-07-01,81.81
2002-08-01,89.72
2002-09-01,107.17
2002-10-01,108.7
2002-11-01,107.22
2002-12-01,101.3
2003-01-01,93.5
2003-02-01,99.69
2003-03-01,109.62
2003-04-01,109.52
2003-05-01,107.82
2003-06-01,100.55
2003-07-01,90.86
2003-08-01,94.23
2003-09-01,105.42
2003-10-01,103.87
2003-11-01,103.95
2003-12-01,101.39
2004-01-01,93.55
2004-02-01,98.85
2004-03-01,106.7
2004-04-01,105.13
2004-05-01,106.33
2004-06-01,98.02
2004-07-01,91.36
2004-08-01,99.29
2004-09-01,106.77
2004-10-01,108.15
2004-11-01,105.11
2004-12-01,96.33
2005-01-01,91.53
2005-02-01,103.82
2005-03-01,105.46
2005-04-01,105.52
2005-05-01,105.66
2005-06-01,97.7
2005-07-01,89.49
2005-08-01,86.95
2005-09-01,104.57
2005-10-01,109.65
2005-11-01,102.33
2005-12-01,97.34
2006-01-01,92.19
2006-02-01,97.31
2006-03-01,104.67
2006-04-01,103.14
2006-05-01,100.47
2006-06-01,94.85
2006-07-01,81.71
2006-08-01,85.12
2006-09-01,100.31
2006-10-01,100.2
2006-11-01,99.3
2006-12-01,96.4
2007-01-01,87.5
2007-02-01,101.96
2007-03-01,100.61
2007-04-01,98.28
2007-05-01,94.56
2007-06-01,88.07
2007-07-01,81.2
2007-08-01,85.64
2007-09-01,101.61
2007-10-01,101.99
2007-11-01,95.68
2007-12-01,88.29
2008-01-01,90.15
2008-02-01,94.47
2008-03-01,96.55
2008-04-01,97.73
2008-05-01,96.83
2008-06-01,90.94
2008-07-01,86.23
2008-08-01,90.03
2008-09-01,95.27
2008-10-01,96.68
2008-11-01,95.6
2008-12-01,92.81
2009-01-01,85.77
2009-02-01,91.17
2009-03-01,92.71
2009-04-01,92.42
2009-05-01,93.1
2009-06-01,88.55
2009-07-01,83.27
2009-08-01,82.9
2009-09-01,93.98
2009-10-01,91.97
2009-11-01,91.96
2009-12-01,92.12
2010-01-01,85.37
2010-02-01,92.19
2010-03-01,92.94
2010-04-01,93.26
2010-05-01,93.12
2010-06-01,93.87
2010-07-01,87.94
2010-08-01,86.79
2010-09-01,93.76
2010-10-01,95.49
2010-11-01,94.4
2010-12-01,93.99
2011-01-01,89.11
2011-02-01,93.55
2011-03-01,96.65
2011-04-01,95.92
2011-05-01,95.56
2011-06-01,91.66
2011-07-01,90.85
2011-08-01,88.99
2011-09-01,102.77
2011-10-01,103.98
2011-11-01,104.13
2011-12-01,99.75
2012-01-01,100.68
2012-02-01,100.12
2012-03-01,103.89
2012-04-01,102.36
2012-05-01,102.31
2012-06-01,101.15
2012-07-01,97.45
2012-08-01,101.1
2012-09-01,103.31
2012-10-01,106.46
2012-11-01,106.6
2012-12-01,104.9
2013-01-01,102.55
2013-02-01,101.78
2013-03-01,103.19
2013-04-01,104.14
2013-05-01,105.52
2013-06-01,102.05
2013-07-01,99.98
2013-08-01,99.19
2013-09-01,108.29
2013-10-01,106.71
2013-11-01,108.86
2013-12-01,104.09
