DATE,VALUE
1996-01-01,58.08
1996-02-01,58.24
1996-03-01,58.33
1996-04-01,58.63
1996-05-01,58.67
1996-06-01,58.71
1996-07-01,58.83
1996-08-01,58.91
1996-09-01,59.23
1996-10-01,59.51
1996-11-01,59.51
1996-12-01,59.62
1997-01-01,60.11
1997-02-01,60.15
1997-03-01,60.09
1997-04-01,60.23
1997-05-01,60.32
1997-06-01,60.33
1997-07-01,60.49
1997-08-01,60.62
1997-09-01,60.55
1997-10-01,60.77
1997-11-01,60.85
1997-12-01,60.83
1998-01-01,60.86
1998-02-01,60.91
1998-03-01,60.91
1998-04-01,61.21
1998-05-01,61.2
1998-06-01,61.16
1998-07-01,61.21
1998-08-01,61.2
1998-09-01,61.24
1998-10-01,61.3
1998-11-01,61.28
1998-12-01,61.25
1999-01-01,61.25
1999-02-01,61.26
1999-03-01,61.42
1999-04-01,61.96
1999-05-01,61.94
1999-06-01,61.97
1999-07-01,62.23
1999-08-01,62.39
1999-09-01,62.54
1999-10-01,62.45
1999-11-01,62.58
1999-12-01,62.83
2000-01-01,63.14
2000-02-01,63.37
2000-03-01,63.6
2000-04-01,63.55
2000-05-01,63.8
2000-06-01,63.92
2000-07-01,64.22
2000-08-01,64.44
2000-09-01,65.26
2000-10-01,65.34
2000-11-01,65.57
2000-12-01,65.48
2001-01-01,65.58
2001-02-01,65.75
2001-03-01,65.77
2001-04-01,66.04
2001-05-01,66.18
2001-06-01,66.34
2001-07-01,66.41
2001-08-01,66.46
2001-09-01,66.65
2001-10-01,66.47
2001-11-01,66.41
2001-12-01,66.31
2002-01-01,66.67
2002-02-01,66.75
2002-03-01,66.87
2002-04-01,67.1
2002-05-01,67.09
2002-06-01,67.05
2002-07-01,67.22
2002-08-01,67.3
2002-09-01,67.47
2002-10-01,67.62
2002-11-01,67.53
2002-12-01,67.7
2003-01-01,68.37
2003-02-01,68.73
2003-03-01,69.0
2003-04-01,68.74
2003-05-01,68.64
2003-06-01,68.69
2003-07-01,68.9
2003-08-01,69.0
2003-09-01,69.08
2003-10-01,69.24
2003-11-01,69.26
2003-12-01,69.29
2004-01-01,69.69
2004-02-01,69.69
2004-03-01,69.93
2004-04-01,70.18
2004-05-01,70.44
2004-06-01,70.51
2004-07-01,70.75
2004-08-01,71.02
2004-09-01,71.18
2004-10-01,71.8
2004-11-01,71.85
2004-12-01,71.87
2005-01-01,72.49
2005-02-01,72.72
2005-03-01,73.13
2005-04-01,73.61
2005-05-01,73.6
2005-06-01,73.92
2005-07-01,74.41
2005-08-01,74.63
2005-09-01,75.04
2005-10-01,75.53
2005-11-01,75.55
2005-12-01,75.66
2006-01-01,76.52
2006-02-01,76.78
2006-03-01,77.06
2006-04-01,77.8
2006-05-01,78.09
2006-06-01,78.22
2006-07-01,78.6
2006-08-01,78.87
2006-09-01,78.9
2006-10-01,79.1
2006-11-01,79.2
2006-12-01,79.34
2007-01-01,79.92
2007-02-01,80.18
2007-03-01,80.27
2007-04-01,80.51
2007-05-01,80.5
2007-06-01,80.57
2007-07-01,80.73
2007-08-01,80.8
2007-09-01,81.01
2007-10-01,81.36
2007-11-01,81.91
2007-12-01,82.04
2008-01-01,83.04
2008-02-01,83.72
2008-03-01,84.13
2008-04-01,84.78
2008-05-01,85.39
2008-06-01,85.82
2008-07-01,86.57
2008-08-01,86.65
2008-09-01,87.31
2008-10-01,87.63
2008-11-01,87.42
2008-12-01,86.97
2009-01-01,87.57
2009-02-01,87.67
2009-03-01,87.37
2009-04-01,87.01
2009-05-01,86.87
2009-06-01,87.02
2009-07-01,86.71
2009-08-01,86.9
2009-09-01,86.83
2009-10-01,86.93
2009-11-01,87.03
2009-12-01,87.03
2010-01-01,87.63
2010-02-01,87.71
2010-03-01,87.99
2010-04-01,88.42
2010-05-01,88.55
2010-06-01,88.64
2010-07-01,89.02
2010-08-01,89.18
2010-09-01,89.28
2010-10-01,89.56
2010-11-01,89.77
2010-12-01,90.31
2011-01-01,91.43
2011-02-01,91.81
2011-03-01,92.3
2011-04-01,92.8
2011-05-01,92.73
2011-06-01,92.87
2011-07-01,93.4
2011-08-01,93.59
2011-09-01,94.13
2011-10-01,94.62
2011-11-01,95.0
2011-12-01,95.08
2012-01-01,95.98
2012-02-01,96.23
2012-03-01,96.37
2012-04-01,96.86
2012-05-01,96.85
2012-06-01,96.76
2012-07-01,97.3
2012-08-01,97.65
2012-09-01,97.84
2012-10-01,98.17
2012-11-01,98.23
2012-12-01,98.49
2013-01-01,99.13
2013-02-01,99.37
2013-03-01,99.35
2013-04-01,99.18
2013-05-01,99.03
2013-06-01,99.09
2013-07-01,99.45
2013-08-01,99.68
2013-09-01,99.77
2013-10-01,99.77
2013-11-01,99.69
2013-12-01,100.08
2014-01-01,100.35
2014-02-01,100.51
2014-03-01,100.45
2014-04-01,100.41
2014-05-01,100.38
2014-06-01,100.37
2014-07-01,100.37
2014-08-01,100.46
2014-09-01,100.51
2014-10-01,100.56
2014-11-01,100.51
2014-12-01,100.16
2015-01-01,100.03
2015-02-01,100.19
2015-03-01,100.2
2015-04-01,100.1
2015-05-01,100.12
2015-06-01,100.14
2015-07-01,100.06
2015-08-01,99.9
2015-09-01,99.84
2015-10-01,99.88
2015-11-01,99.92
2015-12-01,99.63
2016-01-01,99.17
2016-02-01,99.0
2016-03-01,99.12
2016-04-01,98.73
2016-05-01,98.91
2016-06-01,99.22
2016-07-01,99.18
2016-08-01,99.16
