DATE,VALUE
1996-01-01,70.26
1996-02-01,72.01
1996-03-01,72.6
1996-04-01,73.89
1996-05-01,74.72
1996-06-01,74.91
1996-07-01,75.19
1996-08-01,75.68
1996-09-01,75.89
1996-10-01,78.04
1996-11-01,78.61
1996-12-01,78.93
1997-01-01,82.3
1997-02-01,82.75
1997-03-01,83.18
1997-04-01,83.62
1997-05-01,84.02
1997-06-01,84.1
1997-07-01,84.21
1997-08-01,84.43
1997-09-01,84.54
1997-10-01,84.71
1997-11-01,85.51
1997-12-01,85.57
1998-01-01,85.8
1998-02-01,86.02
1998-03-01,86.13
1998-04-01,86.6
1998-05-01,86.7
1998-06-01,86.87
1998-07-01,87.18
1998-08-01,87.29
1998-09-01,87.57
1998-10-01,87.6
1998-11-01,88.0
1998-12-01,88.06
1999-01-01,88.21
1999-02-01,88.34
1999-03-01,88.46
1999-04-01,88.66
1999-05-01,88.84
1999-06-01,88.92
1999-07-01,88.92
1999-08-01,89.27
1999-09-01,89.3
1999-10-01,89.56
1999-11-01,89.62
1999-12-01,88.98
2000-01-01,89.88
2000-02-01,89.94
2000-03-01,89.8
2000-04-01,90.01
2000-05-01,90.08
2000-06-01,90.1
2000-07-01,90.13
2000-08-01,90.24
2000-09-01,90.49
2000-10-01,90.53
2000-11-01,90.62
2000-12-01,90.69
2001-01-01,90.94
2001-02-01,90.66
2001-03-01,90.67
2001-04-01,91.28
2001-05-01,91.63
2001-06-01,91.29
2001-07-01,91.6
2001-08-01,91.74
2001-09-01,91.9
2001-10-01,91.96
2001-11-01,92.08
2001-12-01,91.9
2002-01-01,91.97
2002-02-01,92.39
2002-03-01,92.38
2002-04-01,91.74
2002-05-01,92.59
2002-06-01,92.51
2002-07-01,92.26
2002-08-01,92.28
2002-09-01,92.84
2002-10-01,93.22
2002-11-01,93.39
2002-12-01,92.8
2003-01-01,93.64
2003-02-01,93.71
2003-03-01,94.07
2003-04-01,94.13
2003-05-01,94.34
2003-06-01,94.15
2003-07-01,94.06
2003-08-01,94.36
2003-09-01,94.55
2003-10-01,94.6
2003-11-01,94.88
2003-12-01,94.19
2004-01-01,94.77
2004-02-01,95.13
2004-03-01,95.05
2004-04-01,95.22
2004-05-01,95.77
2004-06-01,96.06
2004-07-01,96.23
2004-08-01,96.15
2004-09-01,95.96
2004-10-01,96.01
2004-11-01,96.17
2004-12-01,96.45
2005-01-01,96.93
2005-02-01,97.82
2005-03-01,98.01
2005-04-01,98.37
2005-05-01,99.27
2005-06-01,100.18
2005-07-01,100.53
2005-08-01,100.44
2005-09-01,100.62
2005-10-01,101.25
2005-11-01,101.7
2005-12-01,102.05
2006-01-01,102.18
2006-02-01,102.43
2006-03-01,103.7
2006-04-01,102.81
2006-05-01,102.88
2006-06-01,103.36
2006-07-01,103.43
2006-08-01,103.73
2006-09-01,104.92
2006-10-01,104.81
2006-11-01,106.71
2006-12-01,106.98
2007-01-01,108.17
2007-02-01,109.71
2007-03-01,112.19
2007-04-01,111.96
2007-05-01,111.86
2007-06-01,111.95
2007-07-01,112.42
2007-08-01,113.79
2007-09-01,114.9
2007-10-01,116.55
2007-11-01,116.66
2007-12-01,118.81
2008-01-01,121.73
2008-02-01,121.98
2008-03-01,122.07
2008-04-01,121.93
2008-05-01,122.19
2008-06-01,122.18
2008-07-01,122.71
2008-08-01,122.32
2008-09-01,123.2
2008-10-01,124.08
2008-11-01,124.49
2008-12-01,123.84
2009-01-01,126.02
2009-02-01,125.24
2009-03-01,122.95
2009-04-01,123.07
2009-05-01,122.87
2009-06-01,119.14
2009-07-01,117.43
2009-08-01,116.54
2009-09-01,112.99
2009-10-01,114.65
2009-11-01,112.11
2009-12-01,113.23
2010-01-01,113.6
2010-02-01,112.77
2010-03-01,112.66
2010-04-01,112.14
2010-05-01,111.9
2010-06-01,111.56
2010-07-01,111.34
2010-08-01,110.89
2010-09-01,110.28
2010-10-01,111.18
2010-11-01,111.04
2010-12-01,110.76
2011-01-01,110.13
2011-02-01,109.49
2011-03-01,109.53
2011-04-01,109.99
2011-05-01,109.43
2011-06-01,106.83
2011-07-01,106.59
2011-08-01,106.33
2011-09-01,106.43
2011-10-01,106.24
2011-11-01,105.4
2011-12-01,105.47
2012-01-01,107.02
2012-02-01,107.05
2012-03-01,106.82
2012-04-01,105.1
2012-05-01,104.96
2012-06-01,103.35
2012-07-01,102.55
2012-08-01,101.55
2012-09-01,101.84
2012-10-01,101.24
2012-11-01,100.98
2012-12-01,100.76
2013-01-01,101.25
2013-02-01,100.86
2013-03-01,101.57
2013-04-01,99.9
2013-05-01,100.95
2013-06-01,99.93
2013-07-01,99.72
2013-08-01,101.04
2013-09-01,100.43
2013-10-01,100.57
2013-11-01,100.14
2013-12-01,98.51
2014-01-01,99.54
2014-02-01,101.86
2014-03-01,101.48
2014-04-01,101.7
2014-05-01,102.26
2014-06-01,101.51
2014-07-01,100.28
2014-08-01,101.8
2014-09-01,101.28
2014-10-01,99.64
2014-11-01,99.76
