DATE,VALUE
1996-01-01,93.76
1996-02-01,94.71
1996-03-01,94.62
1996-04-01,93.86
1996-05-01,94.33
1996-06-01,94.62
1996-07-01,95.37
1996-08-01,95.37
1996-09-01,95.28
1996-10-01,94.71
1996-11-01,94.52
1996-12-01,95.28
1997-01-01,95.47
1997-02-01,96.42
1997-03-01,96.23
1997-04-01,95.0
1997-05-01,95.75
1997-06-01,95.85
1997-07-01,96.61
1997-08-01,96.8
1997-09-01,96.32
1997-10-01,95.56
1997-11-01,95.94
1997-12-01,96.51
1998-01-01,96.32
1998-02-01,97.27
1998-03-01,96.99
1998-04-01,96.04
1998-05-01,96.51
1998-06-01,96.7
1998-07-01,97.65
1998-08-01,97.84
1998-09-01,97.36
1998-10-01,96.99
1998-11-01,96.8
1998-12-01,97.17
1999-01-01,96.89
1999-02-01,97.74
1999-03-01,97.55
1999-04-01,96.61
1999-05-01,96.8
1999-06-01,96.99
1999-07-01,98.31
1999-08-01,98.03
1999-09-01,97.46
1999-10-01,96.8
1999-11-01,97.17
1999-12-01,97.74
2000-01-01,96.7
2000-02-01,97.17
2000-03-01,96.7
2000-04-01,96.8
2000-05-01,96.32
2000-06-01,96.89
2000-07-01,98.03
2000-08-01,97.84
2000-09-01,97.27
2000-10-01,96.7
2000-11-01,96.61
2000-12-01,99.54
2001-01-01,97.55
2001-02-01,98.22
2001-03-01,97.84
2001-04-01,98.12
2001-05-01,97.93
2001-06-01,98.22
2001-07-01,99.16
2001-08-01,99.16
2001-09-01,98.78
2001-10-01,98.31
2001-11-01,98.31
2001-12-01,101.15
2002-01-01,99.07
2002-02-01,99.92
2002-03-01,99.83
2002-04-01,99.07
2002-05-01,99.64
2002-06-01,99.73
2002-07-01,100.77
2002-08-01,100.58
2002-09-01,100.02
2002-10-01,99.45
2002-11-01,99.26
2002-12-01,101.72
2003-01-01,99.54
2003-02-01,100.39
2003-03-01,100.02
2003-04-01,99.92
2003-05-01,99.54
2003-06-01,99.92
2003-07-01,100.49
2003-08-01,100.68
2003-09-01,100.3
2003-10-01,99.73
2003-11-01,99.26
2003-12-01,101.63
2004-01-01,99.26
2004-02-01,100.21
2004-03-01,99.73
2004-04-01,99.64
2004-05-01,99.54
2004-06-01,99.73
2004-07-01,100.58
2004-08-01,100.96
2004-09-01,100.21
2004-10-01,99.64
2004-11-01,99.16
2004-12-01,101.44
2005-01-01,99.35
2005-02-01,100.11
2005-03-01,99.92
2005-04-01,99.07
2005-05-01,100.02
2005-06-01,99.54
2005-07-01,100.39
2005-08-01,100.87
2005-09-01,100.02
2005-10-01,99.83
2005-11-01,99.26
2005-12-01,101.63
2006-01-01,99.39
2006-02-01,100.25
2006-03-01,99.85
2006-04-01,99.56
2006-05-01,99.62
2006-06-01,99.69
2006-07-01,100.74
2006-08-01,100.93
2006-09-01,100.12
2006-10-01,99.86
2006-11-01,99.2
2006-12-01,101.59
2007-01-01,99.51
2007-02-01,100.51
2007-03-01,100.11
2007-04-01,99.56
2007-05-01,99.82
2007-06-01,99.83
2007-07-01,101.06
2007-08-01,100.98
2007-09-01,100.28
2007-10-01,99.91
2007-11-01,99.48
2007-12-01,101.73
2008-01-01,99.56
2008-02-01,100.57
2008-03-01,100.76
2008-04-01,99.2
2008-05-01,99.93
2008-06-01,99.93
2008-07-01,101.26
2008-08-01,101.48
2008-09-01,100.41
2008-10-01,100.14
2008-11-01,100.06
2008-12-01,102.07
2009-01-01,100.0
2009-02-01,101.11
2009-03-01,100.75
2009-04-01,100.84
2009-05-01,100.48
2009-06-01,100.51
2009-07-01,101.82
2009-08-01,101.95
2009-09-01,100.74
2009-10-01,100.47
2009-11-01,100.04
2009-12-01,102.09
2010-01-01,99.75
2010-02-01,100.79
2010-03-01,100.94
2010-04-01,99.79
2010-05-01,100.19
2010-06-01,100.3
2010-07-01,101.51
2010-08-01,101.82
2010-09-01,100.54
2010-10-01,100.58
2010-11-01,100.05
2010-12-01,101.98
2011-01-01,99.72
2011-02-01,100.76
2011-03-01,100.53
2011-04-01,100.64
2011-05-01,100.07
2011-06-01,100.64
2011-07-01,102.09
2011-08-01,102.3
2011-09-01,100.94
2011-10-01,100.77
2011-11-01,100.4
2011-12-01,102.57
2012-01-01,100.44
2012-02-01,101.69
2012-03-01,101.27
2012-04-01,101.48
2012-05-01,101.37
2012-06-01,101.47
2012-07-01,103.15
2012-08-01,103.14
2012-09-01,102.04
2012-10-01,101.75
2012-11-01,101.5
2012-12-01,103.83
2013-01-01,101.24
2013-02-01,102.9
2013-03-01,103.64
2013-04-01,101.22
2013-05-01,101.95
2013-06-01,102.54
2013-07-01,104.52
2013-08-01,104.49
2013-09-01,102.64
2013-10-01,101.97
2013-11-01,102.82
2013-12-01,104.37
2014-01-01,101.76
2014-02-01,103.21
2014-03-01,103.32
2014-04-01,102.19
2014-05-01,101.6
2014-06-01,102.84
2014-07-01,104.62
2014-08-01,104.77
2014-09-01,102.74
2014-10-01,102.04
2014-11-01,102.38
2014-12-01,104.16
2015-01-01,101.11
2015-02-01,103.39
2015-03-01,102.85
2015-04-01,101.99
2015-05-01,102.31
2015-06-01,102.69
2015-07-01,105.16
2015-08-01,105.37
2015-09-01,103.16
2015-10-01,103.0
2015-11-01,103.03
2015-12-01,105.0
