DATE,VALUE
1996-01-01,62.43
1996-02-01,62.95
1996-03-01,63.4
1996-04-01,63.47
1996-05-01,63.99
1996-06-01,65.49
1996-07-01,66.54
1996-08-01,66.67
1996-09-01,66.8
1996-10-01,67.06
1996-11-01,66.86
1996-12-01,67.25
1997-01-01,67.84
1997-02-01,68.43
1997-03-01,68.95
1997-04-01,69.21
1997-05-01,70.25
1997-06-01,70.25
1997-07-01,70.45
1997-08-01,70.45
1997-09-01,71.3
1997-10-01,71.43
1997-11-01,71.49
1997-12-01,72.02
1998-01-01,73.12
1998-02-01,73.65
1998-03-01,74.23
1998-04-01,74.36
1998-05-01,74.56
1998-06-01,74.82
1998-07-01,75.34
1998-08-01,75.99
1998-09-01,76.45
1998-10-01,76.71
1998-11-01,76.71
1998-12-01,76.84
1999-01-01,77.36
1999-02-01,78.73
1999-03-01,79.13
1999-04-01,80.23
1999-05-01,80.56
1999-06-01,80.76
1999-07-01,80.89
1999-08-01,81.15
1999-09-01,81.93
1999-10-01,81.93
1999-11-01,81.8
1999-12-01,81.8
2000-01-01,82.58
2000-02-01,83.1
2000-03-01,83.43
2000-04-01,83.37
2000-05-01,83.56
2000-06-01,84.47
2000-07-01,84.54
2000-08-01,84.74
2000-09-01,84.74
2000-10-01,85.0
2000-11-01,85.84
2000-12-01,85.97
2001-01-01,86.5
2001-02-01,87.34
2001-03-01,87.83
2001-04-01,88.39
2001-05-01,88.35
2001-06-01,88.37
2001-07-01,88.72
2001-08-01,88.86
2001-09-01,89.12
2001-10-01,89.17
2001-11-01,89.93
2001-12-01,89.93
2002-01-01,90.71
2002-02-01,91.5
2002-03-01,91.93
2002-04-01,92.27
2002-05-01,91.5
2002-06-01,92.25
2002-07-01,92.92
2002-08-01,93.69
2002-09-01,93.76
2002-10-01,93.8
2002-11-01,94.5
2002-12-01,94.71
2003-01-01,95.22
2003-02-01,95.15
2003-03-01,95.04
2003-04-01,95.33
2003-05-01,95.58
2003-06-01,95.58
2003-07-01,95.73
2003-08-01,95.8
2003-09-01,95.86
2003-10-01,95.99
2003-11-01,96.4
2003-12-01,96.4
2004-01-01,96.75
2004-02-01,97.18
2004-03-01,97.2
2004-04-01,97.94
2004-05-01,97.77
2004-06-01,97.78
2004-07-01,97.7
2004-08-01,97.73
2004-09-01,97.51
2004-10-01,97.58
2004-11-01,97.7
2004-12-01,97.78
2005-01-01,97.87
2005-02-01,98.5
2005-03-01,98.65
2005-04-01,98.83
2005-05-01,98.9
2005-06-01,98.93
2005-07-01,99.42
2005-08-01,101.24
2005-09-01,101.71
2005-10-01,102.0
2005-11-01,101.93
2005-12-01,102.01
2006-01-01,102.49
2006-02-01,103.21
2006-03-01,103.44
2006-04-01,103.57
2006-05-01,104.07
2006-06-01,103.81
2006-07-01,103.49
2006-08-01,103.02
2006-09-01,103.06
2006-10-01,103.67
2006-11-01,104.18
2006-12-01,104.27
2007-01-01,104.42
2007-02-01,105.91
2007-03-01,106.11
2007-04-01,106.15
2007-05-01,106.8
2007-06-01,106.86
2007-07-01,107.19
2007-08-01,107.0
2007-09-01,107.07
2007-10-01,107.07
2007-11-01,107.3
2007-12-01,107.25
2008-01-01,107.59
2008-02-01,107.77
2008-03-01,108.14
2008-04-01,108.27
2008-05-01,108.48
2008-06-01,108.43
2008-07-01,108.41
2008-08-01,108.88
2008-09-01,108.83
2008-10-01,108.99
2008-11-01,109.95
2008-12-01,111.16
2009-01-01,111.65
2009-02-01,112.26
2009-03-01,112.79
2009-04-01,113.69
2009-05-01,113.49
2009-06-01,113.08
2009-07-01,113.1
2009-08-01,113.1
2009-09-01,112.67
2009-10-01,112.57
2009-11-01,112.57
2009-12-01,113.02
2010-01-01,113.12
2010-02-01,113.15
2010-03-01,112.93
2010-04-01,112.95
2010-05-01,113.19
2010-06-01,113.33
2010-07-01,113.38
2010-08-01,113.45
2010-09-01,113.58
2010-10-01,113.52
2010-11-01,113.6
2010-12-01,113.64
2011-01-01,114.09
2011-02-01,114.63
2011-03-01,115.07
2011-04-01,115.2
2011-05-01,115.49
2011-06-01,114.88
2011-07-01,114.92
2011-08-01,115.28
2011-09-01,115.15
2011-10-01,115.17
2011-11-01,115.49
2011-12-01,115.53
2012-01-01,115.56
2012-02-01,115.69
2012-03-01,115.73
2012-04-01,116.07
2012-05-01,116.23
2012-06-01,116.47
2012-07-01,116.62
2012-08-01,116.65
2012-09-01,116.96
2012-10-01,116.92
2012-11-01,117.35
2012-12-01,117.47
