DATE,VALUE
1977-12-01,63.7
1978-02-01,63.2
1978-04-01,64.2
1978-06-01,64.8
1978-08-01,65.2
1978-10-01,66.3
1978-12-01,67.0
1979-02-01,68.0
1979-04-01,70.7
1979-06-01,73.8
1979-08-01,77.2
1979-10-01,79.4
1979-12-01,80.9
1980-02-01,85.6
1980-04-01,88.2
1980-06-01,88.7
1980-08-01,89.1
1980-10-01,90.0
1980-12-01,91.2
1981-02-01,96.3
1981-04-01,97.8
1981-06-01,97.5
1981-08-01,97.7
1981-10-01,98.5
1981-12-01,98.6
1982-02-01,98.5
1982-04-01,96.2
1982-06-01,97.5
1982-08-01,98.6
1982-10-01,100.0
1982-12-01,100.1
1983-02-01,99.0
1983-04-01,98.7
1983-06-01,99.6
1983-08-01,100.5
1983-10-01,101.2
1983-12-01,100.6
1984-02-01,102.1
1984-04-01,101.7
1984-06-01,101.4
1984-08-01,101.2
1984-10-01,102.3
1984-12-01,101.7
1985-02-01,101.5
1985-04-01,102.9
1985-06-01,103.1
1985-08-01,103.3
1985-10-01,105.0
1985-12-01,106.0
1986-02-01,103.5
1986-04-01,97.3
1986-06-01,96.8
1986-08-01,94.8
1986-10-01,96.0
1986-12-01,96.1
1987-01-01,96.6
1987-02-01,97.6
1987-03-01,99.4
1987-04-01,100.9
1987-05-01,100.5
1987-06-01,99.9
1987-07-01,99.9
1987-08-01,101.7
1987-09-01,103.5
1987-10-01,104.0
1987-11-01,104.1
1987-12-01,102.3
1988-01-01,101.4
1988-02-01,101.1
1988-03-01,103.1
1988-04-01,104.0
1988-05-01,103.8
1988-06-01,103.1
1988-07-01,102.5
1988-08-01,103.2
1988-09-01,106.4
1988-10-01,107.3
1988-11-01,106.6
1988-12-01,106.2
1989-01-01,106.0
1989-02-01,106.1
1989-03-01,107.5
1989-04-01,109.3
1989-05-01,110.4
1989-06-01,109.7
1989-07-01,108.7
1989-08-01,108.5
1989-09-01,111.0
1989-10-01,112.1
1989-11-01,112.2
1989-12-01,111.5
1990-01-01,114.0
1990-02-01,113.3
1990-03-01,114.7
1990-04-01,115.5
1990-05-01,115.3
1990-06-01,114.8
1990-07-01,114.3
1990-08-01,117.7
1990-09-01,123.7
1990-10-01,126.7
1990-11-01,126.5
1990-12-01,125.7
1991-01-01,123.8
1991-02-01,122.2
1991-03-01,121.7
1991-04-01,122.2
1991-05-01,122.7
1991-06-01,121.8
1991-07-01,120.8
1991-08-01,122.0
1991-09-01,124.7
1991-10-01,125.1
1991-11-01,125.9
1991-12-01,125.2
1992-01-01,123.8
1992-02-01,123.1
1992-03-01,124.0
1992-04-01,124.3
1992-05-01,125.1
1992-06-01,125.1
1992-07-01,125.0
1992-08-01,126.3
1992-09-01,128.1
1992-10-01,128.4
1992-11-01,128.7
1992-12-01,127.3
1993-01-01,126.8
1993-02-01,128.2
1993-03-01,129.1
1993-04-01,128.7
1993-05-01,127.1
1993-06-01,126.8
1993-07-01,125.9
1993-08-01,126.4
1993-09-01,126.7
1993-10-01,127.9
1993-11-01,127.7
1993-12-01,125.4
1994-01-01,124.4
1994-02-01,125.8
1994-03-01,126.8
1994-04-01,127.2
1994-05-01,126.6
1994-06-01,126.6
1994-07-01,126.1
1994-08-01,126.4
1994-09-01,127.5
1994-10-01,128.3
1994-11-01,128.3
1994-12-01,126.3
1995-01-01,126.1
1995-02-01,126.3
1995-03-01,127.2
1995-04-01,127.4
1995-05-01,128.1
1995-06-01,127.9
1995-07-01,126.9
1995-08-01,128.0
1995-09-01,129.2
1995-10-01,129.6
1995-11-01,129.3
1995-12-01,128.1
1996-01-01,128.7
1996-02-01,129.8
1996-03-01,131.7
1996-04-01,132.8
1996-05-01,133.4
1996-06-01,131.5
1996-07-01,130.0
1996-08-01,130.7
1996-09-01,132.8
1996-10-01,134.1
1996-11-01,134.7
1996-12-01,134.2
1997-01-01,134.4
1997-02-01,135.3
1997-03-01,135.3
1997-04-01,135.0
1997-05-01,134.1
1997-06-01,132.9
1997-07-01,132.3
1997-08-01,133.1
1997-09-01,135.9
1997-10-01,136.1
1997-11-01,135.2
1997-12-01,133.6
1998-01-01,131.9
1998-02-01,132.9
1998-03-01,132.9
1998-04-01,133.3
1998-05-01,133.5
1998-06-01,132.1
1998-07-01,130.7
1998-08-01,131.8
1998-09-01,132.5
1998-10-01,133.9
1998-11-01,133.0
1998-12-01,132.2
1999-01-01,131.8
1999-02-01,131.1
1999-03-01,132.3
1999-04-01,135.8
1999-05-01,136.2
1999-06-01,135.3
1999-07-01,135.3
1999-08-01,137.1
1999-09-01,140.9
1999-10-01,142.7
1999-11-01,141.5
1999-12-01,141.0
2000-01-01,140.9
2000-02-01,146.1
2000-03-01,148.2
2000-04-01,148.3
2000-05-01,147.3
2000-06-01,147.5
2000-07-01,147.3
2000-08-01,147.1
2000-09-01,150.5
2000-10-01,151.3
2000-11-01,151.1
2000-12-01,148.7
2001-01-01,147.4
2001-02-01,148.0
2001-03-01,148.4
2001-04-01,149.7
2001-05-01,152.1
2001-06-01,151.3
2001-07-01,147.3
2001-08-01,145.4
2001-09-01,146.9
2001-10-01,145.7
2001-11-01,143.5
2001-12-01,139.3
2002-01-01,138.6
2002-02-01,140.8
2002-03-01,143.5
