DATE,VALUE
2009-12-01,100.0
2010-02-01,101.283
2010-04-01,100.643
2010-06-01,100.51
2010-08-01,100.421
2010-10-01,101.654
2010-12-01,102.137
2011-02-01,103.055
2011-04-01,104.687
2011-06-01,106.366
2011-08-01,105.82
2011-10-01,105.117
2011-12-01,105.17
2012-02-01,105.429
2012-04-01,107.35
2012-06-01,108.561
2012-08-01,108.151
2012-10-01,106.845
2012-12-01,105.768
2013-02-01,105.584
2013-04-01,106.83
2013-06-01,106.733
2013-08-01,107.148
2013-10-01,106.513
2013-12-01,105.954
2014-02-01,105.913
2014-04-01,107.429
2014-06-01,107.462
2014-08-01,104.858
2014-10-01,104.786
2014-12-01,103.631
2015-02-01,105.943
2015-04-01,105.813
2015-06-01,105.809
2015-08-01,103.261
2015-10-01,103.776
2015-12-01,103.723
2016-02-01,104.058
2016-04-01,103.887
2016-06-01,104.026
2016-08-01,102.86
