DATE,VALUE
1984-01-01,102.3
1984-07-01,102.9
1985-01-01,104.4
1985-07-01,106.0
1986-01-01,104.9
1986-07-01,104.7
1987-01-01,108.4
1987-07-01,111.3
1988-01-01,112.2
1988-07-01,115.2
1989-01-01,118.6
1989-07-01,121.0
1990-01-01,125.3
1990-07-01,130.6
1991-01-01,132.0
1991-07-01,132.6
1992-01-01,133.6
1992-07-01,135.6
1993-01-01,137.2
1993-07-01,136.9
1994-01-01,137.5
1994-07-01,138.7
1995-01-01,140.3
1995-07-01,141.5
1996-01-01,144.1
1996-07-01,145.5
1997-01-01,147.1
1997-07-01,147.5
1998-01-01,147.3
1998-07-01,148.1
1999-01-01,149.7
1999-07-01,153.7
2000-01-01,157.2
2000-07-01,159.6
2001-01-01,160.7
2001-07-01,159.5
2002-01-01,159.7
2002-07-01,162.1
2003-01-01,164.1
2003-07-01,166.7
2004-01-01,170.9
2004-07-01,175.1
2005-01-01,178.2
2005-07-01,184.8
2006-01-01,187.3
2006-07-01,187.9
2007-01-01,191.146
2007-07-01,195.558
2008-01-01,205.216
2008-07-01,207.027
2009-01-01,196.662
2009-07-01,203.289
2010-01-01,206.164
2010-07-01,207.904
2011-01-01,218.992
2011-07-01,222.417
2012-01-01,225.389
2012-07-01,227.106
2013-01-01,227.101
2013-07-01,226.304
2014-01-01,228.184
2014-07-01,226.908
2015-01-01,220.327
2015-07-01,219.214
2016-01-01,216.255
