DATE,VALUE
1984-01-01,101.8
1984-07-01,104.0
1985-01-01,104.7
1985-07-01,105.9
1986-01-01,101.6
1986-07-01,99.0
1987-01-01,102.5
1987-07-01,105.4
1988-01-01,105.1
1988-07-01,106.8
1989-01-01,109.7
1989-07-01,111.2
1990-01-01,114.8
1990-07-01,120.0
1991-01-01,118.2
1991-07-01,118.9
1992-01-01,120.5
1992-07-01,123.4
1993-01-01,124.3
1993-07-01,125.9
1994-01-01,126.3
1994-07-01,132.0
1995-01-01,135.3
1995-07-01,136.7
1996-01-01,141.1
1996-07-01,142.5
1997-01-01,144.3
1997-07-01,143.2
1998-01-01,139.5
1998-07-01,137.3
1999-01-01,139.6
1999-07-01,143.7
2000-01-01,150.5
2000-07-01,150.8
2001-01-01,153.6
2001-07-01,149.3
2002-01-01,148.7
2002-07-01,151.3
2003-01-01,153.7
2003-07-01,152.9
2004-01-01,156.7
2004-07-01,160.0
2005-01-01,164.3
2005-07-01,172.8
2006-01-01,174.8
2006-07-01,175.8
2007-01-01,176.631
2007-07-01,180.346
2008-01-01,189.492
2008-07-01,179.781
2009-01-01,166.161
2009-07-01,176.732
2010-01-01,181.548
2010-07-01,185.383
2011-01-01,200.219
2011-07-01,198.548
2012-01-01,203.881
2012-07-01,202.326
2013-01-01,206.541
2013-07-01,203.499
2014-01-01,205.429
2014-07-01,196.58
2015-01-01,186.351
2015-07-01,184.691
2016-01-01,181.623
