DATE,VALUE
1998-01-01,100.5
1998-07-01,100.2
1999-01-01,101.1
1999-07-01,102.3
2000-01-01,104.9
2000-07-01,105.6
2001-01-01,106.2
2001-07-01,106.2
2002-01-01,105.6
2002-07-01,106.5
2003-01-01,107.6
2003-07-01,107.6
2004-01-01,109.1
2004-07-01,110.5
2005-01-01,112.1
2005-07-01,115.4
2006-01-01,116.5
2006-07-01,116.3
2007-01-01,117.874
2007-07-01,119.58
2008-01-01,123.846
2008-07-01,124.102
2009-01-01,119.093
2009-07-01,121.599
2010-01-01,122.763
2010-07-01,122.669
2011-01-01,128.931
2011-07-01,129.632
2012-01-01,131.055
2012-07-01,130.552
2013-01-01,130.746
2013-07-01,130.733
2014-01-01,131.575
2014-07-01,130.209
2015-01-01,126.58
2015-07-01,125.746
2016-01-01,125.098
