DATE,VALUE
1984-01-01,103.1
1985-01-01,107.7
1986-01-01,107.6
1987-01-01,114.5
1988-01-01,123.1
1989-01-01,124.5
1990-01-01,137.5
1991-01-01,151.7
1992-01-01,151.3
1993-01-01,147.8
1994-01-01,148.2
1995-01-01,147.8
1996-01-01,141.9
1997-01-01,137.2
1998-01-01,136.6
1999-01-01,140.7
2000-01-01,137.5
2001-01-01,143.5
2002-01-01,136.2
2003-01-01,130.4
2004-01-01,127.6
2005-01-01,123.8
2006-01-01,131.3
2007-01-01,127.058
2008-01-01,126.521
2009-01-01,125.274
2010-01-01,118.221
2011-01-01,118.651
2012-01-01,117.404
2013-01-01,115.676
2014-01-01,114.425
2015-01-01,111.418
