DATE,VALUE
1984-01-01,101.6
1984-07-01,101.4
1985-01-01,101.4
1985-07-01,104.1
1986-01-01,107.9
1986-07-01,107.7
1987-01-01,107.1
1987-07-01,108.1
1988-01-01,110.9
1988-07-01,112.6
1989-01-01,113.6
1989-07-01,117.1
1990-01-01,117.1
1990-07-01,122.5
1991-01-01,125.3
1991-07-01,127.2
1992-01-01,130.7
1992-07-01,136.3
1993-01-01,139.5
1993-07-01,140.3
1994-01-01,147.6
1994-07-01,152.4
1995-01-01,153.2
1995-07-01,154.5
1996-01-01,157.9
1996-07-01,159.7
1997-01-01,160.9
1997-07-01,160.4
1998-01-01,163.8
1998-07-01,165.6
1999-01-01,168.0
1999-07-01,169.6
2000-01-01,168.1
2000-07-01,173.0
2001-01-01,177.0
2001-07-01,180.2
2002-01-01,181.2
2002-07-01,179.8
2003-01-01,181.2
2003-07-01,182.4
2004-01-01,187.4
2004-07-01,188.4
2005-01-01,190.0
2005-07-01,191.9
2006-01-01,193.4
2006-07-01,200.4
2007-01-01,200.72
2007-07-01,203.791
2008-01-01,205.295
2008-07-01,206.751
2009-01-01,205.011
2009-07-01,205.409
2010-01-01,212.754
2010-07-01,212.985
2011-01-01,211.86
2011-07-01,219.945
2012-01-01,217.948
2012-07-01,221.099
2013-01-01,222.075
2013-07-01,221.535
2014-01-01,219.182
2014-07-01,221.394
2015-01-01,222.728
2015-07-01,223.801
2016-01-01,227.305
