DATE,VALUE
1987-01-01,100.0
1988-01-01,102.9
1989-01-01,105.6
1990-01-01,110.8
1991-01-01,114.6
1992-01-01,118.3
1993-01-01,122.0
1994-01-01,126.0
1995-01-01,131.1
1996-01-01,135.0
1997-01-01,138.7
1998-01-01,143.1
1999-01-01,146.1
2000-01-01,150.0
2001-01-01,155.1
2002-01-01,163.5
2003-01-01,169.3
2004-01-01,173.7
2005-01-01,180.5
2006-01-01,189.8
2007-01-01,200.001
2008-01-01,205.228
2009-01-01,207.591
2010-01-01,208.847
2011-01-01,211.744
2012-01-01,217.351
2013-01-01,222.707
2014-01-01,228.751
2015-01-01,234.158
