DATE,VALUE
1984-01-01,102.6
1984-07-01,102.8
1985-01-01,102.5
1985-07-01,103.7
1986-01-01,104.7
1986-07-01,100.4
1987-01-01,99.0
1987-07-01,96.1
1988-01-01,95.8
1988-07-01,94.9
1989-01-01,95.8
1989-07-01,96.8
1990-01-01,102.2
1990-07-01,105.7
1991-01-01,109.5
1991-07-01,113.0
1992-01-01,115.5
1992-07-01,117.8
1993-01-01,120.6
1993-07-01,121.6
1994-01-01,122.8
1994-07-01,123.1
1995-01-01,124.3
1995-07-01,125.5
1996-01-01,127.1
1996-07-01,128.7
1997-01-01,129.4
1997-07-01,129.5
1998-01-01,130.7
1998-07-01,131.4
1999-01-01,132.6
1999-07-01,132.8
2000-01-01,133.9
2000-07-01,134.4
2001-01-01,137.8
2001-07-01,140.2
2002-01-01,142.7
2002-07-01,144.4
2003-01-01,145.8
2003-07-01,147.7
2004-01-01,149.0
2004-07-01,149.3
2005-01-01,150.9
2005-07-01,155.3
2006-01-01,158.8
2006-07-01,159.7
2007-01-01,162.634
2007-07-01,164.3
2008-01-01,166.134
2008-07-01,168.995
2009-01-01,172.688
2009-07-01,174.737
2010-01-01,174.405
2010-07-01,176.076
2011-01-01,179.584
2011-07-01,181.207
2012-01-01,183.847
2012-07-01,186.597
2013-01-01,189.843
2013-07-01,191.969
2014-01-01,194.382
2014-07-01,197.919
2015-01-01,201.025
2015-07-01,200.734
2016-01-01,201.878
