DATE,VALUE
1984-01-01,108.1
1985-01-01,112.1
1986-01-01,118.0
1987-01-01,123.0
1988-01-01,130.4
1989-01-01,138.5
1990-01-01,146.5
1991-01-01,154.3
1992-01-01,163.5
1993-01-01,171.4
1994-01-01,180.9
1995-01-01,189.8
1996-01-01,194.3
1997-01-01,202.8
1998-01-01,209.2
1999-01-01,214.4
2000-01-01,224.0
2001-01-01,238.7
2002-01-01,248.8
2003-01-01,258.4
2004-01-01,258.7
2005-01-01,271.4
2006-01-01,278.9
2007-01-01,285.055
2008-01-01,303.454
2009-01-01,307.934
2010-01-01,318.242
2011-01-01,328.642
2012-01-01,332.216
2013-01-01,343.706
2014-01-01,355.645
2015-01-01,361.44
